	TRBV1-1	TRBV29-1	TRBV19-1	TRBV27-1	TRBV28-1	TRBV4-2	TRBV7-8	TRBV4-1	TRBV6-8	TRBV6-9	TRBV6-4	TRBV6-5	TRBV6-6	TRBV6-7	TRBV11-3	TRBV6-1	TRBV6-2	TRBV7-6	TRBV5-7	TRBV5-6	TRBV5-5	TRBV7-2	TRBV5-3	TRBV5-1	TRBV10-3	TRBV7-5	TRBV21-1	TRBV30-1	TRBV5-8	TRBV12-5	TRBV7-7	TRBV20-1	TRBV12-3	TRBV15-1	TRBV7-1	TRBV14-1	TRBV3-1	TRBV12-2	TRBV11-2	TRBV9-1	TRBV7-9	TRBV13-1	TRBV5-4	TRBV7-4	TRBV2-1	TRBV10-2	TRBV17-1	TRBV11-1	TRBV4-3	TRBV12-1	TRBV23-1	TRBV16-1	TRBV24-1	TRBV10-1	TRBV25-1	TRBV7-3	TRBV18-1
TRBJ2-4	0	6	20	10	31	6	3	4	0	0	0	30	3	0	1	30	2	13	0	3	1	4	0	26	2	0	36	10	0	1	0	133	28	37	0	4	30	0	7	9	7	2	8	0	29	1	0	0	0	0	2	115	2	2	0	1	19
TRBJ2-5	1	77	201	121	87	22	37	49	2	0	4	42	34	1	21	289	64	38	0	86	52	110	1	266	34	1	17	28	5	6	21	334	76	46	0	30	150	2	138	126	168	11	93	0	76	22	0	23	0	0	1	1	53	14	16	62	43
TRBJ2-6	0	15	52	18	32	62	16	20	0	0	19	13	5	0	5	45	6	5	0	8	8	11	0	20	12	1	3	4	5	0	7	143	23	15	0	9	7	0	36	21	35	0	3	0	39	2	2	0	0	0	1	0	10	9	2	6	8
TRBJ2-7	3	179	827	336	513	142	93	238	4	3	28	237	124	1	11	1198	126	69	2	291	58	274	17	843	135	0	28	75	20	29	7	779	292	81	0	176	549	8	253	293	575	81	158	0	408	48	0	75	2	1	85	71	17	52	32	167	78
TRBJ2-1	0	216	862	368	392	119	151	167	0	4	92	781	143	1	40	179	52	57	1	71	44	375	4	512	69	2	28	43	5	22	22	639	251	79	1	87	157	1	220	194	185	57	1411	0	539	30	0	27	1	0	7	0	216	164	60	212	258
TRBJ2-2	21	69	220	111	114	64	49	53	1	2	166	139	1333	0	19	135	40	50	0	35	59	83	0	204	44	2	3	37	10	3	8	384	102	77	0	30	182	0	62	116	94	11	39	0	324	14	0	22	0	1	2	1	55	59	15	73	34
TRBJ2-3	4	87	129	148	97	59	42	81	1	0	278	88	47	0	27	202	49	36	1	102	24	118	3	262	52	0	18	54	13	12	7	386	119	28	0	27	151	6	59	180	205	24	133	0	357	26	0	5	0	1	6	1	76	51	28	80	62
TRBJ1-6	0	7	85	53	7	1	32	51	0	0	15	76	11	0	30	57	9	3	0	30	5	17	0	44	12	0	1	6	5	15	2	97	68	6	0	8	109	0	19	30	44	5	21	0	34	3	0	0	0	0	0	0	0	13	14	8	12
TRBJ1-5	5	21	442	112	242	35	59	16	3	0	15	90	74	0	4	261	27	22	1	81	20	42	11	60	35	0	11	275	5	10	1	438	173	76	0	3	50	0	27	43	61	31	29	10	608	25	0	1	0	0	11	0	23	15	22	3	60
TRBJ1-4	10	74	131	183	44	13	13	61	3	0	11	32	13	1	19	71	6	15	0	28	6	24	0	72	4	0	2	57	1	0	4	93	151	35	0	21	155	1	16	23	68	1	50	0	80	8	0	1	0	0	2	3	6	2	5	1	36
TRBJ1-3	1	21	42	7	61	7	61	16	1	0	1	165	27	0	0	43	5	6	5	16	10	15	0	56	20	0	14	43	4	4	2	97	37	13	0	11	110	0	31	39	62	8	10	1	36	7	0	77	0	0	12	0	0	44	2	10	21
TRBJ1-2	4	261	334	175	288	50	92	87	0	1	20	415	121	1	7	986	52	7	1	82	95	145	16	276	295	0	56	57	61	20	8	703	316	65	0	60	314	2	112	196	263	24	129	2	673	122	0	12	0	3	5	5	88	10	132	47	93
TRBJ1-1	2	181	353	537	347	32	67	122	0	0	64	266	137	1	41	559	90	21	2	147	28	87	2	435	148	3	38	274	33	15	10	640	252	58	0	303	251	1	82	237	1090	35	124	0	254	184	0	11	1	1	6	5	22	34	40	138	121
