VJcombo	Pt82_on_Reads	Pt82_on_Freq
TRBV10-2.TRBJ2-5	21	0.000172838083637
TRBV10-2.TRBJ2-4	9	7.40734644159e-05
TRBV10-2.TRBJ2-7	1070	0.00880651188056
TRBV10-2.TRBJ2-6	4	3.29215397404e-05
TRBV10-2.TRBJ2-1	97	0.000798347338705
TRBV10-2.TRBJ2-3	28	0.000230450778183
TRBV10-2.TRBJ2-2	43	0.000353906552209
TRBV23-1.TRBJ1-3	6	4.93823096106e-05
TRBV23-1.TRBJ1-2	16	0.000131686158962
TRBV12-3.TRBJ1-1	487	0.0040081974634
TRBV23-1.TRBJ1-5	13	0.000106995004156
TRBV28-1.TRBJ2-2	123	0.00101233734702
TRBV12-3.TRBJ1-2	687	0.00565427445042
TRBV10-1.TRBJ2-2	43	0.000353906552209
TRBV5-8.TRBJ1-2	65	0.000534975020782
TRBV10-1.TRBJ2-6	1	8.2303849351e-06
TRBV5-8.TRBJ1-4	14	0.000115225389091
TRBV4-1.TRBJ1-5	176	0.00144854774858
TRBV4-1.TRBJ1-4	110	0.000905342342861
TRBV4-1.TRBJ1-6	141	0.00116048427585
TRBV4-1.TRBJ1-1	154	0.00126747928001
TRBV4-1.TRBJ1-3	39	0.000320985012469
TRBV4-1.TRBJ1-2	400	0.00329215397404
TRBV4-1.TRBJ2-6	44	0.000362136937145
TRBV4-1.TRBJ2-7	803	0.00660899910289
TRBV4-1.TRBJ2-4	27	0.000222220393248
TRBV4-1.TRBJ2-5	143	0.00117694504572
TRBV4-1.TRBJ2-2	141	0.00116048427585
TRBV4-1.TRBJ2-3	359	0.0029547081917
TRBV4-1.TRBJ2-1	309	0.00254318894495
TRBV14-1.TRBJ1-5	215	0.00176953276105
TRBV14-1.TRBJ1-4	27	0.000222220393248
TRBV14-1.TRBJ1-6	84	0.000691352334549
TRBV14-1.TRBJ1-1	130	0.00106995004156
TRBV14-1.TRBJ1-3	38	0.000312754627534
TRBV14-1.TRBJ1-2	138	0.00113579312104
TRBV14-1.TRBJ2-6	38	0.000312754627534
TRBV14-1.TRBJ2-7	366	0.00301232088625
TRBV9-1.TRBJ1-6	269	0.00221397354754
TRBV14-1.TRBJ2-5	165	0.00135801351429
TRBV14-1.TRBJ2-2	68	0.000559666175587
TRBV14-1.TRBJ2-3	235	0.00193414045975
TRBV9-1.TRBJ1-2	376	0.0030946247356
