VJcombo	Pt28_pre_Reads	Pt28_pre_Freq
TRBV10-2.TRBJ2-5	3	9.50841494723e-05
TRBV10-2.TRBJ2-7	15	0.000475420747361
TRBV10-2.TRBJ2-1	10	0.000316947164908
TRBV10-2.TRBJ2-3	2	6.33894329815e-05
TRBV10-2.TRBJ2-2	1	3.16947164908e-05
TRBV23-1.TRBJ1-2	86	0.00272574561821
TRBV23-1.TRBJ1-5	1	3.16947164908e-05
TRBV28-1.TRBJ2-2	399	0.0126461918798
TRBV23-1.TRBJ1-4	1	3.16947164908e-05
TRBV5-8.TRBJ1-1	62	0.00196507242243
TRBV6-2.TRBJ2-3	15	0.000475420747361
TRBV10-1.TRBJ2-1	11	0.000348641881398
TRBV10-1.TRBJ2-6	1	3.16947164908e-05
TRBV10-1.TRBJ2-7	14	0.000443726030871
TRBV4-1.TRBJ1-5	66	0.00209185128839
TRBV4-1.TRBJ1-4	16	0.000507115463852
TRBV4-1.TRBJ1-6	306	0.00969858324617
TRBV4-1.TRBJ1-1	73	0.00231371430383
TRBV4-1.TRBJ1-3	12	0.000380336597889
TRBV4-1.TRBJ1-2	161	0.00510284935501
TRBV4-1.TRBJ2-6	4	0.000126778865963
TRBV4-1.TRBJ2-7	266	0.00843079458654
TRBV4-1.TRBJ2-4	1	3.16947164908e-05
TRBV4-1.TRBJ2-5	8	0.000253557731926
TRBV4-1.TRBJ2-2	67	0.00212354600488
TRBV4-1.TRBJ2-3	31	0.000982536211214
TRBV4-1.TRBJ2-1	154	0.00488098633958
TRBV14-1.TRBJ1-5	2	6.33894329815e-05
TRBV14-1.TRBJ1-4	23	0.000728978479288
TRBV14-1.TRBJ1-6	13	0.00041203131438
TRBV14-1.TRBJ1-1	34	0.00107762036069
TRBV14-1.TRBJ1-3	4	0.000126778865963
TRBV14-1.TRBJ1-2	17	0.000538810180343
TRBV9-1.TRBJ1-4	21	0.000665589046306
TRBV14-1.TRBJ2-7	16	0.000507115463852
TRBV9-1.TRBJ1-6	61	0.00193337770594
TRBV14-1.TRBJ2-5	26	0.00082406262876
TRBV14-1.TRBJ2-2	10	0.000316947164908
TRBV14-1.TRBJ2-3	39	0.00123609394314
TRBV9-1.TRBJ1-2	117	0.00370828182942
TRBV14-1.TRBJ2-1	20	0.000633894329815
TRBV7-6.TRBJ2-2	10	0.000316947164908
TRBV7-6.TRBJ2-3	54	0.0017115146905
TRBV7-6.TRBJ2-1	12	0.000380336597889
TRBV7-6.TRBJ2-6	3	9.50841494723e-05
TRBV7-6.TRBJ2-7	20	0.000633894329815
TRBV7-6.TRBJ2-5	13	0.00041203131438
TRBV10-2.TRBJ1-4	1	3.16947164908e-05
TRBV10-2.TRBJ1-5	5	0.000158473582454
TRBV10-2.TRBJ1-2	17	0.000538810180343
TRBV10-2.TRBJ1-3	1	3.16947164908e-05
TRBV10-2.TRBJ1-1	4	0.000126778865963
TRBV24-1.TRBJ2-3	130	0.0041203131438
TRBV24-1.TRBJ2-2	20	0.000633894329815
TRBV24-1.TRBJ2-1	10	0.000316947164908
TRBV24-1.TRBJ2-7	15	0.000475420747361
TRBV24-1.TRBJ2-6	2	6.33894329815e-05
TRBV24-1.TRBJ2-5	46	0.00145795695858
TRBV24-1.TRBJ2-4	1	3.16947164908e-05
TRBV21-1.TRBJ1-1	15	0.000475420747361
TRBV21-1.TRBJ1-2	13	0.00041203131438
TRBV21-1.TRBJ1-5	1	3.16947164908e-05
TRBV21-1.TRBJ1-4	9	0.000285252448417
TRBV21-1.TRBJ1-6	8	0.000253557731926
TRBV21-1.TRBJ2-2	7	0.000221863015435
TRBV21-1.TRBJ2-3	1	3.16947164908e-05
TRBV21-1.TRBJ2-1	5	0.000158473582454
TRBV21-1.TRBJ2-6	1	3.16947164908e-05
TRBV21-1.TRBJ2-7	62	0.00196507242243
TRBV21-1.TRBJ2-5	2	6.33894329815e-05
TRBV6-1.TRBJ2-4	4	0.000126778865963
TRBV6-1.TRBJ2-5	54	0.0017115146905
TRBV6-1.TRBJ2-6	11	0.000348641881398
TRBV6-1.TRBJ2-7	157	0.00497607048905
TRBV6-1.TRBJ2-1	42	0.00133117809261
TRBV6-1.TRBJ2-2	32	0.0010142309277
TRBV6-1.TRBJ2-3	45	0.00142626224208
TRBV12-3.TRBJ2-6	10	0.000316947164908
TRBV12-3.TRBJ2-7	81	0.00256727203575
TRBV12-3.TRBJ2-4	10	0.000316947164908
TRBV12-3.TRBJ2-5	47	0.00148965167507
TRBV12-3.TRBJ2-2	42	0.00133117809261
TRBV12-3.TRBJ2-3	101	0.00320116636557
TRBV12-3.TRBJ2-1	39	0.00123609394314
TRBV24-1.TRBJ1-1	22	0.000697283762797
TRBV24-1.TRBJ1-2	30	0.000950841494723
TRBV24-1.TRBJ1-3	3	9.50841494723e-05
TRBV24-1.TRBJ1-4	2	6.33894329815e-05
TRBV6-2.TRBJ2-1	17	0.000538810180343
TRBV7-9.TRBJ2-6	10	0.000316947164908
TRBV7-8.TRBJ1-3	35	0.00110931507718
TRBV7-8.TRBJ1-2	89	0.00282082976768
TRBV7-8.TRBJ1-1	31	0.000982536211214
TRBV7-8.TRBJ1-6	24	0.000760673195778
TRBV7-8.TRBJ1-5	42	0.00133117809261
TRBV7-8.TRBJ1-4	12	0.000380336597889
TRBV9-1.TRBJ2-3	87	0.0027574403347
TRBV6-2.TRBJ2-6	18	0.000570504896834
TRBV9-1.TRBJ2-1	43	0.0013628728091
TRBV7-6.TRBJ1-1	15	0.000475420747361
TRBV7-6.TRBJ1-3	1	3.16947164908e-05
TRBV7-6.TRBJ1-2	1	3.16947164908e-05
TRBV7-6.TRBJ1-5	1	3.16947164908e-05
TRBV7-6.TRBJ1-4	8	0.000253557731926
TRBV7-6.TRBJ1-6	4	0.000126778865963
TRBV6-1.TRBJ1-6	20	0.000633894329815
TRBV6-1.TRBJ1-5	149	0.00472251275712
TRBV6-1.TRBJ1-4	52	0.00164812525752
TRBV6-1.TRBJ1-3	100	0.00316947164908
TRBV6-1.TRBJ1-2	152	0.0048175969066
TRBV6-1.TRBJ1-1	86	0.00272574561821
TRBV23-1.TRBJ2-1	7	0.000221863015435
TRBV23-1.TRBJ2-2	3	9.50841494723e-05
TRBV23-1.TRBJ2-4	1	3.16947164908e-05
TRBV23-1.TRBJ2-5	4	0.000126778865963
TRBV23-1.TRBJ2-6	1	3.16947164908e-05
TRBV23-1.TRBJ2-7	56	0.00177490412348
TRBV11-3.TRBJ2-2	14	0.000443726030871
TRBV12-3.TRBJ1-5	265	0.00839909987005
TRBV12-3.TRBJ1-4	34	0.00107762036069
TRBV23-1.TRBJ1-1	1	3.16947164908e-05
TRBV12-3.TRBJ1-6	41	0.00129948337612
TRBV12-3.TRBJ1-1	181	0.00573674368483
TRBV23-1.TRBJ1-6	7	0.000221863015435
TRBV12-3.TRBJ1-3	20	0.000633894329815
TRBV12-3.TRBJ1-2	90	0.00285252448417
TRBV6-7.TRBJ2-7	2	6.33894329815e-05
TRBV27-1.TRBJ1-6	20	0.000633894329815
TRBV27-1.TRBJ1-5	41	0.00129948337612
TRBV27-1.TRBJ1-4	33	0.0010459256442
TRBV27-1.TRBJ1-3	5	0.000158473582454
