	TRBV1-1	TRBV29-1	TRBV19-1	TRBV27-1	TRBV28-1	TRBV4-2	TRBV4-3	TRBV4-1	TRBV6-8	TRBV6-9	TRBV6-4	TRBV6-5	TRBV6-6	TRBV6-7	TRBV11-3	TRBV6-1	TRBV6-2	TRBV7-6	TRBV5-7	TRBV5-6	TRBV5-5	TRBV7-2	TRBV5-3	TRBV5-1	TRBV10-3	TRBV7-5	TRBV21-1	TRBV30-1	TRBV5-8	TRBV22-1	TRBV12-5	TRBV7-7	TRBV20-1	TRBV12-3	TRBV15-1	TRBV7-1	TRBV14-1	TRBV3-1	TRBV12-2	TRBV11-2	TRBV9-1	TRBV7-9	TRBV13-1	TRBV5-4	TRBV7-4	TRBV2-1	TRBV10-2	TRBV11-1	TRBV7-8	TRBV12-1	TRBV23-1	TRBV16-1	TRBV24-1	TRBV10-1	TRBV25-1	TRBV7-3	TRBV18-1	TRBV26-1
TRBJ2-4	0	0	35	9	4	4	10	4	0	0	0	13	3	1	31	15	56	8	0	41	8	32	0	29	8	0	0	9	6	0	7	0	35	27	1	0	1	4	1	10	13	8	1	15	0	170	3	1	38	0	14	0	3	1	0	3	23	0
TRBJ2-5	0	55	327	56	22	32	154	165	0	0	13	114	110	3	41	83	197	98	0	151	22	310	1	250	61	0	10	54	7	0	47	186	212	145	20	1	23	123	5	76	165	425	4	86	2	135	7	9	417	0	4	0	578	6	23	70	110	0
TRBJ2-6	0	20	29	38	4	0	27	43	0	0	2	44	9	0	2	17	12	3	0	14	4	22	2	313	4	0	175	63	1	0	1	0	10	133	73	0	9	4	0	103	9	26	0	21	0	20	5	2	2	2	0	0	4	2	4	2	22	0
TRBJ2-7	15	740	1327	952	93	220	446	452	2	5	18	878	307	2	80	1775	607	2916	0	939	251	675	7	1003	232	2	342	356	44	0	72	66	1104	446	209	3	569	588	60	393	1274	1167	99	578	3	788	103	27	647	2	17	23	54	64	30	111	227	0
TRBJ2-1	0	198	447	326	54	89	221	571	0	1	24	193	253	0	1256	507	652	166	0	241	44	276	30	494	184	1	4	128	34	0	11	16	543	429	162	0	80	313	1	138	1752	635	52	229	1	204	469	165	33	3	1	0	71	21	24	170	137	0
TRBJ2-2	2	260	404	397	47	574	273	973	2	4	33	2004	171	1	22	144	184	108	0	44	64	110	3	240	312	0	126	37	10	0	4	12	302	144	21	0	47	125	1	87	460	286	30	340	0	170	14	6	35	3	7	0	26	48	21	116	72	0
TRBJ2-3	1	891	236	355	40	39	79	118	0	3	21	218	73	0	37	242	342	131	1	71	49	591	5	189	129	0	15	163	387	0	13	24	347	274	29	0	55	196	1	119	598	438	36	434	0	109	18	35	36	0	9	0	39	451	643	46	45	0
TRBJ1-6	0	15	78	58	10	1	69	74	0	0	2	91	144	1	6	35	123	162	0	15	30	67	0	86	32	0	16	67	1	0	4	1	188	44	4	0	9	73	1	27	74	87	7	13	1	21	3	0	37	0	5	0	1	1	46	6	46	0
TRBJ1-5	2	66	1803	987	59	65	22	47	0	0	4	183	125	0	8	132	223	147	1	91	186	214	21	122	97	9	9	95	17	0	20	0	182	475	18	0	3	484	7	69	45	415	56	755	0	460	44	9	16	1	19	23	54	4	122	10	164	0
TRBJ1-4	0	22	78	257	19	16	316	83	0	3	1	45	35	1	2	78	26	57	0	28	24	75	0	78	5	0	15	122	3	0	6	17	384	154	53	0	17	60	1	27	31	187	160	18	0	135	5	1	92	0	3	0	8	0	60	13	47	0
TRBJ1-3	0	91	67	20	62	8	8	30	1	0	0	38	33	0	2	52	47	35	0	18	6	78	0	59	29	0	4	92	5	0	4	1	36	72	244	0	1	689	0	48	332	68	0	40	0	43	1	24	7	0	0	0	2	0	8	0	42	0
TRBJ1-2	3	502	684	442	49	18	199	181	0	3	2842	639	152	1	22	371	738	526	0	211	79	1053	22	472	147	11	11	1093	26	1	37	7	489	1009	69	2	57	253	0	99	306	935	43	240	15	500	38	13	89	1	7	4	199	6	133	91	301	0
TRBJ1-1	0	142	1116	1115	98	164	1416	148	0	0	32	291	105	0	45	192	232	343	0	427	165	506	5	354	660	0	8	185	22	0	22	307	902	983	49	0	38	91	0	97	347	229	211	287	0	163	1626	6	202	2	31	16	19	21	22	24	142	1
