VJcombo	Pt5_pre_S0089505_Reads	Pt5_pre_S0089505_Freq
TRBV12-3.TRBJ1-5	44	0.00233682086144
TRBV12-3.TRBJ1-4	23	0.00122151999575
TRBV23-1.TRBJ1-1	1	5.31095650327e-05
TRBV12-3.TRBJ1-6	11	0.000584205215359
TRBV12-3.TRBJ1-1	57	0.00302724520686
TRBV23-1.TRBJ1-6	12	0.000637314780392
TRBV12-3.TRBJ1-3	10	0.000531095650327
TRBV12-3.TRBJ1-2	39	0.00207127303627
TRBV5-8.TRBJ2-4	3	0.000159328695098
TRBV27-1.TRBJ1-6	5	0.000265547825163
TRBV27-1.TRBJ1-5	22	0.00116841043072
TRBV27-1.TRBJ1-4	5	0.000265547825163
TRBV27-1.TRBJ1-3	4	0.000212438260131
TRBV27-1.TRBJ1-2	20	0.00106219130065
TRBV27-1.TRBJ1-1	99	0.00525784693823
TRBV7-8.TRBJ2-1	16	0.000849753040523
TRBV7-8.TRBJ2-2	17	0.000902862605555
TRBV7-8.TRBJ2-3	12	0.000637314780392
TRBV7-8.TRBJ2-4	4	0.000212438260131
TRBV7-8.TRBJ2-5	30	0.00159328695098
TRBV4-3.TRBJ2-6	4	0.000212438260131
TRBV7-8.TRBJ2-7	21	0.00111530086569
TRBV6-2.TRBJ2-3	25	0.00132773912582
TRBV6-2.TRBJ2-2	29	0.00154017738595
TRBV9-1.TRBJ2-5	24	0.00127462956078
TRBV9-1.TRBJ2-4	3	0.000159328695098
TRBV9-1.TRBJ2-3	27	0.00143395825588
TRBV9-1.TRBJ2-2	15	0.00079664347549
TRBV9-1.TRBJ2-1	24	0.00127462956078
TRBV6-2.TRBJ2-4	4	0.000212438260131
TRBV11-3.TRBJ2-4	1	5.31095650327e-05
TRBV28-1.TRBJ1-4	14	0.000743533910457
TRBV28-1.TRBJ1-5	96	0.00509851824314
TRBV28-1.TRBJ1-6	2	0.000106219130065
TRBV28-1.TRBJ1-1	36	0.00191194434118
TRBV28-1.TRBJ1-2	50	0.00265547825163
TRBV28-1.TRBJ1-3	7	0.000371766955229
TRBV7-9.TRBJ1-2	151	0.00801954431993
TRBV27-1.TRBJ2-4	5	0.000265547825163
TRBV27-1.TRBJ2-5	54	0.00286791651176
TRBV27-1.TRBJ2-6	6	0.000318657390196
TRBV27-1.TRBJ2-7	81	0.00430187476765
TRBV27-1.TRBJ2-1	54	0.00286791651176
TRBV27-1.TRBJ2-2	35	0.00185883477614
TRBV27-1.TRBJ2-3	36	0.00191194434118
TRBV4-2.TRBJ2-2	2	0.000106219130065
TRBV4-2.TRBJ2-5	2	0.000106219130065
TRBV5-7.TRBJ2-5	1	5.31095650327e-05
TRBV4-2.TRBJ2-7	4	0.000212438260131
TRBV5-7.TRBJ2-7	2	0.000106219130065
TRBV4-2.TRBJ2-6	1	5.31095650327e-05
TRBV11-2.TRBJ2-1	17	0.000902862605555
TRBV11-2.TRBJ2-2	7	0.000371766955229
TRBV11-2.TRBJ2-3	12	0.000637314780392
TRBV11-2.TRBJ2-4	1	5.31095650327e-05
TRBV11-2.TRBJ2-5	10	0.000531095650327
TRBV11-2.TRBJ2-6	4	0.000212438260131
TRBV7-9.TRBJ1-3	53	0.00281480694673
TRBV20-1.TRBJ2-4	13	0.000690424345425
TRBV7-9.TRBJ1-6	9	0.000477986085294
TRBV6-2.TRBJ1-2	44	0.00233682086144
TRBV6-2.TRBJ1-3	2	0.000106219130065
TRBV6-2.TRBJ1-4	4	0.000212438260131
TRBV6-2.TRBJ1-5	274	0.0145520208189
TRBV6-2.TRBJ1-6	10	0.000531095650327
TRBV28-1.TRBJ2-7	403	0.0214031547082
TRBV28-1.TRBJ2-6	2	0.000106219130065
TRBV28-1.TRBJ2-5	188	0.00998459822614
TRBV28-1.TRBJ2-4	1	5.31095650327e-05
TRBV28-1.TRBJ2-3	57	0.00302724520686
TRBV7-9.TRBJ1-4	13	0.000690424345425
TRBV28-1.TRBJ2-1	110	0.00584205215359
TRBV4-2.TRBJ1-5	3	0.000159328695098
TRBV10-3.TRBJ2-4	1	5.31095650327e-05
TRBV10-3.TRBJ2-5	23	0.00122151999575
TRBV10-3.TRBJ2-7	38	0.00201816347124
TRBV10-3.TRBJ2-1	6	0.000318657390196
TRBV10-3.TRBJ2-2	1	5.31095650327e-05
TRBV10-3.TRBJ2-3	8	0.000424876520261
TRBV11-2.TRBJ1-3	3	0.000159328695098
TRBV11-2.TRBJ1-2	78	0.00414254607255
TRBV11-2.TRBJ1-1	13	0.000690424345425
TRBV11-2.TRBJ1-6	7	0.000371766955229
TRBV11-2.TRBJ1-5	3	0.000159328695098
TRBV11-2.TRBJ1-4	6	0.000318657390196
TRBV7-4.TRBJ1-5	1	5.31095650327e-05
TRBV20-1.TRBJ1-4	25	0.00132773912582
TRBV20-1.TRBJ1-5	82	0.00435498433268
TRBV20-1.TRBJ1-6	14	0.000743533910457
TRBV6-5.TRBJ2-3	20	0.00106219130065
TRBV25-1.TRBJ2-2	4	0.000212438260131
TRBV20-1.TRBJ1-1	197	0.0104625843114
TRBV20-1.TRBJ1-2	143	0.00759466779967
TRBV6-5.TRBJ2-7	76	0.00403632694248
TRBV7-2.TRBJ1-5	12	0.000637314780392
TRBV7-2.TRBJ1-4	5	0.000265547825163
TRBV7-2.TRBJ1-6	9	0.000477986085294
TRBV7-2.TRBJ1-1	37	0.00196505390621
TRBV7-2.TRBJ1-3	11	0.000584205215359
TRBV7-2.TRBJ1-2	36	0.00191194434118
TRBV7-2.TRBJ2-6	1	5.31095650327e-05
TRBV7-2.TRBJ2-7	60	0.00318657390196
TRBV7-2.TRBJ2-4	7	0.000371766955229
TRBV7-2.TRBJ2-5	36	0.00191194434118
TRBV7-2.TRBJ2-2	23	0.00122151999575
TRBV7-2.TRBJ2-3	37	0.00196505390621
TRBV7-2.TRBJ2-1	42	0.00223060173137
TRBV10-3.TRBJ1-6	2	0.000106219130065
TRBV10-3.TRBJ1-5	5	0.000265547825163
TRBV10-3.TRBJ1-4	3	0.000159328695098
TRBV10-3.TRBJ1-3	3	0.000159328695098
TRBV10-3.TRBJ1-2	24	0.00127462956078
TRBV10-3.TRBJ1-1	9	0.000477986085294
TRBV7-7.TRBJ2-2	1	5.31095650327e-05
TRBV7-7.TRBJ2-1	5	0.000265547825163
TRBV7-7.TRBJ2-7	10	0.000531095650327
TRBV4-2.TRBJ1-1	1	5.31095650327e-05
TRBV25-1.TRBJ1-5	9	0.000477986085294
TRBV25-1.TRBJ1-4	4	0.000212438260131
TRBV25-1.TRBJ1-6	45	0.00238993042647
TRBV25-1.TRBJ1-1	8	0.000424876520261
TRBV25-1.TRBJ1-3	2	0.000106219130065
TRBV25-1.TRBJ1-2	12	0.000637314780392
TRBV6-5.TRBJ2-1	49	0.0026023686866
TRBV2-1.TRBJ1-2	24	0.00127462956078
TRBV4-2.TRBJ1-4	1	5.31095650327e-05
TRBV7-7.TRBJ1-1	4	0.000212438260131
TRBV7-7.TRBJ1-3	1	5.31095650327e-05
TRBV7-7.TRBJ1-4	1	5.31095650327e-05
TRBV7-7.TRBJ1-5	4	0.000212438260131
TRBV7-9.TRBJ2-1	58	0.00308035477189
TRBV7-9.TRBJ2-3	73	0.00387699824738
TRBV7-9.TRBJ2-2	132	0.00701046258431
TRBV7-9.TRBJ2-5	7	0.000371766955229
TRBV7-9.TRBJ2-4	1	5.31095650327e-05
TRBV7-9.TRBJ2-7	51	0.00270858781667
TRBV7-9.TRBJ2-6	1	5.31095650327e-05
TRBV4-2.TRBJ1-2	8	0.000424876520261
TRBV20-1.TRBJ2-6	10	0.000531095650327
TRBV20-1.TRBJ2-5	84	0.00446120346274
TRBV7-9.TRBJ1-1	35	0.00185883477614
TRBV20-1.TRBJ2-3	80	0.00424876520261
TRBV20-1.TRBJ2-2	18	0.000955972170588
TRBV20-1.TRBJ2-1	133	0.00706357214934
TRBV7-9.TRBJ1-5	42	0.00223060173137
TRBV2-1.TRBJ2-1	45	0.00238993042647
TRBV2-1.TRBJ2-2	48	0.00254925912157
TRBV2-1.TRBJ2-3	17	0.000902862605555
TRBV2-1.TRBJ2-4	2	0.000106219130065
TRBV2-1.TRBJ2-5	21	0.00111530086569
TRBV2-1.TRBJ2-6	2	0.000106219130065
TRBV2-1.TRBJ2-7	465	0.0246959477402
TRBV30-1.TRBJ2-1	29	0.00154017738595
TRBV11-2.TRBJ2-7	38	0.00201816347124
TRBV5-5.TRBJ1-6	2	0.000106219130065
TRBV7-8.TRBJ2-6	1	5.31095650327e-05
TRBV6-6.TRBJ1-4	7	0.000371766955229
TRBV6-6.TRBJ1-5	11	0.000584205215359
TRBV6-6.TRBJ1-6	5	0.000265547825163
TRBV6-6.TRBJ1-1	57	0.00302724520686
TRBV6-6.TRBJ1-2	17	0.000902862605555
TRBV6-6.TRBJ1-3	4	0.000212438260131
TRBV30-1.TRBJ2-6	1	5.31095650327e-05
TRBV30-1.TRBJ2-7	37	0.00196505390621
