	TRBV1-1	TRBV29-1	TRBV19-1	TRBV27-1	TRBV28-1	TRBV4-2	TRBV7-8	TRBV4-1	TRBV6-8	TRBV6-9	TRBV6-4	TRBV6-5	TRBV6-6	TRBV6-7	TRBV11-3	TRBV6-1	TRBV6-2	TRBV7-6	TRBV5-7	TRBV5-6	TRBV5-5	TRBV7-2	TRBV5-3	TRBV5-1	TRBV10-3	TRBV7-5	TRBV21-1	TRBV30-1	TRBV5-8	TRBV12-5	TRBV7-7	TRBV20-1	TRBV12-3	TRBV15-1	TRBV7-1	TRBV14-1	TRBV3-1	TRBV12-2	TRBV8-2	TRBV11-2	TRBV9-1	TRBV7-9	TRBV13-1	TRBV5-4	TRBV7-4	TRBV2-1	TRBV10-2	TRBV11-1	TRBV4-3	TRBV12-1	TRBV23-1	TRBV16-1	TRBV24-1	TRBV10-1	TRBV25-1	TRBV7-3	TRBV18-1	TRBV26-1
TRBJ2-4	1	50	147	147	141	29	34	67	1	0	10	50	46	3	10	132	50	20	0	49	7	67	2	170	20	0	20	93	19	9	2	303	121	44	0	18	162	2	0	40	71	100	28	49	4	139	11	6	0	2	4	2	24	7	14	22	76	0
TRBJ2-5	18	380	606	659	523	202	239	263	1	2	20	368	184	6	73	520	174	248	3	341	78	311	14	1343	180	6	76	491	71	63	147	1741	547	278	0	182	676	11	0	322	570	635	111	474	3	698	82	75	1	4	36	9	187	35	133	251	519	0
TRBJ2-6	0	68	247	161	110	37	46	26	0	0	7	98	19	2	9	147	40	33	1	55	6	61	0	205	61	0	18	116	17	23	10	133	89	76	0	21	97	1	2	34	115	104	11	82	1	147	10	29	0	1	8	13	24	3	21	48	72	2
TRBJ2-7	28	1112	1631	2372	2119	388	716	924	4	35	78	1098	577	20	124	2046	584	528	5	698	280	1011	43	2822	691	4	276	953	118	150	86	3342	1261	650	1	434	1600	26	0	999	1070	2277	300	713	7	1858	258	158	4	26	103	41	215	174	266	371	977	0
TRBJ2-1	28	616	1068	1185	731	334	441	453	1	6	120	673	341	7	237	903	337	330	1	398	75	521	21	1870	377	7	123	549	106	154	150	2432	1118	402	0	265	910	20	0	470	1212	1229	179	529	5	1148	122	80	3	3	36	19	360	224	290	661	535	0
TRBJ2-2	8	257	793	707	365	297	195	238	0	4	63	377	188	5	138	468	215	191	1	191	104	250	7	1103	238	3	104	436	62	85	95	780	660	194	0	139	738	11	0	256	729	576	79	356	1	586	68	52	0	4	36	4	159	91	100	381	317	0
TRBJ2-3	31	413	824	950	466	254	258	313	3	2	88	425	276	3	103	614	192	474	3	311	86	340	16	1385	550	3	70	407	66	66	73	1670	658	300	0	136	655	10	0	320	868	787	167	427	3	668	77	59	0	9	29	9	259	100	89	502	367	0
TRBJ1-6	0	33	361	352	43	52	99	123	0	1	26	271	106	3	18	382	68	76	2	154	36	117	6	364	98	2	24	382	14	31	4	393	337	101	0	103	278	7	0	85	339	249	57	127	0	297	6	9	0	0	21	6	28	17	125	72	144	0
TRBJ1-5	13	198	1535	1154	910	150	347	299	3	4	40	433	392	7	25	1085	658	92	1	173	106	317	22	514	225	5	156	652	90	109	16	1436	1368	354	0	37	786	18	0	150	334	480	41	94	5	991	104	14	0	5	58	36	187	80	78	68	418	0
TRBJ1-4	4	134	345	221	312	84	135	145	0	1	12	205	125	9	11	319	60	63	3	118	78	105	7	536	107	1	38	307	32	30	13	482	291	164	0	63	295	0	0	115	237	430	26	136	0	420	34	20	1	2	23	6	29	21	81	21	223	0
TRBJ1-3	0	82	285	175	164	65	105	140	0	0	27	142	114	2	14	378	51	82	2	100	23	121	6	382	99	2	15	258	17	30	20	314	261	85	0	69	272	3	0	108	305	199	44	89	3	266	16	9	0	2	12	3	22	19	114	41	175	0
TRBJ1-2	9	918	1498	1034	958	350	425	531	1	8	105	871	441	5	34	1179	261	128	3	564	166	444	24	1408	440	6	105	1206	92	103	17	1825	1041	322	0	300	1298	14	0	296	969	1201	176	592	3	1378	119	73	2	13	88	38	177	60	231	157	591	0
TRBJ1-1	9	633	1241	1379	549	160	316	381	0	5	58	689	367	4	80	720	202	201	0	334	118	254	21	1433	316	3	89	752	50	102	36	1243	805	268	0	178	661	13	0	316	573	753	351	393	1	701	46	62	1	4	43	39	131	81	173	350	554	0
