VJcombo	TCR22A.BC1_Reads	TCR22A.BC1_Freq
TRAV13-2.TRAJ10	1	1.70321191703e-07
TRAV19.TRAJ20	13	2.21417549214e-06
TRAV34.TRAJ20	15	2.55481787555e-06
TRAV26-2.TRAJ3	17	2.89546025896e-06
TRAV34.TRAJ22	23	3.91738740918e-06
TRAV19.TRAJ23	2	3.40642383407e-07
TRAV12-3.TRAJ5	41	6.98316885984e-06
TRAV34.TRAJ28	1	1.70321191703e-07
TRAV22.TRAJ10	9	1.53289072533e-06
TRAV12-3.TRAJ9	20	3.40642383407e-06
TRAV19.TRAJ22	2	3.40642383407e-07
TRAV4.TRAJ57	1	1.70321191703e-07
TRAV14DV4.TRAJ54	5896	0.00100421374628
TRAV30.TRAJ5	2	3.40642383407e-07
TRAV14DV4.TRAJ56	8764	0.00149269492409
TRAV14DV4.TRAJ57	1345	0.000229082002841
TRAV17.TRAJ56	1	1.70321191703e-07
TRAV8-1.TRAJ45	1	1.70321191703e-07
TRAV14DV4.TRAJ52	14479	0.00246608053467
TRAV14DV4.TRAJ53	1478	0.000251734721337
TRAV12-1.TRAJ28	3174	0.000540599462466
TRAV41.TRAJ43	104940	0.0178735058573
TRAV41.TRAJ40	10	1.70321191703e-06
TRAV41.TRAJ41	4	6.81284766813e-07
TRAV41.TRAJ47	41	6.98316885984e-06
TRAV41.TRAJ45	3	5.1096357511e-07
TRAV12-3.TRAJ43	34	5.79092051791e-06
TRAV17.TRAJ31	2	3.40642383407e-07
TRAV4.TRAJ53	65	1.10708774607e-05
TRAV23DV6.TRAJ8	1	1.70321191703e-07
TRAV30.TRAJ8	2	3.40642383407e-07
TRAV29DV5.TRAJ11	235	4.00254800503e-05
TRAV23DV6.TRAJ5	2	3.40642383407e-07
TRAV20.TRAJ45	8	1.36256953363e-06
TRAV19.TRAJ58	8	1.36256953363e-06
TRAV1-1.TRAJ29	1	1.70321191703e-07
TRAV12-1.TRAJ5	6	1.02192715022e-06
TRAV19.TRAJ52	16	2.72513906725e-06
TRAV19.TRAJ53	21	3.57674502577e-06
TRAV19.TRAJ54	3	5.1096357511e-07
TRAV26-1.TRAJ50	1	1.70321191703e-07
TRAV19.TRAJ56	19130	0.00325824439728
TRAV19.TRAJ57	3	5.1096357511e-07
TRAV23DV6.TRAJ45	1	1.70321191703e-07
TRAV8-1.TRAJ5	3083	0.000525100234021
TRAV12-2.TRAJ44	5	8.51605958517e-07
TRAV1-2.TRAJ17	2401	0.00040894118128
TRAV39.TRAJ27	11536	0.00196482526749
TRAV1-1.TRAJ24	65	1.10708774607e-05
TRAV26-1.TRAJ54	2	3.40642383407e-07
TRAV39.TRAJ21	1	1.70321191703e-07
TRAV39.TRAJ20	1	1.70321191703e-07
TRAV30.TRAJ9	18	3.06578145066e-06
TRAV12-1.TRAJ22	1	1.70321191703e-07
TRAV25.TRAJ29	2	3.40642383407e-07
TRAV39.TRAJ29	1	1.70321191703e-07
TRAV13-1.TRAJ53	17	2.89546025896e-06
TRAV9-2.TRAJ22	1650	0.00028102996631
TRAV9-2.TRAJ23	4	6.81284766813e-07
TRAV36DV7.TRAJ39	5990	0.0010202239383
TRAV8-1.TRAJ3	2	3.40642383407e-07
TRAV25.TRAJ27	6	1.02192715022e-06
TRAV36DV7.TRAJ32	4	6.81284766813e-07
TRAV9-2.TRAJ28	5	8.51605958517e-07
TRAV36DV7.TRAJ30	4	6.81284766813e-07
TRAV36DV7.TRAJ37	27	4.59867217599e-06
TRAV36DV7.TRAJ36	6	1.02192715022e-06
TRAV36DV7.TRAJ34	28245	0.00481072205966
TRAV19.TRAJ48	8	1.36256953363e-06
TRAV14DV4.TRAJ15	1	1.70321191703e-07
TRAV8-4.TRAJ45	1	1.70321191703e-07
TRAV19.TRAJ29	8530	0.00145283976523
TRAV19.TRAJ28	5	8.51605958517e-07
TRAV20.TRAJ49	3	5.1096357511e-07
TRAV20.TRAJ48	4	6.81284766813e-07
TRAV20.TRAJ47	34	5.79092051791e-06
TRAV6.TRAJ3	3	5.1096357511e-07
TRAV19.TRAJ27	11607	0.0019769180721
TRAV19.TRAJ26	840	0.000143069801031
TRAV20.TRAJ43	17	2.89546025896e-06
TRAV20.TRAJ42	13	2.21417549214e-06
TRAV20.TRAJ41	14363	0.00244632327643
TRAV20.TRAJ40	2	3.40642383407e-07
TRAV17.TRAJ45	5	8.51605958517e-07
TRAV17.TRAJ44	16	2.72513906725e-06
TRAV17.TRAJ47	9886	0.00168379530118
TRAV30.TRAJ6	2	3.40642383407e-07
