VJcombo	EC05_Reads	EC05_Freq
TRBV10-2.TRBJ2-5	29	0.000780073165483
TRBV10-2.TRBJ2-4	1	2.68990746718e-05
TRBV10-2.TRBJ2-7	67	0.00180223800301
TRBV10-2.TRBJ2-6	52	0.00139875188294
TRBV10-2.TRBJ2-1	15	0.000403486120077
TRBV10-2.TRBJ2-3	43	0.00115666021089
TRBV10-2.TRBJ2-2	9	0.000242091672046
TRBV23-1.TRBJ1-3	2	5.37981493437e-05
TRBV23-1.TRBJ1-2	9	0.000242091672046
TRBV17-1.TRBJ1-2	2	5.37981493437e-05
TRBV6-7.TRBJ1-2	2	5.37981493437e-05
TRBV10-1.TRBJ2-2	14	0.000376587045406
TRBV10-1.TRBJ2-1	15	0.000403486120077
TRBV10-1.TRBJ2-6	1	2.68990746718e-05
TRBV5-8.TRBJ1-4	5	0.000134495373359
TRBV4-1.TRBJ1-5	82	0.00220572412309
TRBV4-1.TRBJ1-4	65	0.00174843985367
TRBV4-1.TRBJ1-6	16	0.000430385194749
TRBV4-1.TRBJ1-1	445	0.011970088229
TRBV4-1.TRBJ1-3	24	0.000645577792124
TRBV4-1.TRBJ1-2	160	0.00430385194749
TRBV4-1.TRBJ2-6	18	0.000484183344093
TRBV4-1.TRBJ2-7	265	0.00712825478804
TRBV4-1.TRBJ2-4	10	0.000268990746718
TRBV4-1.TRBJ2-5	55	0.00147944910695
TRBV4-1.TRBJ2-2	46	0.0012373574349
TRBV4-1.TRBJ2-3	165	0.00443834732085
TRBV4-1.TRBJ2-1	135	0.0036313750807
TRBV14-1.TRBJ1-5	10	0.000268990746718
TRBV14-1.TRBJ1-4	11	0.00029588982139
TRBV14-1.TRBJ1-6	7	0.000188293522703
TRBV14-1.TRBJ1-1	28	0.000753174090811
TRBV14-1.TRBJ1-3	6	0.000161394448031
TRBV14-1.TRBJ1-2	22	0.00059177964278
TRBV14-1.TRBJ2-6	7	0.000188293522703
TRBV9-1.TRBJ1-5	31	0.000833871314827
TRBV9-1.TRBJ1-6	163	0.00438454917151
TRBV14-1.TRBJ2-5	25	0.000672476866796
TRBV14-1.TRBJ2-2	33	0.00088766946417
TRBV9-1.TRBJ1-1	294	0.00790832795352
TRBV9-1.TRBJ1-2	79	0.00212502689907
TRBV14-1.TRBJ2-1	76	0.00204432967506
TRBV7-6.TRBJ2-2	31	0.000833871314827
TRBV7-6.TRBJ2-3	29	0.000780073165483
TRBV7-6.TRBJ2-1	50	0.00134495373359
TRBV7-6.TRBJ2-6	2	5.37981493437e-05
TRBV7-6.TRBJ2-7	51	0.00137185280826
TRBV7-6.TRBJ2-5	16	0.000430385194749
TRBV10-2.TRBJ1-6	4	0.000107596298687
TRBV10-2.TRBJ1-4	3	8.06972240155e-05
TRBV10-2.TRBJ1-5	9	0.000242091672046
TRBV10-2.TRBJ1-2	28	0.000753174090811
TRBV10-2.TRBJ1-3	5	0.000134495373359
TRBV10-2.TRBJ1-1	99	0.00266300839251
TRBVA-or09_02.TRBJ1-2	27	0.000726275016139
TRBV4-3.TRBJ2-1	67	0.00180223800301
TRBV7-8.TRBJ2-2	33	0.00088766946417
TRBV4-3.TRBJ2-3	63	0.00169464170433
TRBV21-1.TRBJ1-1	21	0.000564880568108
TRBV7-8.TRBJ2-4	3	8.06972240155e-05
TRBV21-1.TRBJ1-3	6	0.000161394448031
TRBV21-1.TRBJ1-2	53	0.00142565095761
TRBV21-1.TRBJ1-5	45	0.00121045836023
TRBV21-1.TRBJ1-4	2	5.37981493437e-05
TRBV7-8.TRBJ2-5	184	0.00494942973962
TRBV21-1.TRBJ2-2	8	0.000215192597375
