	TRBV1-1	TRBV29-1	TRBV19-1	TRBV27-1	TRBV28-1	TRBV4-2	TRBV7-8	TRBV4-1	TRBV6-8	TRBV6-9	TRBV6-4	TRBV6-5	TRBV6-6	TRBV6-7	TRBV11-3	TRBV6-1	TRBV6-2	TRBV7-6	TRBV5-7	TRBV5-6	TRBV5-5	TRBV7-2	TRBV5-3	TRBV5-2	TRBV5-1	TRBV10-3	TRBV21-1	TRBV30-1	TRBV5-8	TRBV12-5	TRBV7-7	TRBV20-1	TRBV12-3	TRBV15-1	TRBV14-1	TRBV3-1	TRBV12-2	TRBV11-2	TRBV9-1	TRBV7-9	TRBV13-1	TRBV5-4	TRBV7-4	TRBV2-1	TRBV10-2	TRBV11-1	TRBV4-3	TRBV12-1	TRBV23-1	TRBV16-1	TRBV24-1	TRBV10-1	TRBV25-1	TRBV7-3	TRBV18-1	TRBV26-1
TRBJ2-4	0	4	115	3	11	6	0	2	0	0	0	18	76	0	1	45	6	1	0	4	1	5	0	0	11	4	0	0	3	0	0	35	11	4	4	10	1	7	7	277	1	4	0	11	3	0	0	0	0	0	0	0	0	8	4	0
TRBJ2-5	93	33	34	266	16	155	12	25	0	0	4	68	47	0	11	57	13	34	0	21	9	48	0	0	122	16	2	0	7	4	8	364	156	53	35	120	1	49	35	88	2	36	0	160	18	121	0	1	3	0	100	5	11	24	167	0
TRBJ2-6	1	3	37	59	5	32	4	4	0	0	3	27	15	0	1	19	6	2	0	1	3	17	3	0	16	21	1	0	0	1	0	9	11	2	5	99	0	9	16	15	5	4	0	9	0	2	0	0	0	0	1	0	30	3	80	0
TRBJ2-7	0	149	335	91	1209	46	148	413	8	9	37	29197	641	4	3	753	110	10	0	31	35	75	1	0	259	45	266	3	12	0	12	748	179	18	61	866	2	92	52	202	6	71	2	128	18	5	3	0	324	0	36	18	11	83	36	0
TRBJ2-1	1	42	606	79	57	35	25	284	0	0	43	790	114	0	48	55	25	9	0	799	19	59	1	0	486	34	9	1	21	5	20	274	53	25	29	289	0	222	104	83	3	53	0	113	17	13	4	0	22	0	19	11	18	299	53	0
TRBJ2-2	0	24	56	31	3440	27	9	473	0	0	431	479	43	0	33	58	33	16	0	16	26	17	0	0	287	21	18	0	3	7	4	142	105	16	7	93	18	36	79	82	125	22	0	165	8	6	3	0	1	3	79	193	4	52	42	0
TRBJ2-3	2	30	668	29	29	606	32	38	0	0	21	90	29	0	21	72	58	107	0	172	16	39	84	0	138	19	12	0	10	3	6	332	238	25	84	69	1	620	245	291	11	21	0	18424	0	9	0	0	1	0	119	17	9	205	39	0
TRBJ1-6	0	4	48	37	269	15	49	355	0	0	2	283	51	0	17	162	6	7	0	46	6	22	11	0	543	27	7	0	7	0	1	4949	47	6	22	315	0	2460	61	98	5	2	0	94	2	21	1	0	23	0	0	2	0	24	37	0
TRBJ1-5	15	19	119	648	529	119	46	105	1	2	8	451	3929	0	5	240	301	3	0	29	17	33	0	0	66	21	6	28	11	3	4	367	1228	20	1	119	0	137	42	170	2	5	0	1452	12	1	0	1	4	5	11	2	2	16	71	2
TRBJ1-4	0	85	162	27	30	13	18	13	0	0	0	57	38	0	3	137	3	9	1	16588	12	28	16	1	111	15	34	1	50	0	3	1098	28	15	51	37	0	44	62	111	3	61	0	33	2	6	0	0	1	0	3	17	12	12	38	0
TRBJ1-3	0	23	310	10	18	1	35	23	0	0	0	276	22	0	5	147	23	5	0	171	4	14	1	0	87	29	1	0	7	0	1	71	40	12	4	231	0	16	25	136	10	6	0	31	5	0	0	0	0	2	2	5	3	9	23	0
TRBJ1-2	3	169	417	141	943	337	156	225	0	1	254	220	53	1	74	197	376	3	0	89	21	48	1	0	396	40	9	1	265	9	0	767	232	44	24	339	9	87	202	712	8	177	0	264	10	10	3	0	278	4	117	10	13	35	107	0
TRBJ1-1	4	241	293	274	312	8	45	134	0	2	57	256	261	7	11	155	158	31	0	92	76	100	2	0	284	358	26	1	39	140	6	875	2329	16	96	173	0	280	68	369	6	46	0	4879	4	79	1	0	3	4	88	21	8	117	453	0
