	TRBV1-1	TRBV29-1	TRBV19-1	TRBV27-1	TRBV28-1	TRBV10-2	TRBV4-3	TRBV4-1	TRBV6-8	TRBV6-9	TRBV6-4	TRBV6-5	TRBV6-6	TRBV6-7	TRBV11-3	TRBV6-1	TRBV6-2	TRBV7-6	TRBV5-6	TRBV5-5	TRBV7-2	TRBV5-3	TRBV5-1	TRBV10-3	TRBV7-5	TRBV21-1	TRBV30-1	TRBV5-8	TRBV12-5	TRBV7-7	TRBV20-1	TRBV12-3	TRBV15-1	TRBV7-1	TRBV14-1	TRBV3-1	TRBV12-2	TRBV3-2	TRBV11-2	TRBV9-1	TRBV4-2	TRBV13-1	TRBV5-4	TRBV7-4	TRBV2-1	TRBV7-9	TRBV11-1	TRBV7-8	TRBV12-1	TRBV23-1	TRBV16-1	TRBV24-1	TRBV10-1	TRBV25-1	TRBV7-3	TRBV18-1
TRBJ2-4	0	2	5	5	18	1	4	0	0	0	0	1	1	0	0	7	0	0	1	1	7	0	4	2	0	3	0	1	2	0	22	5	4	0	0	2	0	0	5	5	0	0	3	0	9	6	0	1	0	0	0	1	4	2	0	2
TRBJ2-5	0	22	53	55	14	13	11	39	4	0	6	31	12	0	4	69	43	24	29	3	55	1	110	21	0	2	13	4	4	36	216	174	6	0	12	49	1	0	37	38	58	3	67	0	86	130	0	46	0	0	0	7	1	16	0	96
TRBJ2-6	0	12	8	9	2	0	2	0	0	0	0	9	1	0	0	8	20	0	23	1	12	0	13	5	0	0	8	58	0	0	7	12	12	0	1	4	0	0	2	2	6	0	3	0	15	9	0	5	0	1	1	0	0	2	0	12
TRBJ2-7	0	201	171	284	75	51	106	80	0	12	13	130	84	0	103	208	144	68	86	62	235	9	144	45	0	20	208	22	13	8	663	71	89	0	31	190	68	0	165	142	66	14	174	1	216	404	8	55	0	17	0	15	24	14	99	71
TRBJ2-1	0	403	150	81	16	12	13	50	2	1	10	82	26	0	47	270	93	31	135	394	70	1	122	60	0	13	196	5	24	88	326	114	46	0	20	98	2	0	38	189	51	18	43	0	83	87	1	33	0	4	1	47	19	15	0	38
TRBJ2-2	0	44	94	156	9	32	11	30	0	1	22	47	50	0	29	64	103	4	25	7	71	0	98	21	0	9	16	76	17	10	362	43	36	0	4	34	3	0	277	23	33	2	93	0	63	20	0	13	0	0	2	35	11	4	0	51
TRBJ2-3	0	98	53	59	13	29	51	26	0	0	37	41	39	0	32	100	57	30	88	20	147	1	120	67	0	17	19	13	6	13	227	47	23	0	17	110	0	0	29	29	46	6	42	0	55	81	2	34	0	2	0	14	15	6	0	37
TRBJ1-6	0	0	11	6	0	0	21	2	0	0	2	45	4	0	0	24	58	6	23	3	57	0	24	2	0	0	9	16	1	0	48	15	3	0	25	43	2	0	10	15	5	3	43	0	35	27	0	5	0	3	0	3	0	4	0	21
TRBJ1-5	1	3	151	44	23	21	4	42	0	0	13	50	25	0	4	63	32	11	15	21	116	0	15	22	1	6	21	3	2	1	177	52	22	0	0	43	0	0	9	20	17	2	2	3	43	142	1	71	0	0	2	9	59	0	7	35
TRBJ1-4	0	13	60	19	4	1	110	41	0	0	0	23	8	0	0	32	8	3	11	9	33	9	100	3	0	0	15	2	1	1	38	56	16	0	0	31	0	0	2	6	20	1	25	0	89	69	16	9	0	2	0	0	0	8	0	19
TRBJ1-3	0	19	30	38	11	6	8	4	0	0	0	41	42	2	2	65	5	19	13	6	32	0	29	5	0	2	3	2	1	4	49	9	8	0	5	22	0	0	37	7	34	6	129	0	27	367	0	5	0	0	0	1	6	3	0	32
TRBJ1-2	0	34	196	64	72	19	55	426	1	0	38	346	35	0	14	92	72	7	95	34	244	0	218	32	0	10	55	11	9	0	860	117	33	0	18	172	1	0	31	57	72	7	81	1	163	363	40	12	3	8	14	30	15	36	5	102
TRBJ1-1	0	58	229	33	35	28	75	62	0	0	5	67	37	0	18	109	30	6	30	162	140	0	140	80	0	6	174	17	15	7	369	165	32	1	51	78	0	3	23	43	21	12	40	0	73	260	3	23	0	4	2	4	19	17	3	60
