VJcombo	EC04_Reads	EC04_Freq
TRBV10-2.TRBJ2-5	4	0.00077399380805
TRBV10-2.TRBJ2-7	11	0.00212848297214
TRBV10-2.TRBJ2-6	1	0.000193498452012
TRBV10-2.TRBJ2-1	1	0.000193498452012
TRBV10-2.TRBJ2-3	3	0.000580495356037
TRBV10-2.TRBJ2-2	4	0.00077399380805
TRBV17-1.TRBJ1-2	2	0.000386996904025
TRBV28-1.TRBJ2-2	2	0.000386996904025
TRBV10-1.TRBJ2-2	2	0.000386996904025
TRBV5-8.TRBJ1-2	1	0.000193498452012
TRBV10-1.TRBJ2-7	12	0.00232198142415
TRBV4-1.TRBJ1-5	11	0.00212848297214
TRBV4-1.TRBJ1-4	8	0.0015479876161
TRBV4-1.TRBJ1-6	3	0.000580495356037
TRBV4-1.TRBJ1-1	34	0.00657894736842
TRBV4-1.TRBJ1-3	18	0.00348297213622
TRBV4-1.TRBJ1-2	18	0.00348297213622
TRBV4-1.TRBJ2-6	4	0.00077399380805
TRBV4-1.TRBJ2-7	28	0.00541795665635
TRBV4-1.TRBJ2-5	13	0.00251547987616
TRBV4-1.TRBJ2-2	2	0.000386996904025
TRBV4-1.TRBJ2-3	10	0.00193498452012
TRBV4-1.TRBJ2-1	21	0.00406346749226
TRBV14-1.TRBJ1-5	1	0.000193498452012
TRBV14-1.TRBJ1-4	3	0.000580495356037
TRBV14-1.TRBJ1-6	1	0.000193498452012
TRBV14-1.TRBJ1-1	5	0.000967492260062
TRBV14-1.TRBJ1-3	5	0.000967492260062
TRBV14-1.TRBJ1-2	8	0.0015479876161
TRBV9-1.TRBJ1-4	11	0.00212848297214
TRBV14-1.TRBJ2-7	8	0.0015479876161
TRBV9-1.TRBJ1-6	5	0.000967492260062
TRBV14-1.TRBJ2-5	4	0.00077399380805
TRBV14-1.TRBJ2-2	6	0.00116099071207
TRBV9-1.TRBJ1-1	26	0.00503095975232
TRBV9-1.TRBJ1-2	18	0.00348297213622
TRBV9-1.TRBJ1-3	15	0.00290247678019
TRBV7-6.TRBJ2-2	19	0.00367647058824
TRBV7-6.TRBJ2-3	4	0.00077399380805
TRBV7-6.TRBJ2-1	8	0.0015479876161
TRBV7-6.TRBJ2-6	2	0.000386996904025
TRBV7-6.TRBJ2-7	8	0.0015479876161
TRBV7-6.TRBJ2-5	10	0.00193498452012
TRBV10-2.TRBJ1-6	1	0.000193498452012
TRBV10-2.TRBJ1-4	3	0.000580495356037
TRBV10-2.TRBJ1-5	4	0.00077399380805
TRBV10-2.TRBJ1-2	8	0.0015479876161
TRBV10-2.TRBJ1-1	2	0.000386996904025
TRBVA-or09_02.TRBJ2-7	1	0.000193498452012
TRBV7-8.TRBJ2-1	19	0.00367647058824
TRBV7-8.TRBJ2-2	7	0.00135448916409
TRBV7-8.TRBJ2-3	16	0.0030959752322
TRBV21-1.TRBJ1-1	5	0.000967492260062
TRBV7-8.TRBJ2-4	2	0.000386996904025
TRBV21-1.TRBJ1-2	11	0.00212848297214
TRBV21-1.TRBJ1-5	7	0.00135448916409
TRBV21-1.TRBJ1-4	5	0.000967492260062
TRBV21-1.TRBJ1-6	2	0.000386996904025
TRBV21-1.TRBJ2-2	3	0.000580495356037
TRBV21-1.TRBJ2-3	5	0.000967492260062
TRBV21-1.TRBJ2-1	15	0.00290247678019
TRBV21-1.TRBJ2-7	43	0.00832043343653
TRBV21-1.TRBJ2-4	4	0.00077399380805
TRBV21-1.TRBJ2-5	4	0.00077399380805
TRBV6-1.TRBJ2-4	10	0.00193498452012
TRBV6-1.TRBJ2-5	11	0.00212848297214
TRBV6-1.TRBJ2-6	3	0.000580495356037
TRBV6-1.TRBJ2-7	31	0.00599845201238
TRBV6-1.TRBJ2-1	22	0.00425696594427
TRBV6-1.TRBJ2-2	10	0.00193498452012
TRBV6-1.TRBJ2-3	20	0.00386996904025
TRBV7-9.TRBJ2-6	5	0.000967492260062
TRBV7-8.TRBJ1-3	4	0.00077399380805
TRBV7-8.TRBJ1-2	5	0.000967492260062
TRBV4-3.TRBJ1-1	10	0.00193498452012
TRBV7-8.TRBJ1-6	8	0.0015479876161
TRBV7-8.TRBJ1-5	9	0.00174148606811
TRBV4-3.TRBJ1-4	5	0.000967492260062
TRBV7-6.TRBJ1-1	4	0.00077399380805
TRBV7-6.TRBJ1-3	6	0.00116099071207
TRBV7-6.TRBJ1-2	1	0.000193498452012
TRBV7-6.TRBJ1-5	1	0.000193498452012
TRBV7-6.TRBJ1-4	4	0.00077399380805
TRBV7-6.TRBJ1-6	1	0.000193498452012
TRBV6-1.TRBJ1-6	10	0.00193498452012
TRBV6-1.TRBJ1-5	19	0.00367647058824
TRBV6-1.TRBJ1-4	14	0.00270897832817
TRBV6-1.TRBJ1-3	8	0.0015479876161
TRBV6-1.TRBJ1-2	21	0.00406346749226
TRBV6-1.TRBJ1-1	29	0.00561145510836
TRBV23-1.TRBJ2-1	1	0.000193498452012
TRBV23-1.TRBJ2-2	22	0.00425696594427
TRBV23-1.TRBJ2-3	1	0.000193498452012
TRBV23-1.TRBJ2-5	1	0.000193498452012
