	TRBV29-1	TRBV19-1	TRBV27-1	TRBV6-1	TRBV28-1	TRBV7-9	TRBV7-8	TRBV4-1	TRBV6-8	TRBV6-9	TRBV7-1	TRBV6-5	TRBV6-6	TRBV6-7	TRBV11-3	TRBV11-2	TRBV6-2	TRBV7-6	TRBV5-7	TRBV5-6	TRBV5-5	TRBV7-2	TRBV5-3	TRBV5-1	TRBV10-3	TRBV21-1	TRBV30-1	TRBV5-8	TRBV12-5	TRBV7-7	TRBV20-1	TRBV12-3	TRBV15-1	TRBV14-1	TRBV3-1	TRBV12-2	TRBV9-1	TRBV4-2	TRBV13-1	TRBV5-4	TRBV2-1	TRBV10-2	TRBV11-1	TRBV4-3	TRBV23-1	TRBV16-1	TRBV24-1	TRBV10-1	TRBV6-4	TRBV25-1	TRBV7-3	TRBV18-1
TRBJ2-4	0	8	3	1	10	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	1	1	0	1	0	1	0	0	0	0	2	3	4	0	1	0	0	0	1	1	3	0	0	0	0	0	0	0	0	2	0	1
TRBJ2-5	2	9	2	15	1	70	3	16	1	0	0	7	6	0	3	8	7	8	0	15	2	10	0	49	6	1	4	1	0	9	39	65	4	2	5	1	16	6	1	2	8	10	0	3	0	0	3	3	1	8	2	9
TRBJ2-6	2	7	1	3	2	0	0	1	0	0	0	4	0	0	1	1	5	0	0	2	1	0	2	1	0	0	1	0	0	0	3	8	4	1	1	0	0	1	0	1	1	0	0	1	0	0	0	0	0	0	0	1
TRBJ2-7	51	57	178	42	30	98	15	33	0	6	1	16	14	0	13	37	32	21	0	22	8	63	0	36	13	6	192	3	7	4	174	15	6	5	26	18	13	22	3	39	31	13	1	46	2	0	6	6	0	5	1	21
TRBJ2-1	33	34	55	18	17	19	7	25	0	0	0	114	8	0	9	13	25	7	2	14	804	12	1	44	10	3	12	2	20	3	81	21	113	5	16	0	31	6	2	6	65	2	0	1	0	0	4	0	1	0	1	7
TRBJ2-2	6	21	62	5	0	8	6	4	0	0	0	3	16	0	0	6	26	2	0	3	2	7	0	21	4	0	8	2	6	1	104	11	4	0	20	0	10	2	0	16	17	5	1	3	0	0	9	1	1	0	0	8
TRBJ2-3	13	23	7	25	1	12	12	8	0	0	0	9	5	0	8	4	15	8	0	59	12	17	1	22	10	5	4	1	2	6	44	14	3	5	98	1	5	13	2	10	11	8	1	12	1	0	6	3	5	4	0	3
TRBJ1-6	0	4	0	4	1	2	0	4	0	0	0	0	4	0	0	6	24	0	0	8	2	6	1	8	1	0	0	0	0	0	3	4	3	0	6	0	1	2	0	173	17	0	0	0	0	0	0	0	0	3	0	6
TRBJ1-5	7	49	1	13	6	87	12	8	0	0	0	45	13	1	0	4	9	2	0	3	16	41	0	11	2	1	2	0	0	0	18	11	6	0	19	0	0	1	0	3	7	9	0	2	0	2	7	0	0	1	1	6
TRBJ1-4	6	15	9	5	3	53	4	22	0	0	0	11	1	0	0	2	0	0	0	2	1	5	1	14	0	0	3	2	0	0	5	5	3	2	6	0	3	2	0	12	2	0	0	14	4	0	1	0	1	0	0	0
TRBJ1-3	3	8	1	6	8	31	2	4	0	0	0	10	20	0	0	2	0	0	0	1	2	4	0	11	3	0	3	0	0	0	10	3	1	1	2	0	2	11	2	71	4	0	0	1	1	0	0	0	0	1	1	0
TRBJ1-2	5	66	14	15	9	49	4	245	0	0	0	108	12	0	14	5	20	0	0	23	13	44	0	53	5	2	59	4	2	0	120	32	3	14	17	0	22	6	1	28	24	4	15	19	1	0	2	0	6	2	2	18
TRBJ1-1	10	58	6	31	11	202	7	8	0	0	0	23	22	0	1	15	10	5	0	2	58	7	0	17	8	1	7	11	3	1	83	33	8	17	19	0	26	6	6	7	15	2	0	8	0	0	2	4	1	4	0	9
