	TRBV1-1	TRBV29-1	TRBV19-1	TRBV27-1	TRBV28-1	TRBV4-2	TRBV4-3	TRBV4-1	TRBV6-9	TRBV6-4	TRBV6-5	TRBV6-6	TRBV6-7	TRBV11-3	TRBV6-1	TRBV6-2	TRBV7-6	TRBV5-7	TRBV5-6	TRBV5-5	TRBV7-2	TRBV5-3	TRBV5-1	TRBV10-3	TRBV7-5	TRBV21-1	TRBV30-1	TRBV5-8	TRBV12-5	TRBV7-7	TRBV20-1	TRBV12-3	TRBV15-1	TRBV14-1	TRBV3-1	TRBV12-2	TRBV11-2	TRBV9-1	TRBV7-9	TRBV13-1	TRBV5-4	TRBV7-4	TRBV2-1	TRBV10-2	TRBV17-1	TRBV11-1	TRBV7-8	TRBV12-1	TRBV23-1	TRBV16-1	TRBV24-1	TRBV10-1	TRBV25-1	TRBV7-3	TRBV18-1
TRBJ2-4	0	1	7	4498	20	1	0	8	0	1	12	2	0	0	9	0	3	0	5	0	5	1	9	2	0	0	6	0	0	1	27	11	1	557	15	0	6	4	3	1	3	0	13	1	0	4	1	0	2	0	1	1	2	1	6
TRBJ2-5	1	28	152	45	45	35	3	998	0	14	359	13	0	25	99	11	15	0	23	8	49	0	76	13	0	5	36	5	4	20	110	259	22	7	115	3	47	36	77	10	26	0	69	4	0	9	14	0	0	0	35	57	14	13	29
TRBJ2-6	0	2	27	17	5	9	1	4	0	6	6	4	0	3	19	7	3	0	5	2	5	0	12	9	0	1	2	8	0	0	17	19	2	1	29	0	2	1	10	2	6	1	8	3	0	0	0	2	0	0	5	6	2	0	4
TRBJ2-7	1	64	145	297	208	93	0	252	0	27	158	57	0	157	266	48	14	1	779	39	132	8	285	111	0	29	111	63	16	8	361	186	83	125	320	11	152	53	198	32	236	0	314	55	1	38	289	0	5	3	73	105	83	28	134
TRBJ2-1	0	652	190	5618	92	46	0	66	1	45	2292	17	1	72	119	19	84	0	34	3	177	0	165	27	0	28	94	13	6	45	288	144	30	19	76	1	402	96	112	38	42	0	125	83	0	29	47	0	5	0	71	38	35	71	37
TRBJ2-2	1	30	81	41	37	13	0	59	0	45	34	9	0	23	54	12	17	0	24	16	30	0	100	17	0	33	69	7	3	12	233	58	25	10	105	3	23	59	45	9	40	0	61	8	1	8	15	0	1	3	23	23	26	20	31
TRBJ2-3	1	85	60	147	41	34	0	54	0	36	77	24	0	102	76	67	16	0	30	4	48	0	98	17	0	17	197	3	5	13	152	57	9	17	96	0	34	69	83	16	42	0	112	7	0	46	27	0	3	2	30	38	10	29	35
TRBJ1-6	0	3	141	35	49	2	1	68	0	2	30	14	0	0	60	9	9	0	50	6	27	0	61	78	0	2	35	3	0	0	57	35	11	1	111	1	48	4	26	80	17	0	51	3	0	0	7	0	1	0	0	15	2	82	39
TRBJ1-5	1	43	209	109	100	15	0	125	0	11	186	37	0	13	186	366	17	0	9	14	64	0	38	31	2	6	111	29	11	0	243	114	113	4	59	2	17	14	45	4	11	0	129	26	0	1	50	0	3	1	30	6	23	10	48
TRBJ1-4	1	17	33	79	38	51	0	60	1	3	29	11	0	10	26	23	34	0	12	2	24	0	77	10	0	2	45	5	61	1	55	100	10	12	148	0	26	16	85	1	9	0	44	4	0	1	25	0	0	5	9	4	5	3	15
TRBJ1-3	3	13	16	15	20	86	2	198	0	52	100	8	0	116	50	3	5	0	71	6	12	1	34	7	0	0	23	3	1	1	29	27	8	6	39	1	13	43	32	6	8	0	27	130	0	0	4	2	0	3	4	3	1	3	24
TRBJ1-2	0	93	283	133	215	17	2	361	0	16	169	53	0	24	378	197	40	0	631	28	74	7	172	92	0	99	70	21	7	0	290	151	78	26	169	1	101	73	198	18	53	0	162	23	0	21	175	2	11	18	41	16	32	29	190
TRBJ1-1	0	60	178	293	122	86	0	89	1	57	183	365	1	33	213	31	22	1	47	21	54	0	276	56	0	10	104	28	8	32	259	298	29	40	167	3	231	55	117	14	48	0	162	46	0	16	57	2	2	15	26	80	21	84	56
