	TRBV1-1	TRBV29-1	TRBV19-1	TRBV27-1	TRBV28-1	TRBV4-2	TRBV4-3	TRBV4-1	TRBV6-8	TRBV6-9	TRBV6-4	TRBV6-5	TRBV6-6	TRBV6-7	TRBV11-3	TRBV6-1	TRBV6-2	TRBV7-6	TRBV5-7	TRBV5-6	TRBV5-5	TRBV7-2	TRBV5-3	TRBV5-1	TRBV10-3	TRBV7-5	TRBV21-1	TRBV30-1	TRBV5-8	TRBV12-5	TRBV7-7	TRBV20-1	TRBV12-3	TRBV15-1	TRBV7-1	TRBV14-1	TRBV3-1	TRBV12-2	TRBV3-2	TRBV11-2	TRBV9-1	TRBV7-9	TRBV13-1	TRBV5-4	TRBV7-4	TRBV2-1	TRBV10-2	TRBV17-1	TRBV11-1	TRBV7-8	TRBV12-1	TRBV23-1	TRBV16-1	TRBV24-1	TRBV10-1	TRBV25-1	TRBV7-3	TRBV18-1
TRBJ2-4	1	275	45	80	109	9	31	17	0	0	0	77	12	0	11	29	50	18	0	25	4	59	0	48	11	0	8	0	1	8	1	107	59	19	0	6	76	4	0	4	18	40	26	26	0	26	9	0	0	10	0	4	0	22	0	11	3	21
TRBJ2-5	0	170	395	280	607	55	151	76	0	3	16	211	94	2	131	161	235	101	1	146	82	328	2	336	71	0	30	4	26	660	117	888	318	147	0	151	325	2	0	233	224	290	37	133	1	246	43	0	19	133	1	22	2	312	89	54	110	231
TRBJ2-6	0	416	85	160	73	6	21	32	0	0	4	37	7	0	17	36	50	17	1	71	17	53	0	65	48	0	21	0	5	7	1	50	48	7	0	12	20	0	0	15	25	45	6	17	0	25	7	0	3	7	0	11	0	41	1	7	35	26
TRBJ2-7	47	538	755	1488	1715	484	1442	1394	3	2	54	1090	489	19	1159	756	1196	358	1	546	287	1487	31	1212	347	4	85	9	227	222	56	1960	1353	310	1	656	1091	11	2	1027	786	2392	196	706	3	926	199	0	61	804	5	36	9	540	176	202	130	397
TRBJ2-1	3	363	519	904	818	311	317	205	2	2	81	475	197	1	288	684	735	354	1	264	109	585	13	529	370	19	75	13	43	132	105	1394	879	251	1	295	374	13	3	246	631	1203	117	366	1	631	82	0	44	676	4	13	12	444	545	113	308	298
TRBJ2-2	1	269	390	362	403	64	332	106	1	1	42	376	92	0	164	179	351	163	0	106	32	247	4	455	99	0	32	2	42	60	70	387	315	109	0	41	315	11	0	151	403	269	51	185	0	278	36	0	39	306	3	8	0	198	114	41	160	167
TRBJ2-3	5	253	441	393	541	89	192	208	0	0	99	343	98	1	179	347	413	204	0	140	64	1212	8	363	190	1	40	1	28	37	128	937	520	189	0	73	319	5	0	136	474	328	92	215	3	389	94	1	19	139	2	16	7	266	260	39	137	177
TRBJ1-6	0	0	6	4	10	4	1	1	0	0	0	2	3	0	1	4	1	3	0	5	0	4	0	4	2	0	1	0	1	0	0	10	7	0	0	1	0	0	0	1	4	1	2	2	0	2	0	0	0	3	0	0	0	0	0	2	0	2
TRBJ1-5	1	93	665	1274	1223	33	66	80	0	0	17	248	222	4	11	334	397	54	4	244	98	304	15	261	169	2	52	8	30	37	2	961	406	98	0	65	366	1	0	70	298	370	18	78	0	465	88	0	5	238	8	29	31	220	35	25	30	322
TRBJ1-4	0	132	211	191	286	134	214	150	1	1	4	168	60	1	50	108	64	46	5	50	65	85	4	109	26	0	11	0	12	9	6	154	188	306	0	39	159	1	0	57	98	216	24	64	11	190	6	0	19	53	0	2	45	71	12	20	84	84
TRBJ1-3	0	71	144	69	212	11	23	43	0	0	7	102	40	1	32	112	33	37	0	33	32	132	1	144	39	0	11	2	62	21	14	114	124	105	0	6	138	0	0	209	270	178	28	70	1	77	6	0	1	43	0	7	2	42	5	11	17	83
TRBJ1-2	0	334	591	741	1388	77	165	87	0	2	38	626	276	4	93	252	681	59	1	302	127	473	9	458	150	0	36	4	125	188	657	428	560	99	0	94	1313	5	0	212	351	700	63	439	6	222	64	0	10	121	2	15	48	225	36	169	78	242
TRBJ1-1	0	606	495	890	856	47	218	170	2	2	44	2181	328	1	174	278	436	121	0	172	112	312	3	554	190	1	32	5	30	47	13	634	438	126	0	67	277	0	0	339	305	733	75	222	1	318	158	1	37	194	2	5	8	95	113	50	74	404
