	TRBV1-1	TRBV29-1	TRBV19-1	TRBV27-1	TRBV28-1	TRBV4-2	TRBV4-3	TRBV4-1	TRBV6-8	TRBV6-9	TRBV6-4	TRBV6-5	TRBV6-6	TRBV6-7	TRBV11-3	TRBV6-1	TRBV6-2	TRBV7-6	TRBV5-7	TRBV5-6	TRBV5-5	TRBV7-2	TRBV5-3	TRBV5-1	TRBV10-3	TRBV7-5	TRBV21-1	TRBV30-1	TRBV5-8	TRBV12-5	TRBV7-7	TRBV20-1	TRBV12-3	TRBV15-1	TRBV7-1	TRBV14-1	TRBV3-1	TRBV12-2	TRBV8-2	TRBV11-2	TRBV9-1	TRBV7-9	TRBV13-1	TRBV5-4	TRBV7-4	TRBV2-1	TRBV10-2	TRBV11-1	TRBV7-8	TRBV12-1	TRBV23-1	TRBV16-1	TRBV24-1	TRBV10-1	TRBV25-1	TRBV7-3	TRBV18-1
TRBJ2-4	0	18	10	134	92	18	4	4	0	0	2	5	2	0	0	7	32	3	0	5	2	16	1	4	0	0	0	14	2	0	0	56	28	13	0	1	31	0	0	27	11	6	4	6	2	112	1	0	4	1	0	1	4	0	13	1	3
TRBJ2-5	1	79	46	203	100	36	168	80	0	0	59	78	16	2	14	41	115	103	0	37	13	108	1	115	21	0	13	26	11	4	25	332	89	18	0	17	125	1	0	722	785	474	104	77	0	119	6	7	70	0	5	3	39	5	17	23	81
TRBJ2-6	1	44	76	59	46	19	13	17	0	0	3	9	1	0	5	15	17	28	0	3	81	70	0	22	12	0	2	20	2	0	0	27	7	3	0	17	12	0	1	7	12	49	4	15	0	18	1	1	2	0	1	0	6	0	2	16	27
TRBJ2-7	3	581	185	1135	1082	609	206	1084	4	3	11	89	86	5	106	603	670	217	12	75	135	518	5	210	659	0	35	151	25	13	17	652	72	413	1	39	196	4	0	114	381	704	37	133	2	86	36	5	138	0	4	2	35	28	25	10	219
TRBJ2-1	3	3046	155	2305	248	117	115	170	0	1	44	143	38	0	33	166	317	1398	0	54	67	229	0	306	109	4	8	57	12	8	19	405	131	61	1	112	280	0	0	196	293	3134	28	102	1	320	15	5	132	6	76	17	227	17	90	156	84
TRBJ2-2	10	85	90	164	941	243	2412	318	0	0	20	175	35	1	36	44	158	316	0	28	17	109	3	553	435	0	11	15	18	13	91	181	135	60	0	17	91	1	0	707	336	147	8	71	0	96	3	5	119	0	4	3	33	92	27	48	55
TRBJ2-3	114	46	80	287	402	91	65	47	0	0	33	57	21	0	24	105	193	219	0	37	118	96	0	183	63	0	8	30	95	5	22	286	77	30	0	23	176	3	0	32	740	571	36	38	4	37	11	5	41	77	3	1	67	5	18	18	69
TRBJ1-6	0	4	53	44	94	6	9	77	0	0	7	118	13	0	4	34	26	268	0	9	10	39	0	35	51	0	1	46	4	1	0	46	17	14	0	7	34	0	0	34	30	67	3	34	0	16	3	9	16	0	4	0	2	4	10	50	17
TRBJ1-5	3	20	325	1444	985	38	142	29	0	0	16	71	68	0	6	118	145	1372	1	53	10	111	4	99	598	3	16	115	14	3	31	311	137	36	0	3	93	0	0	20	70	498	1	15	1	397	10	2	66	0	7	4	16	15	3	1	202
TRBJ1-4	0	13	91	174	82	18	144	29	0	0	11	35	10	0	0	20	29	149	0	34	5	104	2	46	11	186	9	53	5	0	5	49	17	36	0	4	29	0	0	22	154	86	216	24	1	34	2	1	10	1	1	10	7	1	4	1	27
TRBJ1-3	0	8	24	142	189	14	22	25	0	0	1	20	7	0	5	28	8	179	0	15	2	87	0	59	43	0	2	31	3	0	5	31	19	42	0	114	39	0	0	11	62	37	26	17	0	47	1	0	6	2	0	1	131	0	8	8	17
TRBJ1-2	2	86	237	1198	619	168	443	134	1	1	8	285	35	237	0	532	258	378	0	81	73	214	4	117	188	1	14	144	26	7	2	2922	139	84	2	68	179	1	0	49	474	645	17	146	0	208	8	6	156	1	13	0	175	13	41	20	86
TRBJ1-1	4	142	204	642	362	268	98	74	0	0	112	67	24	1	16	139	115	204	0	135	28	98	0	156	178	0	5	131	14	5	10	296	148	319	0	60	105	1	0	175	179	427	25	186	2	105	11	7	36	0	7	12	16	130	34	31	83
