VJcombo	Pt59_pre_Reads	Pt59_pre_Freq
TRBV10-2.TRBJ2-5	6	7.92832791564e-05
TRBV10-2.TRBJ2-4	1	1.32138798594e-05
TRBV10-2.TRBJ2-7	36	0.000475699674939
TRBV10-2.TRBJ2-6	1	1.32138798594e-05
TRBV10-2.TRBJ2-1	15	0.000198208197891
TRBV10-2.TRBJ2-3	11	0.000145352678453
TRBV10-2.TRBJ2-2	3	3.96416395782e-05
TRBV12-3.TRBJ1-4	17	0.00022463595761
TRBV6-7.TRBJ1-1	1	1.32138798594e-05
TRBV23-1.TRBJ1-5	7	9.24971590158e-05
TRBV6-7.TRBJ1-2	237	0.00313168952668
TRBV5-8.TRBJ1-1	14	0.000184994318032
TRBV10-1.TRBJ2-1	17	0.00022463595761
TRBV5-8.TRBJ1-4	5	6.6069399297e-05
TRBV4-1.TRBJ1-5	29	0.000383202515923
TRBV4-1.TRBJ1-4	29	0.000383202515923
TRBV4-1.TRBJ1-6	77	0.00101746874917
TRBV4-1.TRBJ1-1	74	0.000977827109596
TRBV4-1.TRBJ1-3	25	0.000330346996485
TRBV4-1.TRBJ1-2	134	0.00177065990116
TRBV4-1.TRBJ2-6	17	0.00022463595761
TRBV4-1.TRBJ2-7	1084	0.0143238457676
TRBV4-1.TRBJ2-4	4	5.28555194376e-05
TRBV4-1.TRBJ2-5	80	0.00105711038875
TRBV4-1.TRBJ2-2	318	0.00420201379529
TRBV4-1.TRBJ2-3	47	0.000621052353392
TRBV4-1.TRBJ2-1	170	0.0022463595761
TRBV7-8.TRBJ1-4	10	0.000132138798594
TRBV14-1.TRBJ1-4	4	5.28555194376e-05
TRBV14-1.TRBJ1-6	7	9.24971590158e-05
TRBV14-1.TRBJ1-1	60	0.000792832791564
TRBV14-1.TRBJ1-3	114	0.00150638230397
TRBV14-1.TRBJ1-2	68	0.000898543830439
TRBV9-1.TRBJ1-4	154	0.00203493749835
TRBV9-1.TRBJ1-5	70	0.000924971590158
TRBV9-1.TRBJ1-6	30	0.000396416395782
TRBV14-1.TRBJ2-5	17	0.00022463595761
TRBV14-1.TRBJ2-2	17	0.00022463595761
TRBV9-1.TRBJ1-1	179	0.00236528449483
TRBV9-1.TRBJ1-2	474	0.00626337905336
TRBV14-1.TRBJ2-1	112	0.00147995454425
TRBV7-6.TRBJ2-2	316	0.00417558603557
TRBV7-6.TRBJ2-3	219	0.00289383968921
TRBV7-6.TRBJ2-1	1398	0.0184730040434
TRBV7-6.TRBJ2-6	28	0.000369988636063
TRBV7-6.TRBJ2-7	217	0.00286741192949
