VJcombo	Pt70_pre_Reads	Pt70_pre_Freq
TRBV10-2.TRBJ2-5	14	0.000248769479539
TRBV10-2.TRBJ2-7	320	0.00568615953231
TRBV10-2.TRBJ2-6	2	3.5538497077e-05
TRBV10-2.TRBJ2-1	30	0.000533077456154
TRBV10-2.TRBJ2-3	5	8.88462426924e-05
TRBV10-2.TRBJ2-2	2099	0.0372976526823
TRBV23-1.TRBJ1-3	2	3.5538497077e-05
TRBV23-1.TRBJ1-2	5	8.88462426924e-05
TRBV6-7.TRBJ1-1	1	1.77692485385e-05
TRBV23-1.TRBJ1-5	8	0.000142153988308
TRBV10-1.TRBJ2-2	22	0.000390923467847
TRBV6-2.TRBJ2-3	37	0.000657462195924
TRBV10-1.TRBJ2-1	115	0.00204346358193
TRBV10-1.TRBJ2-6	2	3.5538497077e-05
TRBV5-8.TRBJ1-4	7	0.000124384739769
TRBV4-1.TRBJ1-5	39	0.000693000693001
TRBV4-1.TRBJ1-4	30	0.000533077456154
TRBV4-1.TRBJ1-6	4	7.10769941539e-05
TRBV4-1.TRBJ1-1	33	0.00058638520177
TRBV4-1.TRBJ1-3	64	0.00113723190646
TRBV4-1.TRBJ1-2	99	0.00175915560531
TRBV4-1.TRBJ2-6	5	8.88462426924e-05
TRBV4-1.TRBJ2-7	849	0.0150860920092
TRBV4-1.TRBJ2-4	8	0.000142153988308
TRBV4-1.TRBJ2-5	13	0.000231000231
TRBV4-1.TRBJ2-2	52	0.000924000924001
TRBV4-1.TRBJ2-3	30	0.000533077456154
TRBV4-1.TRBJ2-1	67	0.00119053965208
TRBV14-1.TRBJ1-6	5	8.88462426924e-05
TRBV14-1.TRBJ1-1	43	0.000764077687155
TRBV14-1.TRBJ1-3	2	3.5538497077e-05
TRBV14-1.TRBJ1-2	19	0.000337615722231
TRBV9-1.TRBJ1-4	51	0.000906231675462
TRBV9-1.TRBJ1-5	24	0.000426461964924
TRBV9-1.TRBJ1-6	17	0.000302077225154
TRBV14-1.TRBJ2-5	14	0.000248769479539
TRBV14-1.TRBJ2-2	6	0.000106615491231
TRBV9-1.TRBJ1-1	163	0.00289638751177
TRBV9-1.TRBJ1-2	194	0.00344723421646
TRBV9-1.TRBJ1-3	453	0.00804946958793
TRBV7-6.TRBJ2-2	10	0.000177692485385
TRBV7-6.TRBJ2-3	43	0.000764077687155
TRBV7-6.TRBJ2-1	54	0.000959539421078
TRBV7-6.TRBJ2-7	411	0.00730316114931
TRBV7-6.TRBJ2-5	62	0.00110169340939
TRBV10-2.TRBJ1-6	10	0.000177692485385
TRBV10-2.TRBJ1-4	3	5.33077456154e-05
TRBV10-2.TRBJ1-5	7	0.000124384739769
TRBV10-2.TRBJ1-2	28	0.000497538959077
TRBV10-2.TRBJ1-3	2	3.5538497077e-05
TRBV10-2.TRBJ1-1	15	0.000266538728077
TRBV24-1.TRBJ2-3	20	0.00035538497077
TRBV24-1.TRBJ2-2	12	0.000213230982462
TRBV24-1.TRBJ2-1	64	0.00113723190646
TRBV24-1.TRBJ2-7	40	0.000710769941539
TRBV24-1.TRBJ2-5	14	0.000248769479539
TRBV24-1.TRBJ2-4	2	3.5538497077e-05
TRBVA-or09_02.TRBJ1-2	8	0.000142153988308
TRBVA-or09_02.TRBJ2-7	8	0.000142153988308
TRBV4-3.TRBJ2-1	40	0.000710769941539
TRBV7-8.TRBJ2-2	20	0.00035538497077
TRBV4-3.TRBJ2-3	15	0.000266538728077
TRBV21-1.TRBJ1-1	9	0.000159923236846
TRBV4-3.TRBJ2-4	1	1.77692485385e-05
TRBV21-1.TRBJ1-3	3	5.33077456154e-05
TRBV21-1.TRBJ1-2	28	0.000497538959077
TRBV21-1.TRBJ1-5	18	0.000319846473693
TRBV21-1.TRBJ1-4	1	1.77692485385e-05
TRBV4-3.TRBJ2-5	73	0.00129715514331
TRBV21-1.TRBJ2-2	1	1.77692485385e-05
TRBV21-1.TRBJ2-3	7	0.000124384739769
TRBV21-1.TRBJ2-1	7	0.000124384739769
TRBV21-1.TRBJ2-6	4	7.10769941539e-05
TRBV21-1.TRBJ2-7	51	0.000906231675462
TRBV21-1.TRBJ2-5	27	0.000479769710539
TRBV6-1.TRBJ2-4	20	0.00035538497077
TRBV6-1.TRBJ2-5	47	0.000835154681309
TRBV6-1.TRBJ2-6	7	0.000124384739769
TRBV6-1.TRBJ2-7	331	0.00588162126624
TRBV6-1.TRBJ2-1	144	0.00255877178954
TRBV6-1.TRBJ2-2	496	0.00881354727509
TRBV6-1.TRBJ2-3	55	0.000977308669616
TRBV12-3.TRBJ2-6	7	0.000124384739769
TRBV12-3.TRBJ2-7	1272	0.0226024841409
TRBV12-3.TRBJ2-4	8	0.000142153988308
TRBV12-3.TRBJ2-5	116	0.00206123283046
TRBV12-3.TRBJ2-2	35	0.000621923698847
TRBV12-3.TRBJ2-3	65	0.001155001155
TRBV12-3.TRBJ2-1	101	0.00179469410239
TRBV24-1.TRBJ1-1	7	0.000124384739769
TRBV24-1.TRBJ1-2	12	0.000213230982462
TRBV24-1.TRBJ1-3	3	5.33077456154e-05
TRBV24-1.TRBJ1-4	2	3.5538497077e-05
TRBV24-1.TRBJ1-5	15	0.000266538728077
TRBV24-1.TRBJ1-6	1	1.77692485385e-05
TRBV4-3.TRBJ1-3	15	0.000266538728077
TRBV4-3.TRBJ1-2	159	0.00282531051762
TRBV7-8.TRBJ1-1	30	0.000533077456154
TRBV4-3.TRBJ1-6	28	0.000497538959077
TRBV7-8.TRBJ1-5	99	0.00175915560531
TRBV7-8.TRBJ1-4	19	0.000337615722231
TRBV9-1.TRBJ2-3	152	0.00270092577785
TRBV6-2.TRBJ2-6	2	3.5538497077e-05
TRBV6-2.TRBJ2-5	82	0.00145707838016
TRBV7-6.TRBJ1-1	39	0.000693000693001
TRBV7-6.TRBJ1-3	37	0.000657462195924
TRBV7-6.TRBJ1-2	15	0.000266538728077
TRBV7-6.TRBJ1-5	72	0.00127938589477
TRBV7-6.TRBJ1-4	19	0.000337615722231
TRBV7-6.TRBJ1-6	2	3.5538497077e-05
TRBV6-1.TRBJ1-6	354	0.00629031398262
TRBV6-1.TRBJ1-5	163	0.00289638751177
TRBV6-1.TRBJ1-4	23	0.000408692716385
TRBV6-1.TRBJ1-3	49	0.000870693178385
TRBV6-1.TRBJ1-2	103	0.00183023259946
TRBV6-1.TRBJ1-1	182	0.003234003234
TRBV5-8.TRBJ2-2	3	5.33077456154e-05
TRBV23-1.TRBJ2-2	2	3.5538497077e-05
TRBV23-1.TRBJ2-4	18	0.000319846473693
TRBV23-1.TRBJ2-5	2	3.5538497077e-05
TRBV23-1.TRBJ2-6	2	3.5538497077e-05
TRBV23-1.TRBJ2-7	55	0.000977308669616
TRBV11-3.TRBJ2-2	66	0.00117277040354
TRBV12-3.TRBJ1-5	98	0.00174138635677
TRBV12-3.TRBJ1-4	37	0.000657462195924
TRBV23-1.TRBJ1-1	4	7.10769941539e-05
TRBV12-3.TRBJ1-6	53	0.000941770172539
TRBV12-3.TRBJ1-1	210	0.00373154219308
TRBV23-1.TRBJ1-6	3	5.33077456154e-05
TRBV12-3.TRBJ1-3	57	0.00101284716669
TRBV12-3.TRBJ1-2	170	0.00302077225154
TRBV6-7.TRBJ2-2	1	1.77692485385e-05
TRBV5-8.TRBJ2-4	3	5.33077456154e-05
