VJcombo	Pt8_pre_Reads	Pt8_pre_Freq
TRBV10-2.TRBJ2-5	18	0.000194950774929
TRBV10-2.TRBJ2-7	1128	0.0122169152289
TRBV10-2.TRBJ2-6	8	8.66447888575e-05
TRBV10-2.TRBJ2-1	30	0.000324917958216
TRBV10-2.TRBJ2-3	75	0.000812294895539
TRBV10-2.TRBJ2-2	26	0.000281595563787
TRBV23-1.TRBJ1-3	2	2.16611972144e-05
TRBV12-3.TRBJ1-4	54	0.000584852324788
TRBV23-1.TRBJ1-5	8	8.66447888575e-05
TRBV6-7.TRBJ1-2	2	2.16611972144e-05
TRBV5-8.TRBJ1-1	13	0.000140797781893
TRBV5-8.TRBJ1-2	8	8.66447888575e-05
TRBV5-8.TRBJ1-4	4	4.33223944287e-05
TRBV4-1.TRBJ1-5	98	0.0010613986635
TRBV4-1.TRBJ1-4	54	0.000584852324788
TRBV4-1.TRBJ1-6	29	0.000314087359608
TRBV4-1.TRBJ1-1	230	0.00249103767965
TRBV4-1.TRBJ1-3	47	0.000509038134538
TRBV4-1.TRBJ1-2	102	0.00110472105793
TRBV4-1.TRBJ2-6	10	0.000108305986072
TRBV4-1.TRBJ2-7	905	0.0098016917395
TRBV4-1.TRBJ2-4	17	0.000184120176322
TRBV4-1.TRBJ2-5	52	0.000563191127574
TRBV4-1.TRBJ2-2	205	0.00222027271447
TRBV4-1.TRBJ2-3	111	0.0012021964454
TRBV4-1.TRBJ2-1	301	0.00326001018076
TRBV14-1.TRBJ1-5	56	0.000606513522002
TRBV14-1.TRBJ1-4	6	6.49835916431e-05
TRBV14-1.TRBJ1-6	8	8.66447888575e-05
TRBV14-1.TRBJ1-1	127	0.00137548602311
TRBV14-1.TRBJ1-3	5	5.41529930359e-05
TRBV14-1.TRBJ1-2	63	0.000682327712253
TRBV9-1.TRBJ1-4	91	0.000985584473254
TRBV9-1.TRBJ1-5	188	0.00203615253815
TRBV9-1.TRBJ1-6	109	0.00118053524818
TRBV14-1.TRBJ2-5	256	0.00277263324344
TRBV14-1.TRBJ2-2	11	0.000119136584679
TRBV9-1.TRBJ1-1	2764	0.0299357745503
TRBV9-1.TRBJ1-2	528	0.00571855606459
TRBV9-1.TRBJ1-3	129	0.00139714722033
TRBV7-6.TRBJ2-2	72	0.000779803099717
