	TRBV1-1	TRBV29-1	TRBV19-1	TRBV27-1	TRBV28-1	TRBV4-2	TRBV4-3	TRBV4-1	TRBV6-8	TRBV6-9	TRBV6-4	TRBV6-5	TRBV6-6	TRBV6-7	TRBV11-3	TRBV6-1	TRBV6-2	TRBV7-6	TRBV5-7	TRBV5-6	TRBV5-5	TRBV7-2	TRBV5-3	TRBV5-1	TRBV10-3	TRBV7-5	TRBV21-1	TRBV30-1	TRBV5-8	TRBV22-1	TRBV12-5	TRBV7-7	TRBV20-1	TRBV12-3	TRBV15-1	TRBV7-1	TRBV14-1	TRBV3-1	TRBV12-2	TRBV11-2	TRBV9-1	TRBV7-9	TRBV13-1	TRBV5-4	TRBV7-4	TRBV2-1	TRBV10-2	TRBV11-1	TRBV7-8	TRBV12-1	TRBV23-1	TRBV16-1	TRBV24-1	TRBV10-1	TRBV25-1	TRBV7-3	TRBV18-1
TRBJ2-4	0	16	43	32	11	4	7	15	0	0	0	24	5	0	0	18	25	0	0	14	3	11	1	35	6	0	2	9	1	0	0	0	83	42	7	0	5	25	2	11	12	34	19	2	0	25	2	0	2	0	1	0	2	8	12	1	37
TRBJ2-5	2	165	152	230	55	103	62	99	0	0	21	141	51	2	19	106	126	42	0	145	18	182	3	125	58	0	169	102	20	0	4	16	411	145	87	0	51	367	3	77	260	136	57	132	0	311	15	3	74	0	8	2	61	17	44	70	94
TRBJ2-6	0	16	27	31	8	10	14	15	0	1	19	68	8	0	0	32	15	0	0	7	28	46	0	20	15	0	2	16	9	0	2	0	31	24	7	1	25	18	1	45	17	40	3	5	0	43	0	1	9	0	5	1	10	0	3	4	21
TRBJ2-7	8	352	870	1256	269	101	256	444	9	5	16	750	310	8	68	457	428	219	2	237	310	524	13	244	341	7	59	431	43	0	23	120	1147	497	90	0	145	746	4	389	248	527	88	291	0	428	865	8	410	5	39	35	86	58	86	65	332
TRBJ2-1	4	164	434	735	118	937	226	123	3	0	100	316	67	1	52	286	257	78	0	76	25	283	1	249	154	2	26	181	43	0	25	26	686	379	236	0	75	329	6	169	242	276	24	125	1	300	85	14	90	4	5	35	137	59	72	162	156
TRBJ2-2	0	118	213	1258	46	113	141	100	0	0	76	182	48	0	79	189	100	57	0	57	22	142	5	143	127	0	44	122	11	0	11	17	290	129	13	0	43	169	4	40	469	92	15	85	1	288	24	13	71	0	6	1	95	27	41	31	79
TRBJ2-3	2	118	388	445	99	57	199	183	1	0	81	161	90	8	86	256	154	85	0	98	41	160	1	158	131	0	17	81	8	0	15	5	477	313	92	0	116	145	3	87	237	123	25	90	0	126	13	27	52	0	0	9	135	13	47	149	89
TRBJ1-6	0	5	134	114	70	13	0	62	2	0	8	189	39	3	3	171	16	6	0	41	8	70	4	96	54	0	343	106	13	0	0	14	351	106	11	0	81	146	1	22	172	74	10	43	0	63	3	2	45	0	23	0	15	13	7	18	17
TRBJ1-5	4	57	508	452	113	36	24	58	0	0	33	187	245	1	9	287	241	18	0	63	16	154	6	44	41	5	31	221	19	0	8	0	497	426	40	0	106	147	0	50	40	120	4	34	3	252	18	1	162	0	2	2	221	49	8	15	311
TRBJ1-4	1	112	109	96	49	19	68	42	0	0	20	117	69	0	2	148	35	11	1	24	9	34	3	63	29	0	12	75	14	0	1	0	188	95	34	0	15	158	1	28	88	74	5	28	0	79	6	29	18	0	15	4	18	3	14	7	136
TRBJ1-3	0	45	176	96	40	10	52	17	0	0	2	202	15	0	1	81	17	25	0	32	28	49	0	65	39	1	3	41	5	0	6	2	199	84	12	0	14	123	0	62	62	111	4	21	0	52	2	2	49	0	9	1	19	26	6	11	63
TRBJ1-2	1	356	822	639	293	117	92	250	0	2	24	460	116	6	8	404	219	104	0	193	38	211	7	319	155	2	27	250	25	1	23	3	567	432	46	0	59	285	10	130	155	320	53	194	2	312	60	17	103	0	14	5	234	51	74	25	194
TRBJ1-1	0	130	812	556	133	288	160	98	8	1	37	275	144	0	27	171	123	49	0	62	46	210	4	162	88	8	10	177	23	0	12	7	433	307	68	1	87	207	5	124	270	173	433	110	0	209	171	7	78	0	6	14	53	36	44	167	184
