	TRBV1-1	TRBV29-1	TRBV19-1	TRBV27-1	TRBV6-1	TRBV28-1	TRBV4-2	TRBV7-8	TRBV4-1	TRBV6-8	TRBV6-9	TRBV6-4	TRBV6-5	TRBV6-6	TRBV7-2	TRBV11-3	TRBV7-4	TRBV6-2	TRBV7-6	TRBV5-6	TRBV5-5	TRBV5-4	TRBV5-3	TRBV5-1	TRBV7-5	TRBV21-1	TRBV30-1	TRBV5-8	TRBV12-5	TRBV7-7	TRBV20-1	TRBV12-3	TRBV15-1	TRBV7-1	TRBV14-1	TRBV3-1	TRBV12-2	TRBV11-2	TRBV9-1	TRBV7-9	TRBV13-1	TRBV2-1	TRBV10-2	TRBV11-1	TRBV10-3	TRBV12-1	TRBV23-1	TRBV16-1	TRBV24-1	TRBV10-1	TRBV25-1	TRBV7-3	TRBV18-1
TRBJ2-4	0	4	4	6	1	2	0	0	5	0	0	0	5	37	1	1	0	0	0	1	2	1	0	7	0	0	0	1	1	0	5	4	2	0	0	0	0	1	3	10	1	12	0	0	0	0	0	0	2	2	0	1	2
TRBJ2-5	1	15	8	42	19	19	3	5	7	0	1	0	17	4	8	1	0	6	8	9	2	31	0	28	0	2	9	4	6	5	46	13	14	0	2	11	0	9	3	65	19	46	4	0	11	0	0	0	3	2	5	6	9
TRBJ2-6	0	2	2	13	3	1	0	5	2	0	0	4	4	1	0	1	2	2	0	0	1	2	0	6	0	0	1	0	0	1	3	5	1	0	0	1	0	3	1	0	1	34	2	1	0	0	0	0	2	0	1	1	2
TRBJ2-7	0	154	55	486	548	40	327	19	29	2	1	0	128	20	20	4	0	22	43	42	6	42	2	97	0	11	16	4	4	3	274	30	24	0	16	68	0	44	39	70	176	68	7	1	64	0	3	2	6	4	4	7	35
TRBJ2-1	0	107	79	76	29	27	23	32	42	0	0	3	62	5	11	3	0	8	8	13	0	8	0	29	0	3	27	3	4	3	79	24	6	0	11	31	0	17	27	45	4	23	4	3	21	0	1	0	9	7	14	13	5
TRBJ2-2	0	20	41	14	13	27	3	6	14	0	0	2	12	1	16	6	0	3	9	5	9	10	0	33	0	1	8	4	3	2	27	20	4	0	9	8	0	10	17	21	6	10	2	1	7	0	0	1	9	9	5	16	29
TRBJ2-3	0	18	20	13	23	39	4	6	17	0	0	14	25	7	13	524	0	3	9	2	6	11	0	43	0	0	18	0	3	0	62	38	11	0	8	38	1	9	32	26	4	35	2	1	8	0	2	0	23	6	2	11	9
TRBJ1-6	0	11	25	21	23	28	0	5	4	0	0	1	43	4	8	0	0	5	4	13	3	9	0	42	0	4	37	0	5	0	49	30	7	0	5	17	0	7	20	15	3	34	7	5	8	0	0	1	2	0	5	14	23
TRBJ1-5	0	6	88	94	560	41	5	6	16	1	1	4	46	10	14	0	1	19	3	3	6	1	1	31	0	4	15	1	5	1	58	41	13	0	1	34	0	4	13	7	8	67	5	0	22	0	1	1	0	1	2	3	10
TRBJ1-4	0	7	14	4	20	14	15	3	6	0	0	8	10	1	9	2	0	0	1	4	2	28	0	38	0	2	1	1	1	1	19	30	3	0	4	10	0	6	38	16	4	26	3	3	12	0	0	0	3	2	2	1	5
TRBJ1-3	0	7	15	32	10	13	157	5	14	0	0	1	25	3	5	1	0	0	21	1	2	6	0	14	1	1	4	1	1	0	25	7	3	0	1	126	0	4	5	10	1	14	0	0	5	0	0	1	0	4	0	5	6
TRBJ1-2	0	491	61	53	46	52	25	15	53	0	0	7	44	13	435	4	0	15	8	24	6	57	1	76	0	3	19	5	1	1	91	38	18	1	53	81	3	23	46	44	16	144	9	0	15	1	1	9	152	4	5	16	23
TRBJ1-1	0	34	1119	125	55	72	32	121	31	0	0	32	90	12	62	8	0	22	17	36	11	22	2	131	0	11	18	14	12	2	75	118	22	0	5	47	0	34	55	63	22	60	4	9	39	0	9	0	2	6	14	8	47
