VJcombo	EC06_Reads	EC06_Freq
TRBV10-2.TRBJ2-5	2	0.000312353584257
TRBV10-2.TRBJ2-7	4	0.000624707168515
TRBV10-2.TRBJ2-6	1	0.000156176792129
TRBV10-2.TRBJ2-3	4	0.000624707168515
TRBV6-7.TRBJ1-4	114	0.0178041543027
TRBV10-1.TRBJ2-2	1	0.000156176792129
TRBV5-8.TRBJ1-2	1	0.000156176792129
TRBV10-1.TRBJ2-7	1	0.000156176792129
TRBV4-1.TRBJ1-5	2	0.000312353584257
TRBV4-1.TRBJ1-4	54	0.00843354677495
TRBV4-1.TRBJ1-6	27	0.00421677338747
TRBV4-1.TRBJ1-1	9	0.00140559112916
TRBV4-1.TRBJ1-3	4	0.000624707168515
TRBV4-1.TRBJ1-2	13	0.00203029829767
TRBV4-1.TRBJ2-6	1	0.000156176792129
TRBV4-1.TRBJ2-7	35	0.0054661877245
TRBV4-1.TRBJ2-5	4	0.000624707168515
TRBV4-1.TRBJ2-2	5	0.000780883960643
TRBV4-1.TRBJ2-3	32	0.00499765734812
TRBV4-1.TRBJ2-1	12	0.00187412150554
TRBV14-1.TRBJ1-6	2	0.000312353584257
TRBV14-1.TRBJ1-1	3	0.000468530376386
TRBV14-1.TRBJ1-3	1	0.000156176792129
TRBV14-1.TRBJ1-2	4	0.000624707168515
TRBV14-1.TRBJ2-7	3	0.000468530376386
TRBV9-1.TRBJ1-6	46	0.00718413243792
TRBV14-1.TRBJ2-5	2	0.000312353584257
TRBV14-1.TRBJ2-2	9	0.00140559112916
TRBV9-1.TRBJ1-1	84	0.0131188505388
TRBV9-1.TRBJ1-2	7	0.0010932375449
TRBV9-1.TRBJ1-3	5	0.000780883960643
TRBV7-6.TRBJ2-2	2	0.000312353584257
TRBV7-6.TRBJ2-1	8	0.00124941433703
TRBV7-6.TRBJ2-7	1	0.000156176792129
TRBV7-6.TRBJ2-5	3	0.000468530376386
TRBV10-2.TRBJ1-1	2	0.000312353584257
TRBV7-8.TRBJ2-1	9	0.00140559112916
TRBV4-3.TRBJ2-2	15	0.00234265188193
TRBV4-3.TRBJ2-3	2	0.000312353584257
TRBV21-1.TRBJ1-1	4	0.000624707168515
TRBV21-1.TRBJ1-2	9	0.00140559112916
TRBV21-1.TRBJ2-2	7	0.0010932375449
TRBV21-1.TRBJ2-3	2	0.000312353584257
TRBV21-1.TRBJ2-1	513	0.080118694362
TRBV21-1.TRBJ2-6	2	0.000312353584257
TRBV21-1.TRBJ2-7	10	0.00156176792129
TRBV6-1.TRBJ2-4	8	0.00124941433703
TRBV6-1.TRBJ2-5	3	0.000468530376386
TRBV6-1.TRBJ2-6	1	0.000156176792129
TRBV6-1.TRBJ2-7	21	0.0032797126347
TRBV6-1.TRBJ2-1	4	0.000624707168515
TRBV6-1.TRBJ2-2	5	0.000780883960643
