	TRBV1-1	TRBV29-1	TRBV19-1	TRBV27-1	TRBV28-1	TRBV7-9	TRBV4-3	TRBV4-1	TRBV6-8	TRBV6-9	TRBV6-4	TRBV6-5	TRBV6-6	TRBV6-7	TRBV11-3	TRBV6-1	TRBV6-2	TRBV7-6	TRBV5-7	TRBV5-6	TRBV5-5	TRBV7-2	TRBV5-3	TRBV5-2	TRBV5-1	TRBV10-3	TRBV7-5	TRBV21-1	TRBV30-1	TRBV5-8	TRBV12-5	TRBV7-7	TRBV20-1	TRBV12-3	TRBV15-1	TRBV7-1	TRBV14-1	TRBV3-1	TRBV12-2	TRBV11-2	TRBV9-1	TRBV4-2	TRBV13-1	TRBV5-4	TRBV7-4	TRBV2-1	TRBV10-2	TRBV11-1	TRBV7-8	TRBV12-1	TRBV23-1	TRBV16-1	TRBV24-1	TRBV10-1	TRBV25-1	TRBV7-3	TRBV18-1	TRBV26-1
TRBJ2-4	1	23	24	776	132	13	10	6	0	0	1	17	5	0	1	22	133	6	1	11	1	22	1	0	13	4	0	4	70	10	1	1	96	91	42	0	0	83	0	74	35	18	6	7	1	228	5	2	9	0	5	3	16	0	10	0	8	0
TRBJ2-5	3	251	92	763	396	982	322	166	1	1	37	378	35	2	38	80	251	286	2	53	73	503	4	0	276	52	1	18	58	12	2	63	697	157	54	0	21	387	0	2578	2663	91	90	582	0	315	14	9	103	1	14	4	69	6	31	62	300	0
TRBJ2-6	0	87	149	178	68	62	18	91	0	0	7	27	2	0	1	36	32	38	0	0	109	79	0	0	37	14	0	2	66	3	1	3	53	19	18	0	42	31	1	19	29	24	1	22	0	46	1	0	8	3	0	0	10	0	4	28	29	0
TRBJ2-7	4	1143	364	4672	3726	3289	390	2453	8	6	38	410	238	7	521	1615	5373	825	72	143	579	1033	8	2	691	1741	2	90	327	36	9	51	1146	143	895	1	96	608	16	423	1918	1234	55	543	1	171	76	8	329	8	13	3	60	94	48	27	409	0
TRBJ2-1	1	9233	371	10806	713	10493	227	394	1	0	69	267	120	3	91	403	992	4351	0	70	141	796	5	0	1052	244	4	23	99	38	33	70	831	623	125	7	196	1702	2	1678	962	153	110	510	2	1386	28	23	202	4	201	76	780	24	153	545	313	0
TRBJ2-2	6	124	217	365	1914	257	4677	754	0	1	58	345	50	1	69	92	785	1023	1	53	46	211	4	1	2534	941	0	17	27	21	28	327	392	343	364	0	37	346	1	2030	840	520	75	159	0	147	14	9	239	0	12	2	70	1153	50	100	112	0
TRBJ2-3	158	72	238	607	1038	727	147	75	0	0	42	154	32	0	57	217	622	830	0	108	238	238	5	0	401	131	1	13	104	251	9	75	888	195	63	0	36	437	1	126	2486	154	132	84	3	132	27	3	98	201	5	0	194	16	28	48	210	0
TRBJ1-6	0	4	227	184	454	106	58	173	0	1	15	240	19	1	5	78	207	1536	0	26	9	180	1	0	243	80	0	0	115	20	0	6	128	76	35	0	14	44	0	64	66	33	8	56	1	70	6	21	14	0	3	1	5	4	6	151	38	0
TRBJ1-5	10	48	996	5694	1154	1176	343	80	1	0	19	163	165	4	36	310	439	7722	0	84	37	356	16	0	118	4778	6	56	332	28	5	974	826	370	49	0	19	181	4	57	251	156	129	42	5	1042	22	6	234	0	5	14	27	19	6	15	287	0
TRBJ1-4	0	41	140	396	141	189	231	81	0	0	29	48	11	0	11	53	48	1413	0	72	30	379	2	0	84	15	200	18	252	10	1	3	128	39	26	0	10	56	0	227	278	131	313	145	1	59	4	5	35	3	7	2	12	1	5	12	65	0
TRBJ1-3	0	18	74	498	2261	88	42	52	1	0	2	61	22	0	5	73	26	418	0	23	22	129	0	0	89	71	0	16	379	6	0	7	63	46	78	0	543	69	0	45	99	10	23	15	0	143	7	2	27	0	1	0	329	18	33	6	36	0
TRBJ1-2	1	273	616	3435	2660	2348	9101	439	2	5	13	622	68	4791	9	911	1252	926	2	326	148	753	12	0	322	356	1	23	430	69	9	5	6844	671	170	2	233	427	0	158	2153	734	41	1722	4	405	44	18	340	0	24	15	547	17	434	110	138	1
TRBJ1-1	5	478	659	1005	747	1066	356	191	0	0	120	178	68	0	24	258	393	714	3	257	60	258	1	0	309	865	0	13	344	17	4	29	593	342	961	0	64	294	0	234	233	198	182	310	0	278	28	11	142	0	5	14	193	120	122	74	475	0
