	TRBV1-1	TRBV29-1	TRBV19-1	TRBV27-1	TRBV28-1	TRBV7-9	TRBV7-8	TRBV4-1	TRBV6-8	TRBV6-9	TRBV6-4	TRBV6-5	TRBV6-6	TRBV6-7	TRBV11-3	TRBV6-1	TRBV6-2	TRBV7-6	TRBV5-7	TRBV5-6	TRBV5-5	TRBV7-2	TRBV5-3	TRBV5-1	TRBV10-3	TRBV7-5	TRBV21-1	TRBV30-1	TRBV5-8	TRBV12-5	TRBV7-7	TRBV20-1	TRBV12-3	TRBV15-1	TRBV14-1	TRBV3-1	TRBV12-2	TRBV11-2	TRBV9-1	TRBV4-2	TRBV13-1	TRBV5-4	TRBV7-4	TRBV2-1	TRBV10-2	TRBV11-1	TRBV4-3	TRBV12-1	TRBV23-1	TRBV16-1	TRBV24-1	TRBV10-1	TRBV25-1	TRBV7-3	TRBV18-1
TRBJ2-4	0	1	13	4	5	18	1	0	0	0	1	12	1	0	1	8	5	1	0	2	1	9	0	3	3	0	2	3	1	0	0	16	11	3	3	12	0	4	3	5	1	3	0	7	1	0	8	0	0	0	1	3	3	2	7
TRBJ2-5	0	21	64	36	27	57	13	25	0	0	5	37	15	0	13	23	56	34	0	28	3	86	1	55	11	1	8	23	11	6	10	89	36	27	23	49	0	25	61	11	18	19	0	41	3	7	16	3	2	0	29	2	10	18	40
TRBJ2-6	0	2	11	6	6	1	0	3	0	0	60	12	3	0	3	9	5	6	0	0	3	8	1	8	2	0	4	7	1	1	0	8	6	2	2	15	0	3	8	2	2	5	0	9	1	0	6	0	0	1	0	0	1	15	10
TRBJ2-7	0	68	107	95	103	247	56	53	0	2	12	105	63	0	148	131	162	22	0	60	76	144	5	86	103	0	29	58	12	15	17	199	363	66	43	126	0	70	132	35	33	47	0	105	8	37	77	0	2	0	34	17	19	31	110
TRBJ2-1	0	22	58	62	77	57	36	20	0	1	15	53	23	0	26	223	66	21	0	14	12	91	2	46	15	0	10	16	9	3	7	101	82	18	15	35	1	18	78	23	3	28	0	47	1	4	18	0	2	0	34	2	3	48	29
TRBJ2-2	0	38	53	28	40	96	15	21	0	0	56	42	14	0	12	28	40	15	0	21	3	52	1	21	12	1	3	11	3	3	23	97	63	5	2	46	0	25	135	22	9	24	1	33	4	9	33	0	1	0	23	0	6	55	34
TRBJ2-3	1	22	57	38	93	98	20	14	0	0	130	47	30	0	31	28	62	112	0	29	5	143	64	33	11	0	14	27	6	9	4	96	63	8	20	51	1	29	123	26	19	22	0	38	3	8	27	1	4	0	32	1	8	48	31
TRBJ1-6	0	6	53	33	204	33	7	10	0	0	18	34	10	2	22	28	31	9	2	77	18	51	0	27	5	0	3	19	10	1	1	47	30	3	11	52	1	32	57	33	4	17	0	34	0	2	45	0	0	1	2	4	11	17	15
TRBJ1-5	2	6	134	35	38	27	20	41	0	0	14	35	24	0	4	57	62	14	0	26	10	283	3	21	180	0	3	33	6	8	1	86	55	9	2	20	2	12	24	24	1	7	0	60	3	1	19	0	1	2	9	8	5	4	24
TRBJ1-4	0	7	28	23	27	25	6	29	0	2	1	28	19	0	8	7	17	4	0	20	4	13	1	22	3	0	3	16	4	3	1	21	60	3	2	15	0	8	12	12	14	5	0	84	1	0	21	0	0	3	11	3	1	8	28
TRBJ1-3	0	6	44	12	17	19	7	11	0	0	2	9	7	0	2	12	5	25	0	4	10	24	0	60	1	0	2	9	3	9	0	29	22	3	3	33	0	14	25	17	3	4	1	16	0	2	12	0	0	0	1	1	4	7	14
TRBJ1-2	0	70	193	62	68	75	41	54	0	0	52	74	44	0	45	48	66	7	1	49	21	81	2	40	19	0	2	48	19	6	0	104	73	23	21	409	0	20	66	16	9	56	1	160	10	11	60	0	15	3	30	16	10	28	42
TRBJ1-1	0	77	98	1175	54	178	16	31	1	0	61	93	14	0	60	44	54	25	2	47	8	218	0	54	14	1	6	46	14	1	2	103	80	18	21	86	2	194	51	20	30	42	0	49	8	8	29	0	1	1	9	2	11	24	73
