VJcombo	Pt30_on_Reads	Pt30_on_Freq
TRBV23-1.TRBJ2-2	68	0.000241347000199
TRBV23-1.TRBJ2-3	12	4.25906470939e-05
TRBV23-1.TRBJ2-4	1	3.54922059116e-06
TRBV23-1.TRBJ2-5	3	1.06476617735e-05
TRBV23-1.TRBJ2-7	11	3.90414265027e-05
TRBV11-3.TRBJ2-2	43	0.00015261648542
TRBV12-3.TRBJ1-5	306	0.00108606150089
TRBV23-1.TRBJ1-2	109	0.000386865044436
TRBV23-1.TRBJ1-1	156	0.000553678412221
TRBV12-3.TRBJ1-1	325	0.00115349669213
TRBV12-3.TRBJ1-3	217	0.000770180868281
TRBV12-3.TRBJ1-2	676	0.00239927311962
TRBV6-7.TRBJ2-7	8	2.83937647293e-05
TRBV6-7.TRBJ2-5	3	1.06476617735e-05
TRBV6-7.TRBJ2-2	11	3.90414265027e-05
TRBV6-7.TRBJ2-3	10	3.54922059116e-05
TRBV6-7.TRBJ2-1	2	7.09844118232e-06
TRBV27-1.TRBJ1-5	256	0.000908600471336
TRBV27-1.TRBJ1-4	284	0.00100797864789
TRBV27-1.TRBJ1-3	12	4.25906470939e-05
TRBV27-1.TRBJ1-2	985	0.00349598228229
TRBV27-1.TRBJ1-1	1673	0.00593784604901
TRBV4-3.TRBJ2-1	1680	0.00596269059315
TRBV4-3.TRBJ2-2	326	0.00115704591272
TRBV7-8.TRBJ2-3	156	0.000553678412221
TRBV4-3.TRBJ2-4	18	6.38859706408e-05
TRBV4-3.TRBJ2-5	134	0.000475595559215
TRBV7-8.TRBJ2-6	22	7.80828530055e-05
TRBV7-8.TRBJ2-7	2317	0.00822354410971
TRBV9-1.TRBJ2-7	655	0.00232473948721
TRBV6-2.TRBJ2-2	117	0.000415258809166
TRBV9-1.TRBJ2-5	127	0.000450751015077
TRBV9-1.TRBJ2-4	86	0.00030523297084
TRBV6-2.TRBJ2-7	1687	0.00598753513728
TRBV9-1.TRBJ2-2	183	0.000649507368182
TRBV6-2.TRBJ2-5	336	0.00119253811863
TRBV6-2.TRBJ2-4	294	0.0010434708538
TRBV11-3.TRBJ2-4	6	2.12953235469e-05
TRBV28-1.TRBJ1-4	173	0.00061401516227
TRBV28-1.TRBJ1-5	524	0.00185979158977
TRBV28-1.TRBJ1-1	5041	0.017891621
TRBV28-1.TRBJ1-2	2252	0.00799284477129
TRBV28-1.TRBJ1-3	569	0.00201950651637
TRBV7-9.TRBJ2-1	1079	0.00382960901786
TRBV7-9.TRBJ1-2	1341	0.00475950481274
TRBV27-1.TRBJ2-4	10	3.54922059116e-05
TRBV27-1.TRBJ2-5	121	0.00042945569153
TRBV27-1.TRBJ2-6	10	3.54922059116e-05
TRBV27-1.TRBJ2-7	4643	0.0164790312047
TRBV27-1.TRBJ2-1	1441	0.00511442687186
TRBV27-1.TRBJ2-2	558	0.00198046508987
TRBV27-1.TRBJ2-3	253	0.000897952809563
TRBV4-2.TRBJ2-2	104	0.00036911894148
TRBV4-2.TRBJ2-5	203	0.000720491780005
TRBV5-2.TRBJ1-2	1	3.54922059116e-06
TRBV7-9.TRBJ2-4	33	0.000117124279508
TRBV5-7.TRBJ2-1	1	3.54922059116e-06
TRBV4-2.TRBJ2-7	197	0.000699196456458
TRBV5-7.TRBJ2-7	4	1.41968823646e-05
TRBV4-2.TRBJ2-6	9	3.19429853204e-05
TRBV11-3.TRBJ2-6	75	0.000266191544337
TRBV11-2.TRBJ2-1	697	0.00247380675204
TRBV11-2.TRBJ2-2	70	0.000248445441381
TRBV11-2.TRBJ2-3	203	0.000720491780005
TRBV11-2.TRBJ2-4	10	3.54922059116e-05
TRBV11-2.TRBJ2-5	148	0.000525284647491
TRBV11-2.TRBJ2-6	85	0.000301683750248
TRBV7-9.TRBJ1-3	162	0.000574973735768
TRBV18-1.TRBJ2-7	310	0.00110025838326
TRBV20-1.TRBJ2-4	3166	0.0112368323916
TRBV6-2.TRBJ1-1	1731	0.00614370084329
TRBV6-2.TRBJ1-2	436	0.00154746017774
TRBV6-2.TRBJ1-3	18	6.38859706408e-05
TRBV6-2.TRBJ1-4	86	0.00030523297084
TRBV6-2.TRBJ1-5	799	0.00283582725234
TRBV6-2.TRBJ1-6	1	3.54922059116e-06
TRBV28-1.TRBJ2-7	2239	0.0079467049036
TRBV28-1.TRBJ2-6	30	0.000106476617735
TRBV28-1.TRBJ2-5	105	0.000372668162072
TRBV28-1.TRBJ2-4	13	4.61398676851e-05
TRBV28-1.TRBJ2-3	239	0.000848263721287
TRBV28-1.TRBJ2-2	169	0.000599818279906
TRBV28-1.TRBJ2-1	3050	0.010825122803
TRBV4-2.TRBJ1-5	63	0.000223600897243
TRBV7-9.TRBJ1-1	5972	0.0211959453704
TRBV10-3.TRBJ2-4	18	6.38859706408e-05
TRBV10-3.TRBJ2-5	935	0.00331852125273
TRBV10-3.TRBJ2-7	203	0.000720491780005
TRBV10-3.TRBJ2-1	778	0.00276129361992
TRBV10-3.TRBJ2-2	48	0.000170362588376
TRBV10-3.TRBJ2-3	933	0.00331142281155
TRBV11-2.TRBJ1-3	16	5.67875294585e-05
TRBV11-2.TRBJ1-2	84	0.000298134529657
TRBV11-2.TRBJ1-1	820	0.00291036088475
TRBV2-1.TRBJ2-7	4151	0.0147328146739
TRBV4-2.TRBJ1-2	777	0.00275774439933
TRBV11-2.TRBJ1-5	38	0.000134870382464
TRBV11-2.TRBJ1-4	24	8.51812941878e-05
TRBV7-4.TRBJ1-5	1	3.54922059116e-06
TRBV20-1.TRBJ1-4	969	0.00343919475283
TRBV20-1.TRBJ1-5	1412	0.00501149947472
TRBV6-5.TRBJ2-2	229	0.000812771515375
TRBV6-5.TRBJ2-3	177	0.000628212044635
TRBV25-1.TRBJ2-2	82	0.000291036088475
TRBV20-1.TRBJ1-1	1530	0.00543030750447
TRBV20-1.TRBJ1-2	1564	0.00555098100457
TRBV6-5.TRBJ2-7	1780	0.00631761265226
TRBV4-2.TRBJ1-3	1647	0.00584556631364
TRBV7-2.TRBJ1-5	551	0.00195562054573
TRBV7-2.TRBJ1-4	31	0.000110025838326
TRBV7-2.TRBJ1-1	941	0.00333981657628
TRBV7-2.TRBJ1-3	157	0.000557227632812
TRBV7-2.TRBJ1-2	605	0.00214727845765
TRBV7-2.TRBJ2-6	18	6.38859706408e-05
TRBV7-2.TRBJ2-7	1859	0.00659800107896
TRBV7-2.TRBJ2-4	386	0.00136999914819
TRBV7-2.TRBJ2-5	150	0.000532383088674
TRBV7-2.TRBJ2-2	168	0.000596269059315
TRBV7-2.TRBJ2-3	440	0.00156165706011
TRBV7-2.TRBJ2-1	1015	0.00360245890003
TRBV10-3.TRBJ1-5	55	0.000195207132514
TRBV10-3.TRBJ1-4	1814	0.00643828615236
TRBV10-3.TRBJ1-3	52	0.00018455947074
TRBV10-3.TRBJ1-2	65	0.000230699338425
TRBV10-3.TRBJ1-1	89	0.000315880632613
TRBV7-7.TRBJ2-3	69	0.00024489622079
TRBV7-7.TRBJ2-2	4	1.41968823646e-05
TRBV7-7.TRBJ2-1	10481	0.0371993810159
TRBV7-7.TRBJ2-7	27	9.58289559613e-05
TRBV7-7.TRBJ2-5	52	0.00018455947074
TRBV7-7.TRBJ2-4	1	3.54922059116e-06
TRBV5-3.TRBJ2-3	2	7.09844118232e-06
TRBV25-1.TRBJ1-5	5	1.77461029558e-05
TRBV25-1.TRBJ1-4	9	3.19429853204e-05
TRBV25-1.TRBJ1-6	1	3.54922059116e-06
TRBV25-1.TRBJ1-1	110	0.000390414265027
TRBV25-1.TRBJ1-3	2	7.09844118232e-06
TRBV25-1.TRBJ1-2	921	0.00326883216446
TRBV6-6.TRBJ1-3	23	8.16320735966e-05
TRBV1-1.TRBJ2-6	2	7.09844118232e-06
TRBV4-2.TRBJ1-4	11	3.90414265027e-05
TRBV7-7.TRBJ1-1	10	3.54922059116e-05
TRBV7-7.TRBJ1-2	189	0.000670802691729
TRBV7-7.TRBJ1-4	4	1.41968823646e-05
TRBV7-7.TRBJ1-5	554	0.0019662682075
TRBV4-2.TRBJ2-1	268	0.00095119111843
TRBV7-9.TRBJ2-3	140	0.000496890882762
TRBV7-9.TRBJ2-2	541	0.00192012833982
TRBV7-9.TRBJ2-5	303	0.00107541383912
TRBV4-2.TRBJ2-4	76	0.000269740764928
TRBV7-9.TRBJ2-7	1278	0.0045359039155
TRBV7-9.TRBJ2-6	95	0.00033717595616
TRBV20-1.TRBJ2-7	4433	0.0157336948806
TRBV20-1.TRBJ2-6	215	0.000763082427099
TRBV20-1.TRBJ2-5	893	0.0031694539879
TRBV4-2.TRBJ1-1	240	0.000851812941878
TRBV20-1.TRBJ2-3	958	0.00340015332633
TRBV20-1.TRBJ2-2	722	0.00256253726682
TRBV7-9.TRBJ1-4	956	0.00339305488515
TRBV7-9.TRBJ1-5	145	0.000514636985718
TRBV2-1.TRBJ2-1	2185	0.00775504699168
TRBV2-1.TRBJ2-2	288	0.00102217553025
TRBV2-1.TRBJ2-3	5262	0.0186759987507
TRBV2-1.TRBJ2-4	12	4.25906470939e-05
TRBV2-1.TRBJ2-5	163	0.000578522956359
TRBV2-1.TRBJ2-6	56	0.000198756353105
TRBV30-1.TRBJ2-1	187	0.000663704250547
TRBV11-2.TRBJ2-7	2685	0.00952965728726
TRBV6-6.TRBJ1-4	58	0.000205854794287
TRBV6-6.TRBJ1-5	366	0.00129901473636
TRBV6-6.TRBJ1-1	214	0.000759533206508
TRBV6-6.TRBJ1-2	537	0.00190593145745
TRBV30-1.TRBJ2-5	88	0.000312331412022
