VJcombo	Pt5_on_S0089494_Reads	Pt5_on_S0089494_Freq
TRBV28-1.TRBJ1-2	21	0.001045088086
TRBV28-1.TRBJ1-3	7	0.000348362695332
TRBV7-9.TRBJ1-2	141	0.00701702000597
TRBV27-1.TRBJ2-4	6	0.000298596595999
TRBV27-1.TRBJ2-5	58	0.00288643376132
TRBV27-1.TRBJ2-6	5	0.000248830496666
TRBV27-1.TRBJ2-7	224	0.0111476062506
TRBV27-1.TRBJ2-1	149	0.00741514880064
TRBV27-1.TRBJ2-2	60	0.00298596595999
TRBV27-1.TRBJ2-3	39	0.00194087787399
TRBV4-2.TRBJ2-7	2	9.95321986663e-05
TRBV5-7.TRBJ2-7	2	9.95321986663e-05
TRBV5-7.TRBJ1-5	1	4.97660993331e-05
TRBV11-2.TRBJ2-1	25	0.00124415248333
TRBV11-2.TRBJ2-2	1	4.97660993331e-05
TRBV11-2.TRBJ2-3	14	0.000696725390664
TRBV11-2.TRBJ2-5	3	0.000149298297999
TRBV11-2.TRBJ2-6	1	4.97660993331e-05
TRBV11-2.TRBJ2-7	22	0.00109485418533
TRBV4-2.TRBJ1-1	1	4.97660993331e-05
TRBV6-2.TRBJ1-1	80	0.00398128794665
TRBV6-2.TRBJ1-2	19	0.00094555588733
TRBV6-2.TRBJ1-3	3	0.000149298297999
TRBV6-2.TRBJ1-5	352	0.0175176669653
TRBV6-2.TRBJ1-6	2	9.95321986663e-05
TRBV17-1.TRBJ2-6	1	4.97660993331e-05
TRBV28-1.TRBJ2-7	47	0.00233900666866
TRBV28-1.TRBJ2-6	3	0.000149298297999
TRBV28-1.TRBJ2-5	200	0.00995321986663
TRBV28-1.TRBJ2-4	1	4.97660993331e-05
TRBV28-1.TRBJ2-3	82	0.00408082014532
TRBV28-1.TRBJ2-2	8	0.000398128794665
TRBV28-1.TRBJ2-1	68	0.00338409475465
TRBV10-3.TRBJ2-5	19	0.00094555588733
TRBV10-3.TRBJ2-7	88	0.00437941674132
TRBV10-3.TRBJ2-1	1	4.97660993331e-05
TRBV10-3.TRBJ2-2	1	4.97660993331e-05
TRBV10-3.TRBJ2-3	11	0.000547427092664
TRBV11-2.TRBJ1-2	32	0.00159251517866
TRBV11-2.TRBJ1-1	35	0.00174181347666
TRBV2-1.TRBJ2-7	547	0.0272220563352
TRBV11-2.TRBJ1-6	2	9.95321986663e-05
TRBV11-2.TRBJ1-5	3	0.000149298297999
TRBV11-2.TRBJ1-4	3	0.000149298297999
TRBV20-1.TRBJ1-4	11	0.000547427092664
TRBV20-1.TRBJ1-5	69	0.00343386085399
TRBV6-5.TRBJ2-2	243	0.012093162138
TRBV6-5.TRBJ2-3	11	0.000547427092664
TRBV6-5.TRBJ2-4	1	4.97660993331e-05
TRBV20-1.TRBJ1-1	230	0.0114462028466
TRBV20-1.TRBJ1-2	46	0.00228924056932
TRBV6-5.TRBJ2-7	44	0.00218970837066
TRBV7-2.TRBJ1-5	3	0.000149298297999
TRBV7-2.TRBJ1-4	18	0.000895789787996
TRBV7-2.TRBJ1-6	1	4.97660993331e-05
TRBV7-2.TRBJ1-1	10	0.000497660993331
TRBV7-2.TRBJ1-3	2	9.95321986663e-05
TRBV7-2.TRBJ1-2	1	4.97660993331e-05
TRBV7-2.TRBJ2-6	1	4.97660993331e-05
TRBV7-2.TRBJ2-7	14	0.000696725390664
TRBV7-2.TRBJ2-5	20	0.000995321986663
TRBV7-2.TRBJ2-2	2	9.95321986663e-05
TRBV7-2.TRBJ2-3	7	0.000348362695332
TRBV7-2.TRBJ2-1	10	0.000497660993331
TRBV10-3.TRBJ1-5	1	4.97660993331e-05
TRBV10-3.TRBJ1-2	3	0.000149298297999
TRBV10-3.TRBJ1-1	4	0.000199064397333
TRBV7-7.TRBJ2-7	21	0.001045088086
TRBV7-7.TRBJ2-5	2	9.95321986663e-05
TRBV25-1.TRBJ1-5	2	9.95321986663e-05
TRBV25-1.TRBJ1-4	12	0.000597193191998
TRBV25-1.TRBJ1-6	150	0.00746491489997
TRBV25-1.TRBJ1-1	2	9.95321986663e-05
TRBV25-1.TRBJ1-3	3	0.000149298297999
TRBV2-1.TRBJ1-3	4	0.000199064397333
TRBV2-1.TRBJ1-2	9	0.000447894893998
TRBV7-7.TRBJ1-1	1	4.97660993331e-05
TRBV7-7.TRBJ1-3	1	4.97660993331e-05
TRBV7-7.TRBJ1-5	1	4.97660993331e-05
TRBV7-9.TRBJ2-1	29	0.00144321688066
TRBV7-9.TRBJ2-3	19	0.00094555588733
TRBV7-9.TRBJ2-2	167	0.00831093858863
TRBV7-9.TRBJ2-5	12	0.000597193191998
TRBV1-1.TRBJ2-1	1	4.97660993331e-05
TRBV7-9.TRBJ2-7	30	0.00149298297999
TRBV4-2.TRBJ2-6	1	4.97660993331e-05
TRBV4-2.TRBJ1-2	2	9.95321986663e-05
TRBV7-9.TRBJ1-3	20	0.000995321986663
TRBV20-1.TRBJ2-5	56	0.00278690156266
TRBV7-9.TRBJ1-1	8	0.000398128794665
TRBV20-1.TRBJ2-3	25	0.00124415248333
TRBV20-1.TRBJ2-2	15	0.000746491489997
TRBV7-9.TRBJ1-4	38	0.00189111177466
TRBV7-9.TRBJ1-5	2	9.95321986663e-05
TRBV2-1.TRBJ2-1	17	0.000846023688663
TRBV2-1.TRBJ2-2	16	0.00079625758933
TRBV2-1.TRBJ2-3	4	0.000199064397333
TRBV2-1.TRBJ2-5	3	0.000149298297999
TRBV2-1.TRBJ2-6	1	4.97660993331e-05
TRBV30-1.TRBJ2-1	6	0.000298596595999
TRBV30-1.TRBJ2-2	1	4.97660993331e-05
TRBV6-6.TRBJ1-4	1	4.97660993331e-05
TRBV6-6.TRBJ1-5	6	0.000298596595999
TRBV6-6.TRBJ1-1	87	0.00432965064198
TRBV6-6.TRBJ1-2	16	0.00079625758933
TRBV30-1.TRBJ2-5	2	9.95321986663e-05
TRBV7-8.TRBJ2-7	1	4.97660993331e-05
TRBV9-1.TRBJ1-5	3	0.000149298297999
TRBV6-5.TRBJ2-6	1	4.97660993331e-05
TRBV14-1.TRBJ2-3	12	0.000597193191998
TRBV6-6.TRBJ2-7	26	0.00129391858266
TRBV6-6.TRBJ2-5	8	0.000398128794665
TRBV6-6.TRBJ2-3	4	0.000199064397333
TRBV6-6.TRBJ2-2	4	0.000199064397333
TRBV6-6.TRBJ2-1	89	0.00442918284065
TRBV14-1.TRBJ2-1	2	9.95321986663e-05
TRBV6-4.TRBJ2-1	3	0.000149298297999
TRBV6-4.TRBJ2-3	6	0.000298596595999
TRBV6-4.TRBJ2-2	19	0.00094555588733
TRBV6-4.TRBJ2-5	1	4.97660993331e-05
TRBV5-6.TRBJ2-1	8	0.000398128794665
TRBV5-6.TRBJ2-2	2	9.95321986663e-05
TRBV5-6.TRBJ2-3	2	9.95321986663e-05
TRBV5-6.TRBJ2-5	18	0.000895789787996
TRBV5-6.TRBJ2-7	20	0.000995321986663
TRBV30-1.TRBJ1-3	1	4.97660993331e-05
TRBV5-5.TRBJ2-5	161	0.00801234199263
TRBV6-4.TRBJ1-2	2	9.95321986663e-05
TRBV5-6.TRBJ1-2	12	0.000597193191998
TRBV5-6.TRBJ1-1	27	0.00134368468199
TRBV6-4.TRBJ1-1	2	9.95321986663e-05
TRBV5-6.TRBJ1-5	8	0.000398128794665
TRBV5-6.TRBJ1-4	4	0.000199064397333
TRBV5-5.TRBJ2-2	1	4.97660993331e-05
TRBV5-5.TRBJ2-1	2	9.95321986663e-05
TRBV6-5.TRBJ1-3	5	0.000248830496666
TRBV6-5.TRBJ1-2	53	0.00263760326466
TRBV6-5.TRBJ1-1	29	0.00144321688066
TRBV6-5.TRBJ1-6	2	9.95321986663e-05
TRBV6-5.TRBJ1-5	28	0.00139345078133
TRBV6-5.TRBJ1-4	2	9.95321986663e-05
TRBV12-5.TRBJ1-5	2	9.95321986663e-05
TRBV7-3.TRBJ1-6	25	0.00124415248333
TRBV7-3.TRBJ1-1	1	4.97660993331e-05
TRBV7-3.TRBJ1-2	2	9.95321986663e-05
TRBV6-2.TRBJ2-1	68	0.00338409475465
TRBV20-1.TRBJ2-7	155	0.00771374539664
TRBV12-5.TRBJ2-5	64	0.00318503035732
TRBV12-5.TRBJ2-7	202	0.0100527520653
TRBV12-5.TRBJ2-1	2	9.95321986663e-05
TRBV7-3.TRBJ2-7	5	0.000248830496666
TRBV7-3.TRBJ2-3	4	0.000199064397333
TRBV7-3.TRBJ2-2	12	0.000597193191998
TRBV7-3.TRBJ2-1	3	0.000149298297999
TRBV1-1.TRBJ1-5	1	4.97660993331e-05
TRBV1-1.TRBJ1-2	1	4.97660993331e-05
TRBV1-1.TRBJ1-3	1	4.97660993331e-05
TRBV5-3.TRBJ2-2	16	0.00079625758933
TRBV5-3.TRBJ1-5	9	0.000447894893998
TRBV1-1.TRBJ2-7	5	0.000248830496666
TRBV1-1.TRBJ2-6	1	4.97660993331e-05
TRBV2-1.TRBJ1-1	138	0.00686772170797
TRBV2-1.TRBJ1-6	1	4.97660993331e-05
TRBV2-1.TRBJ1-5	137	0.00681795560864
TRBV2-1.TRBJ1-4	2	9.95321986663e-05
TRBV5-5.TRBJ1-5	2	9.95321986663e-05
TRBV5-5.TRBJ1-6	2	9.95321986663e-05
TRBV30-1.TRBJ2-3	17	0.000846023688663
TRBV30-1.TRBJ2-4	8	0.000398128794665
TRBV5-5.TRBJ1-1	3	0.000149298297999
TRBV5-5.TRBJ1-2	23	0.00114462028466
TRBV30-1.TRBJ2-7	19	0.00094555588733
TRBV5-5.TRBJ2-7	1767	0.0879366975216
TRBV30-1.TRBJ1-2	31	0.00154274907933
TRBV30-1.TRBJ1-1	8	0.000398128794665
TRBV5-5.TRBJ2-3	4	0.000199064397333
TRBV30-1.TRBJ1-6	48	0.00238877276799
TRBV30-1.TRBJ1-5	10	0.000497660993331
TRBV30-1.TRBJ1-4	1	4.97660993331e-05
TRBV25-1.TRBJ2-1	5	0.000248830496666
TRBV6-8.TRBJ2-2	1	4.97660993331e-05
TRBV20-1.TRBJ2-1	34	0.00169204737733
TRBV19-1.TRBJ2-7	784	0.0390166218772
TRBV19-1.TRBJ2-6	6	0.000298596595999
TRBV19-1.TRBJ2-5	84	0.00418035234398
TRBV19-1.TRBJ2-4	20	0.000995321986663
TRBV19-1.TRBJ2-3	4	0.000199064397333
TRBV19-1.TRBJ2-2	14	0.000696725390664
TRBV19-1.TRBJ2-1	111	0.00552403702598
TRBV6-9.TRBJ2-1	1	4.97660993331e-05
TRBV6-9.TRBJ2-2	1	4.97660993331e-05
TRBV19-1.TRBJ1-4	161	0.00801234199263
TRBV19-1.TRBJ1-5	36	0.00179157957599
TRBV19-1.TRBJ1-6	13	0.000646959291331
TRBV19-1.TRBJ1-1	407	0.0202548024286
TRBV19-1.TRBJ1-2	19	0.00094555588733
TRBV19-1.TRBJ1-3	3	0.000149298297999
TRBV5-4.TRBJ1-4	2	9.95321986663e-05
TRBV5-4.TRBJ1-1	31	0.00154274907933
TRBV5-4.TRBJ1-3	17	0.000846023688663
TRBV5-4.TRBJ1-2	6	0.000298596595999
TRBV5-4.TRBJ2-7	29	0.00144321688066
TRBV5-4.TRBJ2-5	13	0.000646959291331
TRBV5-4.TRBJ2-3	25	0.00124415248333
TRBV5-4.TRBJ2-1	9	0.000447894893998
TRBV18-1.TRBJ1-1	190	0.0094555588733
TRBV18-1.TRBJ1-2	8	0.000398128794665
TRBV18-1.TRBJ1-5	3	0.000149298297999
TRBV18-1.TRBJ1-4	3	0.000149298297999
TRBV20-1.TRBJ2-4	1	4.97660993331e-05
TRBV6-5.TRBJ2-1	68	0.00338409475465
TRBV25-1.TRBJ2-4	1	4.97660993331e-05
TRBV6-5.TRBJ2-5	9	0.000447894893998
TRBV18-1.TRBJ2-2	5	0.000248830496666
