	TRBV1-1	TRBV29-1	TRBV19-1	TRBV27-1	TRBV28-1	TRBV7-9	TRBV4-3	TRBV10-1	TRBV6-8	TRBV6-9	TRBV6-4	TRBV6-5	TRBV6-6	TRBV6-7	TRBV11-3	TRBV6-1	TRBV6-2	TRBV7-6	TRBV5-6	TRBV5-5	TRBV7-2	TRBV5-3	TRBV5-2	TRBV5-1	TRBV10-3	TRBV21-1	TRBV30-1	TRBV5-8	TRBV12-5	TRBV7-7	TRBV20-1	TRBV12-3	TRBV15-1	TRBV7-1	TRBV14-1	TRBV3-1	TRBV12-2	TRBV8-2	TRBV11-2	TRBV9-1	TRBV4-2	TRBV13-1	TRBV5-4	TRBV7-4	TRBV2-1	TRBV10-2	TRBV11-1	TRBV7-8	TRBV12-1	TRBV23-1	TRBV16-1	TRBV24-1	TRBV4-1	TRBV25-1	TRBV7-3	TRBV18-1	TRBV26-1
TRBJ2-4	0	7	4	3	0	7	9	4	0	0	0	4	3	0	2	5	12	3	5	1	9	0	0	16	1	1	3	0	2	0	18	12	0	0	0	9	0	0	1	11	0	2	2	0	5	0	0	0	0	3	4	3	4	0	1	4	0
TRBJ2-5	4	20	36	47	10	135	18	2	0	0	7	36	28	0	7	34	34	25	19	3	46	1	0	71	3	13	39	8	3	3	82	54	9	0	11	25	1	0	20	91	5	16	21	0	55	5	2	17	0	0	0	9	19	11	17	21	0
TRBJ2-6	0	2	11	4	3	14	5	0	0	0	5	7	3	0	1	8	10	2	4	3	3	0	1	10	4	1	4	1	9	1	4	7	2	1	0	9	0	1	1	8	1	1	2	0	3	3	1	3	3	0	0	2	2	1	6	1	2
TRBJ2-7	0	75	239	233	100	227	119	29	0	1	14	150	118	0	32	145	326	103	81	78	158	2	0	154	50	18	52	22	33	9	284	107	36	1	46	228	6	0	63	144	44	44	33	1	99	13	16	109	0	10	2	19	156	24	29	33	0
TRBJ2-1	1	38	728	212	18	226	91	12	0	0	56	65	25	0	40	59	92	57	27	8	141	3	0	234	32	11	20	15	10	13	192	69	21	0	20	50	1	0	34	111	16	18	21	0	79	8	4	27	0	2	1	40	64	26	48	10	0
TRBJ2-2	0	22	97	36	11	105	77	36	0	0	55	60	9	0	14	30	33	26	29	28	76	0	0	149	8	8	23	16	4	12	70	81	31	0	16	33	0	0	41	197	5	11	100	0	25	7	3	15	1	0	1	20	42	11	17	25	0
TRBJ2-3	1	25	31	81	25	52	37	9	0	0	71	38	62	0	16	69	62	34	23	5	53	0	0	207	56	22	19	0	32	1	104	44	18	0	20	35	1	0	25	107	16	19	31	0	20	2	4	38	0	1	0	37	53	24	35	83	0
TRBJ1-6	0	2	32	10	0	27	16	1	0	0	4	38	0	1	3	25	10	2	1	8	24	1	0	16	1	3	11	0	0	0	17	8	5	0	19	5	0	0	4	2	1	0	5	0	11	0	0	4	0	0	0	0	6	5	13	9	0
TRBJ1-5	0	14	104	186	6	96	18	13	0	0	26	32	14	0	12	50	60	37	13	14	43	0	0	28	49	6	63	19	6	28	50	125	83	1	4	70	0	0	27	29	2	7	3	2	55	3	0	20	0	10	0	16	39	1	585	35	0
TRBJ1-4	0	6	22	17	7	31	13	1	0	0	2	20	3	0	1	22	24	25	16	3	9	0	0	53	8	1	9	3	1	1	19	11	23	0	1	7	0	0	8	20	5	3	7	0	25	0	2	2	0	1	1	3	16	6	0	6	0
TRBJ1-3	0	9	19	11	3	23	13	0	0	0	2	5	8	0	2	12	10	12	12	0	10	0	0	12	6	5	17	0	1	3	17	28	4	0	4	2	0	0	6	30	4	49	4	0	29	2	0	11	0	1	0	2	4	2	5	7	0
TRBJ1-2	0	59	266	96	13	104	62	5	0	0	168	88	23	0	12	173	40	10	47	55	38	40	0	62	27	10	43	5	2	0	133	55	14	0	19	40	0	0	11	82	7	22	25	0	63	9	2	80	0	6	1	40	30	20	17	14	0
TRBJ1-1	0	200	80	33	7	105	77	10	1	0	9	93	21	0	11	50	86	99	11	3	75	6	0	172	43	11	54	8	31	0	115	91	12	0	4	32	0	0	42	54	20	5	19	1	32	7	3	33	1	2	0	13	72	12	30	26	0
