VJcombo	Pt10_on_Reads	Pt10_on_Freq
TRBV10-2.TRBJ2-5	10	0.000562777871574
TRBV10-2.TRBJ2-7	59	0.00332038944229
TRBV10-2.TRBJ2-1	33	0.00185716697619
TRBV10-2.TRBJ2-3	3	0.000168833361472
TRBV10-2.TRBJ2-2	1	5.62777871574e-05
TRBV23-1.TRBJ1-3	1	5.62777871574e-05
TRBV6-7.TRBJ1-4	1	5.62777871574e-05
TRBV23-1.TRBJ1-5	2	0.000112555574315
TRBV10-1.TRBJ2-2	12	0.000675333445889
TRBV6-2.TRBJ2-3	56	0.00315155608081
TRBV10-1.TRBJ2-1	1	5.62777871574e-05
TRBV5-8.TRBJ1-4	2	0.000112555574315
TRBV4-1.TRBJ1-5	29	0.00163205582756
TRBV4-1.TRBJ1-4	7	0.000393944510102
TRBV4-1.TRBJ1-6	6	0.000337666722944
TRBV4-1.TRBJ1-1	12	0.000675333445889
TRBV4-1.TRBJ1-3	1	5.62777871574e-05
TRBV4-1.TRBJ1-2	35	0.00196972255051
TRBV4-1.TRBJ2-6	3	0.000168833361472
TRBV4-1.TRBJ2-7	146	0.00821655692498
TRBV4-1.TRBJ2-4	5	0.000281388935787
TRBV4-1.TRBJ2-5	24	0.00135066689178
TRBV4-1.TRBJ2-2	22	0.00123811131746
TRBV4-1.TRBJ2-3	14	0.000787889020204
TRBV4-1.TRBJ2-1	75	0.00422083403681
TRBV14-1.TRBJ1-5	4	0.00022511114863
TRBV14-1.TRBJ1-4	3	0.000168833361472
TRBV14-1.TRBJ1-6	5	0.000281388935787
TRBV14-1.TRBJ1-1	10	0.000562777871574
TRBV14-1.TRBJ1-3	3	0.000168833361472
TRBV14-1.TRBJ1-2	27	0.00151950025325
TRBV9-1.TRBJ1-4	5	0.000281388935787
TRBV9-1.TRBJ1-5	15	0.000844166807361
TRBV9-1.TRBJ1-6	42	0.00236366706061
TRBV14-1.TRBJ2-5	12	0.000675333445889
TRBV14-1.TRBJ2-2	4	0.00022511114863
TRBV9-1.TRBJ1-1	39	0.00219483369914
TRBV9-1.TRBJ1-2	22	0.00123811131746
TRBV9-1.TRBJ1-3	20	0.00112555574315
TRBV7-6.TRBJ2-2	16	0.000900444594519
TRBV7-6.TRBJ2-3	13	0.000731611233046
TRBV7-6.TRBJ2-1	28	0.00157577804041
TRBV7-6.TRBJ2-6	1	5.62777871574e-05
TRBV7-6.TRBJ2-7	21	0.00118183353031
TRBV7-6.TRBJ2-5	14	0.000787889020204
TRBV10-2.TRBJ1-5	3	0.000168833361472
TRBV10-2.TRBJ1-2	2	0.000112555574315
TRBV10-2.TRBJ1-3	5	0.000281388935787
TRBV10-2.TRBJ1-1	23	0.00129438910462
TRBV24-1.TRBJ2-3	17	0.000956722381676
TRBV24-1.TRBJ2-2	10	0.000562777871574
TRBV24-1.TRBJ2-1	16	0.000900444594519
TRBV24-1.TRBJ2-7	9	0.000506500084417
TRBV24-1.TRBJ2-6	1	5.62777871574e-05
TRBV24-1.TRBJ2-5	8	0.000450222297259
TRBV24-1.TRBJ2-4	1	5.62777871574e-05
TRBV7-8.TRBJ2-1	9	0.000506500084417
TRBV4-3.TRBJ2-2	4	0.00022511114863
TRBV4-3.TRBJ2-3	13	0.000731611233046
TRBV21-1.TRBJ1-1	3	0.000168833361472
TRBV4-3.TRBJ2-4	1	5.62777871574e-05
TRBV21-1.TRBJ1-3	4	0.00022511114863
TRBV21-1.TRBJ1-2	1	5.62777871574e-05
TRBV21-1.TRBJ1-5	2	0.000112555574315
TRBV21-1.TRBJ1-4	5	0.000281388935787
TRBV4-3.TRBJ2-5	55	0.00309527829366
TRBV21-1.TRBJ2-2	9	0.000506500084417
TRBV21-1.TRBJ2-3	9	0.000506500084417
TRBV21-1.TRBJ2-1	12	0.000675333445889
TRBV21-1.TRBJ2-7	14	0.000787889020204
TRBV21-1.TRBJ2-4	2	0.000112555574315
TRBV21-1.TRBJ2-5	5	0.000281388935787
TRBV6-1.TRBJ2-4	3	0.000168833361472
TRBV6-1.TRBJ2-5	22	0.00123811131746
TRBV6-1.TRBJ2-6	2	0.000112555574315
TRBV6-1.TRBJ2-7	41	0.00230738927345
TRBV6-1.TRBJ2-1	17	0.000956722381676
TRBV6-1.TRBJ2-2	73	0.00410827846249
TRBV6-1.TRBJ2-3	28	0.00157577804041
TRBV12-3.TRBJ2-6	3	0.000168833361472
TRBV12-3.TRBJ2-7	288	0.0162080027013
TRBV12-3.TRBJ2-4	3	0.000168833361472
TRBV12-3.TRBJ2-5	41	0.00230738927345
TRBV12-3.TRBJ2-2	63	0.00354550059092
TRBV12-3.TRBJ2-3	31	0.00174461140188
TRBV12-3.TRBJ2-1	59	0.00332038944229
TRBV24-1.TRBJ1-1	5	0.000281388935787
TRBV24-1.TRBJ1-2	9	0.000506500084417
TRBV24-1.TRBJ1-5	45	0.00253250042208
TRBV24-1.TRBJ1-6	68	0.0038268895267
TRBV4-3.TRBJ1-3	4	0.00022511114863
TRBV4-3.TRBJ1-2	52	0.00292644493219
TRBV4-3.TRBJ1-1	16	0.000900444594519
TRBV7-8.TRBJ1-6	3	0.000168833361472
TRBV7-8.TRBJ1-5	27	0.00151950025325
TRBV4-3.TRBJ1-4	14	0.000787889020204
TRBV6-2.TRBJ2-7	155	0.0087230570094
TRBV6-2.TRBJ2-6	5	0.000281388935787
TRBV9-1.TRBJ2-1	46	0.00258877820924
TRBV7-6.TRBJ1-1	56	0.00315155608081
TRBV7-6.TRBJ1-3	1	5.62777871574e-05
TRBV7-6.TRBJ1-2	1	5.62777871574e-05
TRBV7-6.TRBJ1-5	2	0.000112555574315
TRBV7-6.TRBJ1-4	3	0.000168833361472
TRBV7-6.TRBJ1-6	4	0.00022511114863
TRBV6-1.TRBJ1-6	21	0.00118183353031
TRBV6-1.TRBJ1-5	28	0.00157577804041
TRBV6-1.TRBJ1-4	50	0.00281388935787
TRBV6-1.TRBJ1-3	11	0.000619055658731
TRBV6-1.TRBJ1-2	25	0.00140694467894
TRBV6-1.TRBJ1-1	292	0.01643311385
TRBV5-8.TRBJ2-2	4	0.00022511114863
TRBV23-1.TRBJ2-2	15	0.000844166807361
TRBV23-1.TRBJ2-3	3	0.000168833361472
TRBV23-1.TRBJ2-7	5	0.000281388935787
TRBV5-8.TRBJ2-1	10	0.000562777871574
TRBV12-3.TRBJ1-5	137	0.00771005684057
TRBV12-3.TRBJ1-4	9	0.000506500084417
TRBV23-1.TRBJ1-1	8	0.000450222297259
TRBV12-3.TRBJ1-6	8	0.000450222297259
TRBV12-3.TRBJ1-1	79	0.00444594518544
TRBV12-3.TRBJ1-3	6	0.000337666722944
TRBV12-3.TRBJ1-2	102	0.00574033429006
TRBV6-7.TRBJ2-7	1	5.62777871574e-05
TRBV6-7.TRBJ2-4	1	5.62777871574e-05
TRBV5-8.TRBJ2-4	4	0.00022511114863
TRBV27-1.TRBJ1-6	13	0.000731611233046
TRBV27-1.TRBJ1-5	57	0.00320783386797
TRBV27-1.TRBJ1-4	22	0.00123811131746
TRBV27-1.TRBJ1-3	5	0.000281388935787
TRBV27-1.TRBJ1-2	129	0.00725983454331
TRBV27-1.TRBJ1-1	22	0.00123811131746
TRBV4-3.TRBJ2-1	62	0.00348922280376
TRBV7-8.TRBJ2-2	11	0.000619055658731
TRBV7-8.TRBJ2-3	26	0.00146322246609
TRBV7-8.TRBJ2-4	1	5.62777871574e-05
TRBV7-8.TRBJ2-5	24	0.00135066689178
TRBV4-3.TRBJ2-6	7	0.000393944510102
TRBV7-8.TRBJ2-7	36	0.00202600033767
TRBV9-1.TRBJ2-7	59	0.00332038944229
TRBV6-2.TRBJ2-2	15	0.000844166807361
TRBV9-1.TRBJ2-5	56	0.00315155608081
TRBV9-1.TRBJ2-4	4	0.00022511114863
TRBV9-1.TRBJ2-3	56	0.00315155608081
TRBV9-1.TRBJ2-2	20	0.00112555574315
TRBV6-2.TRBJ2-5	27	0.00151950025325
TRBV6-2.TRBJ2-4	3	0.000168833361472
TRBV28-1.TRBJ1-4	58	0.00326411165513
TRBV28-1.TRBJ1-5	115	0.0064719455231
TRBV28-1.TRBJ1-6	24	0.00135066689178
TRBV28-1.TRBJ1-1	310	0.0174461140188
TRBV28-1.TRBJ1-2	90	0.00506500084417
TRBV28-1.TRBJ1-3	29	0.00163205582756
TRBV4-2.TRBJ2-1	72	0.00405200067533
TRBV4-2.TRBJ2-3	15	0.000844166807361
TRBV27-1.TRBJ2-4	1	5.62777871574e-05
TRBV27-1.TRBJ2-5	16	0.000900444594519
TRBV27-1.TRBJ2-6	9	0.000506500084417
TRBV27-1.TRBJ2-7	180	0.0101300016883
TRBV27-1.TRBJ2-1	70	0.00393944510102
TRBV27-1.TRBJ2-2	82	0.00461477854691
TRBV27-1.TRBJ2-3	50	0.00281388935787
TRBV4-2.TRBJ2-2	11	0.000619055658731
TRBV7-9.TRBJ2-5	79	0.00444594518544
TRBV7-9.TRBJ2-7	86	0.00483988969554
TRBV11-2.TRBJ2-1	33	0.00185716697619
TRBV11-2.TRBJ2-2	15	0.000844166807361
TRBV11-2.TRBJ2-3	9	0.000506500084417
TRBV11-2.TRBJ2-4	1	5.62777871574e-05
TRBV11-2.TRBJ2-5	29	0.00163205582756
TRBV11-2.TRBJ2-6	6	0.000337666722944
TRBV7-9.TRBJ1-3	8	0.000450222297259
TRBV18-1.TRBJ2-7	69	0.00388316731386
