	TRBV1-1	TRBV29-1	TRBV19-1	TRBV27-1	TRBV28-1	TRBV7-9	TRBV7-8	TRBV4-1	TRBV6-8	TRBV6-9	TRBV6-4	TRBV6-5	TRBV6-6	TRBV6-7	TRBV11-3	TRBV6-1	TRBV6-2	TRBV7-6	TRBV5-6	TRBV5-5	TRBV7-2	TRBV5-3	TRBV5-2	TRBV5-1	TRBV10-3	TRBV7-5	TRBV21-1	TRBV30-1	TRBV5-8	TRBV12-5	TRBV7-7	TRBV20-1	TRBV12-3	TRBV15-1	TRBV7-1	TRBV14-1	TRBV3-1	TRBV12-2	TRBV8-2	TRBV11-2	TRBV9-1	TRBV4-2	TRBV13-1	TRBV5-4	TRBV2-1	TRBV10-2	TRBV11-1	TRBV4-3	TRBV23-1	TRBV16-1	TRBV24-1	TRBV10-1	TRBV25-1	TRBV7-3	TRBV18-1
TRBJ2-4	0	2	69	3	0	2	0	0	0	0	0	1	2	0	0	13	14	0	13	0	19	0	0	4	3	0	0	2	0	1	0	26	3	0	0	0	4	0	0	1	14	27	0	4	3	0	0	5	0	0	0	3	1	1	4
TRBJ2-5	0	7	17	11	6	42	105	17	0	0	6	6	23	0	1	23	27	8	4	2	20	0	0	58	155	0	2	3	4	9	4	68	20	7	0	3	14	0	0	17	19	15	1	17	19	1	11	4	0	0	12	2	6	11	9
TRBJ2-6	0	1	47	1	2	3	3	4	0	0	0	6	6	0	1	2	0	4	4	2	2	0	0	12	1	0	0	11	2	0	0	16	10	3	0	1	1	0	1	2	0	0	8	2	1	0	0	0	0	0	0	2	0	0	9
TRBJ2-7	0	73	78	387	265	131	353	74	0	1	705	133	32	0	8	118	115	18	66	7	151	2	0	89	87	1	7	95	1	2	11	271	47	65	0	6	75	0	0	29	56	6	15	19	60	4	27	30	2	2	5	2	164	11	17
TRBJ2-1	0	39	98	112	121	92	21	32	1	1	5	61	158	0	58	41	49	6	13	24	57	0	0	161	70	0	4	13	11	7	143	187	38	39	0	10	182	0	0	14	523	23	1	21	40	2	3	74	2	0	18	1	9	13	21
TRBJ2-2	0	7	33	14	12	19	4	2	0	0	3	19	2	1	3	80	26	5	6	6	13	1	0	59	24	0	2	7	1	1	0	82	57	7	0	4	22	9	0	8	25	5	0	121	41	0	0	30	3	5	7	5	6	11	10
TRBJ2-3	0	29	30	15	20	26	3	15	0	0	2	26	4	0	7	27	37	2	9	5	44	0	0	79	86	0	0	11	0	10	3	75	28	9	0	5	32	1	0	19	32	3	1	15	139	3	1	21	0	0	18	2	1	3	126
TRBJ1-6	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
TRBJ1-5	0	8	60	17	53	111	199	6	0	0	2	17	15	1	1	40	65	1	13	31	55	0	0	23	3	0	0	14	2	0	44	143	35	32	1	1	8	1	0	3	25	6	0	8	63	3	0	2	0	2	4	5	0	4	10
TRBJ1-4	0	2	20	16	29	41	14	5	0	1	0	17	3	0	1	51	1	7	24	1	4	0	0	26	6	0	1	3	1	0	0	102	178	2	0	0	3	0	0	4	19	2	0	7	7	3	1	0	3	0	2	0	0	1	5
TRBJ1-3	0	6	17	3	16	16	8	6	0	0	0	3	4	0	0	25	2	1	7	5	17	0	0	27	2	0	1	6	0	1	0	23	50	14	0	1	39	0	0	3	44	94	2	0	21	0	1	4	0	0	1	0	0	0	7
TRBJ1-2	3	18	36	93	206	188	39	12	0	0	10	95	26	0	1	60	24	0	46	5	12	1	1	84	11	1	1	52	2	0	6	91	71	8	0	17	260	0	0	8	67	131	2	77	37	1	1	9	4	0	16	2	75	7	14
TRBJ1-1	0	48	43	32	185	212	15	127	0	0	3	32	15	0	1	32	43	3	17	1	79	0	0	70	21	0	0	61	1	4	1	73	34	11	1	20	19	0	0	135	18	43	2	21	52	10	5	15	13	2	5	0	25	51	15
