VJcombo	Pt108_pre_Reads	Pt108_pre_Freq
TRBV12-3.TRBJ1-6	1	7.5820759724e-05
TRBV12-3.TRBJ1-1	58	0.00439760406399
TRBV23-1.TRBJ1-5	2	0.000151641519448
TRBV12-3.TRBJ1-2	40	0.00303283038896
TRBV27-1.TRBJ1-5	60	0.00454924558344
TRBV27-1.TRBJ1-4	12	0.000909849116688
TRBV27-1.TRBJ1-3	33	0.00250208507089
TRBV27-1.TRBJ1-2	41	0.00310865114868
TRBV27-1.TRBJ1-1	56	0.00424596254454
TRBV4-3.TRBJ2-1	17	0.00128895291531
TRBV4-3.TRBJ2-2	2	0.000151641519448
TRBV7-8.TRBJ2-3	8	0.000606566077792
TRBV4-3.TRBJ2-4	1	7.5820759724e-05
TRBV7-8.TRBJ2-5	11	0.000834028356964
TRBV4-3.TRBJ2-6	6	0.000454924558344
TRBV7-8.TRBJ2-7	59	0.00447342482372
TRBV6-2.TRBJ2-3	22	0.00166805671393
TRBV6-2.TRBJ2-2	12	0.000909849116688
TRBV9-1.TRBJ2-5	31	0.00235044355144
TRBV9-1.TRBJ2-4	4	0.000303283038896
TRBV9-1.TRBJ2-3	40	0.00303283038896
TRBV9-1.TRBJ2-2	26	0.00197133975282
TRBV9-1.TRBJ2-1	77	0.00583819849875
TRBV6-2.TRBJ2-4	10	0.00075820759724
TRBV28-1.TRBJ1-4	30	0.00227462279172
TRBV28-1.TRBJ1-5	50	0.0037910379862
TRBV28-1.TRBJ1-6	2	0.000151641519448
TRBV28-1.TRBJ1-1	43	0.00326029266813
TRBV28-1.TRBJ1-2	71	0.0053832739404
TRBV28-1.TRBJ1-3	41	0.00310865114868
TRBV7-9.TRBJ2-1	40	0.00303283038896
TRBV4-2.TRBJ2-3	5	0.00037910379862
TRBV27-1.TRBJ2-4	2	0.000151641519448
TRBV27-1.TRBJ2-5	44	0.00333611342786
TRBV27-1.TRBJ2-6	3	0.000227462279172
TRBV4-2.TRBJ2-2	19	0.00144059443476
TRBV27-1.TRBJ2-1	50	0.0037910379862
TRBV27-1.TRBJ2-2	32	0.00242626431117
TRBV27-1.TRBJ2-3	20	0.00151641519448
TRBV7-9.TRBJ2-5	12	0.000909849116688
TRBV4-2.TRBJ2-4	1	7.5820759724e-05
TRBV4-2.TRBJ2-7	18	0.00136477367503
TRBV5-7.TRBJ1-1	2	0.000151641519448
TRBV7-9.TRBJ1-2	143	0.0108423686405
TRBV11-2.TRBJ2-2	10	0.00075820759724
TRBV11-2.TRBJ2-3	14	0.00106149063614
TRBV11-2.TRBJ2-4	1	7.5820759724e-05
TRBV11-2.TRBJ2-5	15	0.00113731139586
TRBV11-2.TRBJ2-6	7	0.000530745318068
TRBV7-9.TRBJ1-3	36	0.00272954735006
TRBV18-1.TRBJ2-7	118	0.00894684964743
TRBV7-9.TRBJ1-1	80	0.00606566077792
TRBV6-2.TRBJ1-1	57	0.00432178330427
TRBV6-2.TRBJ1-2	25	0.0018955189931
TRBV6-2.TRBJ1-3	5	0.00037910379862
TRBV6-2.TRBJ1-4	5	0.00037910379862
TRBV6-2.TRBJ1-5	68	0.00515581166123
TRBV28-1.TRBJ2-7	82	0.00621730229737
TRBV28-1.TRBJ2-6	4	0.000303283038896
TRBV28-1.TRBJ2-5	23	0.00174387747365
TRBV28-1.TRBJ2-4	3	0.000227462279172
TRBV28-1.TRBJ2-3	14	0.00106149063614
TRBV7-9.TRBJ1-4	19	0.00144059443476
TRBV28-1.TRBJ2-1	47	0.00356357570703
TRBV4-2.TRBJ1-5	7	0.000530745318068
TRBV10-3.TRBJ2-4	2	0.000151641519448
TRBV10-3.TRBJ2-5	3	0.000227462279172
TRBV10-3.TRBJ2-7	42	0.00318447190841
TRBV10-3.TRBJ2-1	43	0.00326029266813
TRBV10-3.TRBJ2-2	152	0.011524755478
TRBV10-3.TRBJ2-3	11	0.000834028356964
TRBV7-9.TRBJ1-6	1	7.5820759724e-05
TRBV11-2.TRBJ1-3	20	0.00151641519448
TRBV11-2.TRBJ1-2	42	0.00318447190841
TRBV11-2.TRBJ1-1	12	0.000909849116688
TRBV11-2.TRBJ1-5	10	0.00075820759724
TRBV11-2.TRBJ1-4	5	0.00037910379862
TRBV27-1.TRBJ2-7	89	0.00674804761544
TRBV7-4.TRBJ1-2	1	7.5820759724e-05
TRBV20-1.TRBJ1-4	20	0.00151641519448
TRBV20-1.TRBJ1-5	57	0.00432178330427
TRBV6-5.TRBJ2-2	13	0.000985669876412
TRBV6-5.TRBJ2-3	33	0.00250208507089
TRBV25-1.TRBJ2-2	8	0.000606566077792
TRBV20-1.TRBJ1-1	73	0.00553491545985
TRBV20-1.TRBJ1-2	86	0.00652058533627
TRBV6-5.TRBJ2-7	151	0.0114489347183
TRBV7-2.TRBJ1-5	35	0.00265372659034
TRBV7-2.TRBJ1-4	23	0.00174387747365
TRBV7-2.TRBJ1-1	15	0.00113731139586
TRBV7-2.TRBJ1-3	18	0.00136477367503
TRBV7-2.TRBJ1-2	24	0.00181969823338
TRBV7-2.TRBJ2-6	5	0.00037910379862
TRBV7-2.TRBJ2-7	105	0.00796117977102
TRBV7-2.TRBJ2-4	7	0.000530745318068
TRBV7-2.TRBJ2-5	14	0.00106149063614
TRBV7-2.TRBJ2-2	15	0.00113731139586
TRBV7-2.TRBJ2-3	37	0.00280536810979
TRBV7-2.TRBJ2-1	49	0.00371521722648
TRBV10-3.TRBJ1-5	295	0.0223671241186
TRBV10-3.TRBJ1-4	1	7.5820759724e-05
TRBV10-3.TRBJ1-3	2	0.000151641519448
TRBV10-3.TRBJ1-2	15	0.00113731139586
TRBV10-3.TRBJ1-1	14	0.00106149063614
TRBV7-7.TRBJ2-3	4	0.000303283038896
TRBV7-7.TRBJ2-1	27	0.00204716051255
TRBV7-7.TRBJ2-7	29	0.002198802032
