	TRBV1-1	TRBV29-1	TRBV19-1	TRBV27-1	TRBV6-1	TRBV28-1	TRBV4-2	TRBV7-8	TRBV4-1	TRBV6-9	TRBV6-4	TRBV6-5	TRBV6-6	TRBV6-7	TRBV11-3	TRBV11-2	TRBV6-2	TRBV7-6	TRBV5-6	TRBV5-5	TRBV7-2	TRBV5-3	TRBV5-1	TRBV10-3	TRBV7-5	TRBV21-1	TRBV30-1	TRBV5-8	TRBV12-5	TRBV7-7	TRBV20-1	TRBV12-3	TRBV15-1	TRBV14-1	TRBV3-1	TRBV12-2	TRBV3-2	TRBV9-1	TRBV7-9	TRBV13-1	TRBV5-4	TRBV7-4	TRBV2-1	TRBV10-2	TRBV11-1	TRBV4-3	TRBV12-1	TRBV23-1	TRBV16-1	TRBV24-1	TRBV10-1	TRBV25-1	TRBV7-3	TRBV18-1
TRBJ2-4	1	5	5	10	4	3	0	3	6	0	0	9	1	0	2	0	14	4	3	1	13	0	14	0	0	2	0	0	2	0	47	13	3	0	18	0	1	13	15	3	1	0	9	1	0	5	0	0	2	3	8	1	1	3
TRBJ2-5	12	41	57	39	55	6	13	21	53	0	2	29	26	0	6	17	53	36	23	3	53	0	111	18	1	5	16	7	7	3	89	53	8	20	48	2	0	83	198	12	20	0	94	5	3	24	0	2	0	17	6	5	16	28
TRBJ2-6	0	1	11	3	11	0	0	12	2	0	1	17	1	0	2	3	24	1	4	1	5	0	19	6	0	1	9	1	24	0	11	4	3	1	21	1	0	10	5	2	1	0	2	3	0	9	1	1	0	7	1	1	2	3
TRBJ2-7	1	79	280	264	193	134	53	110	125	1	9	161	150	1	69	80	599	125	96	88	180	3	181	54	1	19	52	10	39	11	309	95	23	64	110	1	2	322	293	78	57	0	168	17	7	98	0	9	0	39	22	23	26	78
TRBJ2-1	0	55	388	305	71	20	7	39	134	0	39	62	26	0	33	38	98	122	31	9	97	0	312	30	0	14	34	33	18	14	186	125	16	25	47	1	0	116	264	29	46	0	80	8	2	130	0	0	2	80	10	20	44	22
TRBJ2-2	0	74	260	91	40	6	4	20	83	0	33	78	7	4	6	69	31	38	21	83	134	1	198	6	0	5	41	25	4	6	59	74	60	64	53	3	0	219	203	12	212	0	34	7	1	100	0	1	0	26	76	21	42	24
TRBJ2-3	1	22	59	81	73	36	14	19	49	0	85	34	162	1	15	33	81	41	20	2	58	0	269	41	0	21	10	5	22	1	104	53	29	33	43	1	0	124	62	35	57	0	26	4	7	40	1	1	1	43	16	21	28	78
TRBJ1-6	0	0	25	15	26	4	2	6	0	2	5	25	14	0	0	4	23	3	7	4	31	0	32	5	0	7	9	0	0	3	40	22	0	11	7	0	0	16	46	0	29	0	19	2	0	29	0	0	0	0	0	1	9	5
TRBJ1-5	0	16	96	534	40	6	5	14	30	0	30	41	18	0	23	36	87	33	7	12	50	1	61	25	1	8	59	23	5	4	54	179	140	1	86	0	0	33	138	3	10	1	61	5	2	3	0	4	0	18	1	13	282	14
TRBJ1-4	0	8	25	24	28	6	3	9	16	0	1	16	5	0	2	11	21	24	28	11	23	1	22	2	0	3	15	2	0	5	30	22	23	8	7	0	0	24	53	4	1	0	24	1	2	6	0	1	0	7	1	7	1	14
TRBJ1-3	0	31	11	33	17	6	3	20	5	0	2	11	8	0	3	11	5	15	30	2	27	0	8	4	0	5	8	3	1	1	33	20	2	1	10	1	0	20	34	83	2	0	31	56	0	10	0	0	0	1	0	2	5	6
TRBJ1-2	0	42	297	100	163	20	13	181	31	0	112	97	31	0	19	28	62	15	642	146	70	50	80	40	0	13	61	7	13	1	179	74	42	15	53	2	0	99	103	18	98	1	87	16	7	68	3	5	3	42	0	33	20	20
TRBJ1-1	0	230	111	46	53	10	19	12	67	0	8	106	18	1	27	40	75	98	21	10	86	3	420	34	0	4	53	13	32	1	188	126	72	2	35	0	0	44	138	2	16	1	47	4	0	65	0	3	0	10	6	20	44	19
