	TRBV1-1	TRBV29-1	TRBV19-1	TRBV27-1	TRBV6-1	TRBV28-1	TRBV7-9	TRBV7-8	TRBV4-1	TRBV6-4	TRBV6-5	TRBV6-6	TRBV6-7	TRBV11-3	TRBV11-2	TRBV7-7	TRBV7-6	TRBV5-6	TRBV5-5	TRBV7-2	TRBV5-3	TRBV5-1	TRBV10-3	TRBV21-1	TRBV30-1	TRBV5-8	TRBV12-5	TRBV12-1	TRBV20-1	TRBV15-1	TRBV14-1	TRBV12-2	TRBV9-1	TRBV4-2	TRBV13-1	TRBV5-4	TRBV7-4	TRBV2-1	TRBV10-2	TRBV11-1	TRBV4-3	TRBV23-1	TRBV10-1	TRBV25-1	TRBV7-3	TRBV18-1	TRBV26-1
TRBJ2-4	0	6	13	0	3	2	3	1	0	0	0	0	0	0	5	0	0	3	0	2	0	0	0	2	1	1	0	0	0	0	0	0	1	3	0	0	0	11	0	2	0	0	0	0	0	3	0
TRBJ2-5	1	16	7	16	18	20	12	4	15	2	6	1	0	2	17	1	7	17	1	16	3	50	15	0	14	22	0	0	1	5	3	0	12	22	2	7	0	23	0	1	8	1	14	25	5	11	0
TRBJ2-6	0	6	7	2	0	3	1	3	2	0	1	1	0	0	2	1	0	3	0	8	0	5	0	0	1	2	2	2	0	1	0	0	2	1	0	0	0	3	22	0	2	1	0	1	3	1	0
TRBJ2-7	1	18	62	43	57	47	26	16	101	2	47	9	0	6	37	1	5	21	4	37	2	40	23	14	31	3	9	0	1	10	7	1	160	22	2	4	0	55	6	9	7	1	7	5	2	13	0
TRBJ2-1	4	45	25	51	24	7	10	5	28	6	8	9	0	10	45	0	5	12	1	49	0	31	12	219	15	2	7	0	2	9	10	3	94	11	6	11	0	27	4	10	29	2	9	20	1	8	0
TRBJ2-2	0	9	43	20	14	11	12	4	4	7	12	2	0	2	64	4	0	16	4	14	0	33	3	3	9	3	1	0	0	2	9	0	16	12	2	10	0	26	1	2	15	1	2	2	36	12	0
TRBJ2-3	1	15	18	133	17	62	27	9	18	6	20	14	0	16	40	1	5	54	3	32	0	60	10	2	8	1	2	0	3	10	18	1	32	6	2	247	0	13	10	18	15	1	2	9	7	9	0
TRBJ1-6	0	0	39	15	12	5	3	0	6	2	36	0	0	2	2	0	0	8	1	1	0	7	1	0	4	0	0	0	0	0	1	0	75	1	1	2	0	5	0	0	0	0	0	11	8	1	0
TRBJ1-5	0	2	66	7	19	28	7	6	25	2	36	6	0	0	4	0	1	2	1	7	0	11	3	2	4	0	11	0	1	6	0	0	8	1	0	3	0	34	0	0	0	0	6	0	1	1	0
TRBJ1-4	0	2	7	11	11	72	13	5	192	3	25	17	196	0	15	0	0	16	5	6	0	19	9	1	29	0	10	0	0	4	13	0	10	1	2	4	0	21	3	0	7	0	1	4	2	2	0
TRBJ1-3	0	0	17	10	4	19	20	5	1	0	10	9	0	0	2	0	3	4	0	7	0	5	3	0	13	2	0	0	0	2	4	0	5	4	7	2	0	9	0	0	2	0	1	6	10	5	0
TRBJ1-2	0	23	32	14	53	19	27	8	15	1	45	11	1	1	23	0	0	28	4	13	3	160	6	5	15	2	1	0	156	10	4	0	18	12	2	18	5	37	2	10	11	4	1	11	1	9	2
TRBJ1-1	0	21	78	22	16	31	37	8	25	4	37	18	0	2	18	0	3	8	6	82	1	28	4	10	20	4	20	0	2	3	14	0	65	23	1	15	0	15	39	3	8	0	5	22	8	16	0
