VJcombo	EC07_Reads	EC07_Freq
TRBV10-2.TRBJ2-7	6	0.000868683943825
TRBV10-2.TRBJ2-6	22	0.00318517446069
TRBV10-2.TRBJ2-1	4	0.000579122629217
TRBV10-2.TRBJ2-3	10	0.00144780657304
TRBV10-2.TRBJ2-2	1	0.000144780657304
TRBV6-7.TRBJ1-4	196	0.0283770088316
TRBV28-1.TRBJ2-2	11	0.00159258723035
TRBV5-8.TRBJ1-1	4	0.000579122629217
TRBV5-8.TRBJ1-2	2	0.000289561314608
TRBV4-1.TRBJ1-5	25	0.0036195164326
TRBV4-1.TRBJ1-4	192	0.0277978862024
TRBV4-1.TRBJ1-6	6	0.000868683943825
TRBV4-1.TRBJ1-1	25	0.0036195164326
TRBV4-1.TRBJ1-3	1	0.000144780657304
TRBV4-1.TRBJ1-2	15	0.00217170985956
TRBV4-1.TRBJ2-6	2	0.000289561314608
TRBV4-1.TRBJ2-7	101	0.0146228463877
TRBV4-1.TRBJ2-5	15	0.00217170985956
TRBV4-1.TRBJ2-2	4	0.000579122629217
TRBV4-1.TRBJ2-3	18	0.00260605183148
TRBV4-1.TRBJ2-1	28	0.00405385840452
TRBV14-1.TRBJ1-4	13	0.00188214854495
TRBV14-1.TRBJ1-6	1	0.000144780657304
TRBV14-1.TRBJ1-1	14	0.00202692920226
TRBV14-1.TRBJ1-3	4	0.000579122629217
TRBV14-1.TRBJ1-2	4	0.000579122629217
TRBV9-1.TRBJ1-4	10	0.00144780657304
TRBV9-1.TRBJ1-5	8	0.00115824525843
TRBV9-1.TRBJ1-6	75	0.0108585492978
TRBV14-1.TRBJ2-5	3	0.000434341971913
TRBV14-1.TRBJ2-2	9	0.00130302591574
TRBV9-1.TRBJ1-1	65	0.00941074272477
TRBV9-1.TRBJ1-2	18	0.00260605183148
TRBV14-1.TRBJ2-1	10	0.00144780657304
TRBV7-6.TRBJ2-3	5	0.000723903286521
TRBV7-6.TRBJ2-1	5	0.000723903286521
TRBV7-6.TRBJ2-7	5	0.000723903286521
TRBV7-6.TRBJ2-5	7	0.00101346460113
TRBV10-2.TRBJ1-4	3	0.000434341971913
TRBV10-2.TRBJ1-2	2	0.000289561314608
TRBV10-2.TRBJ1-1	39	0.00564644563486
TRBV4-3.TRBJ2-1	29	0.00419863906182
TRBV7-8.TRBJ2-2	4	0.000579122629217
TRBV4-3.TRBJ2-3	15	0.00217170985956
TRBV21-1.TRBJ1-1	10	0.00144780657304
TRBV21-1.TRBJ1-2	5	0.000723903286521
TRBV21-1.TRBJ1-5	2	0.000289561314608
TRBV21-1.TRBJ1-4	1	0.000144780657304
TRBV4-3.TRBJ2-5	8	0.00115824525843
TRBV21-1.TRBJ2-2	3	0.000434341971913
TRBV21-1.TRBJ2-3	2	0.000289561314608
TRBV21-1.TRBJ2-1	219	0.0317069639496
TRBV21-1.TRBJ2-7	14	0.00202692920226
TRBV21-1.TRBJ2-4	2	0.000289561314608
TRBV6-1.TRBJ2-4	3	0.000434341971913
TRBV6-1.TRBJ2-5	18	0.00260605183148
TRBV7-8.TRBJ2-7	16	0.00231649051687
TRBV6-1.TRBJ2-1	24	0.0034747357753
TRBV6-1.TRBJ2-2	14	0.00202692920226
TRBV6-1.TRBJ2-3	17	0.00246127117417
