	TRBV1-1	TRBV29-1	TRBV19-1	TRBV27-1	TRBV6-1	TRBV28-1	TRBV4-2	TRBV7-8	TRBV4-1	TRBV6-8	TRBV6-9	TRBV7-1	TRBV6-5	TRBV6-6	TRBV6-7	TRBV11-3	TRBV11-2	TRBV6-2	TRBV7-6	TRBV5-7	TRBV5-6	TRBV5-5	TRBV7-2	TRBV5-3	TRBV5-1	TRBV10-3	TRBV7-5	TRBV21-1	TRBV30-1	TRBV5-8	TRBV12-5	TRBV7-7	TRBV20-1	TRBV12-3	TRBV15-1	TRBV14-1	TRBV3-1	TRBV12-2	TRBV9-1	TRBV7-9	TRBV13-1	TRBV5-4	TRBV7-4	TRBV2-1	TRBV10-2	TRBV11-1	TRBV4-3	TRBV12-1	TRBV23-1	TRBV16-1	TRBV24-1	TRBV10-1	TRBV6-4	TRBV25-1	TRBV7-3	TRBV18-1
TRBJ2-4	0	4	13	24	4	13	1	0	1	0	1	0	12	1	1	0	2	22	1	0	2	3	9	0	10	0	0	1	11	2	0	0	23	2	0	0	54	0	17	0	9	0	0	8	0	1	2	0	0	0	0	0	0	3	1	5
TRBJ2-5	0	31	27	37	23	36	3	13	14	0	1	0	25	15	0	1	15	90	26	0	17	5	32	1	59	1	0	24	8	2	3	8	85	81	13	3	49	1	42	108	28	14	1	38	3	6	14	2	1	0	7	2	2	2	3	49
TRBJ2-6	1	1	15	2	12	10	2	0	4	0	0	1	26	7	0	1	3	10	1	0	1	1	10	0	9	0	0	0	2	1	0	2	11	5	13	7	4	0	5	8	0	4	0	10	1	0	4	0	0	0	2	0	1	4	5	0
TRBJ2-7	0	37	76	302	84	230	54	38	112	1	3	2	78	377	3	9	267	139	58	0	104	24	101	3	206	11	0	24	10	3	2	22	203	60	44	80	63	5	139	177	152	75	0	156	2	11	47	4	2	0	8	3	4	13	4	34
TRBJ2-1	0	196	50	124	37	62	41	23	29	0	1	0	34	12	0	53	37	81	25	0	67	12	35	17	141	3	2	6	5	1	4	1	338	48	43	16	39	0	64	40	40	16	0	114	1	2	76	0	1	0	131	1	33	5	32	16
TRBJ2-2	0	12	47	46	18	21	16	11	40	0	0	0	19	10	4	45	15	61	79	0	60	12	27	0	62	1	0	5	10	3	10	0	39	62	11	4	83	0	28	34	8	17	0	16	1	14	7	0	0	0	19	5	14	11	7	16
TRBJ2-3	0	35	26	33	34	39	13	16	28	0	0	1	17	30	0	7	366	34	3	0	22	8	42	0	76	0	0	5	4	6	4	1	91	38	21	12	48	0	116	23	9	27	0	33	2	4	101	0	0	1	22	0	10	4	13	21
TRBJ1-6	0	0	0	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
TRBJ1-5	0	2	80	94	218	64	9	10	18	0	3	0	25	49	0	0	3	58	5	0	2	8	17	0	30	0	1	1	9	6	0	0	75	53	12	0	33	0	66	14	0	4	0	46	0	0	17	0	6	0	18	0	9	4	11	11
TRBJ1-4	0	4	51	9	20	23	4	0	7	0	2	0	9	18	0	0	6	8	1	1	4	2	11	0	26	0	0	2	0	3	0	0	18	24	3	4	22	0	37	15	4	6	0	11	1	0	9	0	0	0	3	1	0	3	4	17
TRBJ1-3	0	39	5	1	14	16	0	5	4	0	0	0	8	3	0	1	0	12	4	0	4	4	6	0	22	1	0	0	8	4	0	0	16	7	8	2	7	0	11	26	7	5	0	3	2	0	4	1	2	0	0	1	0	1	8	4
TRBJ1-2	0	14	38	30	56	72	8	5	14	4	0	0	37	22	0	2	11	98	0	3	21	48	44	2	57	0	0	9	4	1	0	2	172	95	4	3	75	1	55	91	29	37	0	42	0	5	38	0	0	2	14	2	6	15	4	88
TRBJ1-1	0	40	59	28	56	78	17	5	15	0	0	0	34	43	0	7	11	29	105	0	12	26	23	0	58	1	0	8	3	2	2	0	122	123	2	25	67	0	97	45	3	14	0	177	2	15	30	0	0	8	0	0	5	3	10	17
