VJcombo	Pt10_pre_Reads	Pt10_pre_Freq
TRBV10-2.TRBJ2-5	3	0.000383092836164
TRBV10-2.TRBJ2-7	23	0.00293704507726
TRBV10-2.TRBJ2-1	7	0.000893883284383
TRBV10-2.TRBJ2-3	2	0.000255395224109
TRBV10-2.TRBJ2-2	6	0.000766185672328
TRBV12-3.TRBJ1-4	5	0.000638488060273
TRBV5-8.TRBJ1-4	1	0.000127697612055
TRBV4-1.TRBJ1-5	14	0.00178776656877
TRBV4-1.TRBJ1-4	3	0.000383092836164
TRBV4-1.TRBJ1-6	4	0.000510790448219
TRBV4-1.TRBJ1-1	4	0.000510790448219
TRBV4-1.TRBJ1-3	1	0.000127697612055
TRBV4-1.TRBJ1-2	14	0.00178776656877
TRBV4-1.TRBJ2-6	1	0.000127697612055
TRBV4-1.TRBJ2-7	38	0.00485250925808
TRBV4-1.TRBJ2-4	3	0.000383092836164
TRBV4-1.TRBJ2-5	8	0.00102158089644
TRBV4-1.TRBJ2-2	16	0.00204316179287
TRBV4-1.TRBJ2-3	4	0.000510790448219
TRBV4-1.TRBJ2-1	17	0.00217085940493
TRBV14-1.TRBJ1-5	1	0.000127697612055
TRBV14-1.TRBJ1-4	1	0.000127697612055
TRBV14-1.TRBJ1-6	5	0.000638488060273
TRBV14-1.TRBJ1-1	6	0.000766185672328
TRBV14-1.TRBJ1-3	1	0.000127697612055
TRBV14-1.TRBJ1-2	13	0.00166006895671
TRBV14-1.TRBJ2-6	1	0.000127697612055
TRBV14-1.TRBJ2-7	13	0.00166006895671
TRBV9-1.TRBJ1-6	9	0.00114927850849
TRBV14-1.TRBJ2-5	4	0.000510790448219
TRBV14-1.TRBJ2-2	4	0.000510790448219
TRBV9-1.TRBJ1-1	21	0.00268164985315
TRBV9-1.TRBJ1-2	32	0.00408632358575
TRBV14-1.TRBJ2-1	5	0.000638488060273
TRBV7-6.TRBJ2-2	9	0.00114927850849
TRBV7-6.TRBJ2-3	7	0.000893883284383
TRBV7-6.TRBJ2-1	17	0.00217085940493
TRBV7-6.TRBJ2-6	1	0.000127697612055
TRBV7-6.TRBJ2-7	6	0.000766185672328
TRBV7-6.TRBJ2-5	1	0.000127697612055
TRBV10-2.TRBJ1-5	1	0.000127697612055
TRBV10-2.TRBJ1-2	1	0.000127697612055
TRBV10-2.TRBJ1-1	13	0.00166006895671
TRBV24-1.TRBJ2-3	8	0.00102158089644
TRBV24-1.TRBJ2-2	7	0.000893883284383
TRBV24-1.TRBJ2-1	13	0.00166006895671
TRBV24-1.TRBJ2-7	10	0.00127697612055
TRBV24-1.TRBJ2-5	7	0.000893883284383
TRBV24-1.TRBJ2-4	1	0.000127697612055
TRBV9-1.TRBJ2-7	28	0.00357553313753
TRBV7-8.TRBJ2-1	7	0.000893883284383
TRBV7-8.TRBJ2-2	6	0.000766185672328
TRBV4-3.TRBJ2-3	12	0.00153237134466
TRBV21-1.TRBJ1-1	3	0.000383092836164
TRBV21-1.TRBJ1-3	1	0.000127697612055
TRBV21-1.TRBJ1-2	6	0.000766185672328
TRBV21-1.TRBJ1-5	1	0.000127697612055
TRBV21-1.TRBJ1-4	5	0.000638488060273
TRBV4-3.TRBJ2-5	18	0.00229855701698
TRBV21-1.TRBJ2-2	3	0.000383092836164
TRBV21-1.TRBJ2-3	2	0.000255395224109
TRBV21-1.TRBJ2-1	12	0.00153237134466
TRBV21-1.TRBJ2-7	8	0.00102158089644
TRBV21-1.TRBJ2-4	2	0.000255395224109
TRBV21-1.TRBJ2-5	5	0.000638488060273
TRBV6-1.TRBJ2-5	11	0.0014046737326
TRBV6-1.TRBJ2-6	1	0.000127697612055
TRBV7-8.TRBJ2-7	36	0.00459711403397
TRBV6-1.TRBJ2-1	10	0.00127697612055
TRBV6-1.TRBJ2-2	14	0.00178776656877
TRBV6-1.TRBJ2-3	19	0.00242625462904
TRBV12-3.TRBJ2-6	6	0.000766185672328
TRBV12-3.TRBJ2-7	75	0.0095773209041
TRBV12-3.TRBJ2-4	4	0.000510790448219
TRBV12-3.TRBJ2-5	16	0.00204316179287
TRBV12-3.TRBJ2-2	24	0.00306474268931
TRBV12-3.TRBJ2-3	17	0.00217085940493
