	TRBV1-1	TRBV29-1	TRBV19-1	TRBV27-1	TRBV6-1	TRBV28-1	TRBV4-2	TRBV4-3	TRBV4-1	TRBV6-8	TRBV6-9	TRBV6-4	TRBV6-5	TRBV6-6	TRBV7-2	TRBV11-3	TRBV11-2	TRBV6-2	TRBV7-6	TRBV5-6	TRBV5-5	TRBV5-4	TRBV5-3	TRBV5-1	TRBV10-3	TRBV7-5	TRBV21-1	TRBV30-1	TRBV5-8	TRBV12-5	TRBV7-7	TRBV20-1	TRBV12-3	TRBV15-1	TRBV7-1	TRBV14-1	TRBV3-1	TRBV12-2	TRBV9-1	TRBV7-9	TRBV13-1	TRBV7-4	TRBV2-1	TRBV10-2	TRBV17-1	TRBV11-1	TRBV7-8	TRBV23-1	TRBV16-1	TRBV24-1	TRBV10-1	TRBV25-1	TRBV7-3	TRBV18-1
TRBJ2-4	0	2	14	1	0	5	0	1	3	0	0	0	5	0	3	3	0	3	0	0	0	1	0	4	0	0	2	3	2	1	0	11	4	1	0	0	1	0	3	4	0	0	3	0	0	0	0	0	0	1	1	1	2	2
TRBJ2-5	0	15	25	12	11	32	9	18	8	1	0	1	2	7	52	10	17	18	1	5	4	29	0	40	10	0	5	5	4	1	3	84	16	4	0	4	20	0	28	38	4	0	12	3	0	3	11	0	0	7	0	10	14	11
TRBJ2-6	0	0	12	2	1	9	1	1	1	0	0	1	7	0	1	0	5	2	1	5	1	3	0	7	0	0	0	2	1	2	0	9	6	0	0	1	4	1	4	5	10	1	2	0	1	1	0	0	0	0	0	0	12	2
TRBJ2-7	0	29	79	66	34	102	121	48	38	0	2	8	32	23	85	30	31	91	6	33	27	35	0	64	47	0	8	24	11	2	2	165	75	17	1	13	80	0	28	59	5	0	79	23	0	4	36	0	1	10	5	5	14	46
TRBJ2-1	0	19	36	30	10	44	44	23	17	0	1	9	20	9	46	27	27	30	17	18	5	30	1	61	15	0	12	5	9	8	3	86	36	10	0	5	21	1	58	20	43	0	31	7	0	2	7	0	0	13	0	6	20	9
TRBJ2-2	0	3	24	29	14	30	9	10	16	0	1	13	26	7	22	13	8	11	9	6	3	10	1	23	19	1	3	3	2	1	4	35	24	1	0	4	10	0	13	19	4	0	9	6	0	5	6	2	0	7	3	2	91	8
TRBJ2-3	0	13	37	20	19	30	9	12	4	0	0	3	18	9	49	14	10	23	7	13	6	14	1	46	11	1	2	6	5	1	0	71	17	9	0	8	33	1	28	16	5	0	24	2	0	0	12	4	0	8	1	2	40	15
TRBJ1-6	0	11	12	8	5	14	2	4	4	0	0	0	12	1	8	1	2	4	2	4	2	2	0	10	0	0	1	37	5	0	0	8	6	63	0	5	12	0	9	9	0	0	3	0	0	0	2	0	0	7	2	0	7	0
TRBJ1-5	1	7	86	23	10	54	8	4	14	0	1	13	9	5	25	3	2	15	0	4	2	8	1	6	9	1	1	16	0	0	0	81	30	8	0	1	6	0	2	12	0	0	32	1	0	0	11	0	0	3	8	7	4	8
TRBJ1-4	0	9	11	5	21	19	1	8	3	0	0	0	5	3	3	1	5	3	3	4	1	9	0	12	4	0	5	3	1	0	0	19	5	1	0	1	3	0	4	12	5	0	19	0	0	0	12	0	0	0	10	0	1	3
TRBJ1-3	0	6	15	3	4	12	3	4	1	0	1	0	8	3	15	3	9	1	0	3	1	4	0	6	3	0	1	9	0	1	5	39	6	3	0	1	6	0	2	6	0	0	8	0	0	1	3	0	0	0	0	7	4	2
TRBJ1-2	1	16	53	41	15	51	9	16	14	0	1	1	53	9	36	11	14	26	2	21	17	24	0	39	11	0	6	7	0	2	0	81	48	20	0	13	15	0	32	34	3	0	36	1	0	1	7	2	0	4	3	3	61	7
TRBJ1-1	0	17	61	19	123	70	10	11	4	0	1	3	25	3	24	7	12	97	32	12	2	10	0	32	11	0	3	99	0	0	0	45	21	6	0	6	7	1	21	42	0	0	10	13	0	3	7	1	0	5	2	3	28	17
