	TRBV1-1	TRBV29-1	TRBV19-1	TRBV27-1	TRBV6-1	TRBV28-1	TRBV4-2	TRBV4-3	TRBV4-1	TRBV6-8	TRBV6-9	TRBV6-4	TRBV6-5	TRBV6-6	TRBV6-7	TRBV11-3	TRBV11-2	TRBV6-2	TRBV7-6	TRBV5-6	TRBV5-5	TRBV7-2	TRBV5-3	TRBV5-1	TRBV10-3	TRBV7-5	TRBV21-1	TRBV30-1	TRBV5-8	TRBV12-5	TRBV7-7	TRBV20-1	TRBV12-3	TRBV15-1	TRBV14-1	TRBV3-1	TRBV12-2	TRBV3-2	TRBV9-1	TRBV7-9	TRBV13-1	TRBV5-4	TRBV7-4	TRBV2-1	TRBV10-2	TRBV11-1	TRBV7-8	TRBV12-1	TRBV23-1	TRBV16-1	TRBV24-1	TRBV10-1	TRBV25-1	TRBV7-3	TRBV18-1
TRBJ2-4	0	0	4	0	4	0	1	3	1	0	0	0	0	0	0	5	2	8	1	1	2	3	1	1	1	0	0	1	1	0	0	10	0	17	0	27	0	0	2	0	1	1	1	0	0	0	2	0	4	0	0	0	0	0	0
TRBJ2-5	0	6	14	14	58	1	16	4	9	1	0	18	8	7	0	2	11	27	9	20	5	49	0	31	4	0	0	10	8	5	4	53	12	7	3	21	0	0	43	61	8	24	0	20	0	2	6	1	1	4	3	0	7	9	5
TRBJ2-6	0	4	7	0	8	1	30	9	4	0	0	48	4	1	0	0	0	32	0	3	0	3	0	10	2	0	0	0	1	0	0	1	5	2	2	23	0	0	0	7	1	2	0	4	2	0	1	0	0	0	0	0	1	1	3
TRBJ2-7	0	245	61	640	78	11	58	141	86	0	0	7	26	4	0	2	27	86	41	42	14	31	0	32	24	0	9	10	7	2	2	104	121	20	10	214	2	1	531	50	46	16	0	70	9	4	30	0	6	1	2	2	6	13	9
TRBJ2-1	3	16	54	22	19	1	73	62	4	0	1	62	28	5	0	11	18	61	2	13	1	30	1	23	9	1	1	38	4	6	4	135	56	7	6	30	0	0	37	34	9	11	0	18	2	5	12	0	0	0	11	0	6	29	6
TRBJ2-2	0	3	31	25	6	2	9	10	161	0	0	75	12	4	0	8	5	77	4	7	1	27	0	9	4	0	3	19	2	1	4	137	45	7	1	16	0	0	86	12	1	15	0	19	6	1	5	0	1	17	12	0	17	14	15
TRBJ2-3	0	7	64	17	39	2	15	17	12	0	0	116	15	6	1	20	14	41	8	16	3	35	1	48	8	0	1	9	2	6	2	91	16	9	36	25	2	0	39	23	2	6	1	13	3	4	16	1	0	0	4	0	10	270	8
TRBJ1-6	0	1	37	11	41	0	6	6	11	0	0	7	17	4	0	1	7	240	2	3	1	16	0	9	3	0	1	7	1	3	0	22	12	0	4	14	3	2	32	9	7	6	0	23	2	0	1	0	7	6	1	1	0	6	4
TRBJ1-5	0	1	101	16	26	3	8	5	9	0	0	4	9	5	0	3	3	72	1	4	48	9	0	6	1	0	18	13	1	2	1	85	22	17	4	38	0	0	9	64	1	3	0	35	1	0	34	0	1	0	2	0	1	3	15
TRBJ1-4	0	92	8	9	5	2	4	6	1	0	0	3	4	2	0	0	2	2	3	11	0	10	0	7	4	0	1	3	0	2	0	11	50	22	1	21	0	0	4	13	2	5	0	6	0	1	3	1	0	0	2	1	3	0	8
TRBJ1-3	0	16	10	83	2	0	6	36	1	0	1	1	30	1	0	1	1	6	3	4	4	10	0	5	5	2	0	21	0	1	0	124	3	5	0	1	0	0	80	4	0	1	0	43	0	0	0	0	0	0	14	0	1	2	5
TRBJ1-2	0	15	103	62	58	7	30	26	139	0	2	55	111	20	0	1	16	88	21	77	4	67	0	24	44	3	3	27	3	1	1	81	58	9	16	52	4	0	106	44	17	22	1	55	0	3	13	0	3	0	5	1	6	17	16
TRBJ1-1	0	21	43	12	30	3	24	61	20	0	0	25	16	10	0	3	61	75	4	14	5	35	0	25	12	0	13	6	0	3	0	383	87	29	21	31	0	0	58	76	1047	11	0	47	4	0	20	3	2	1	2	1	5	31	9
