VJcombo	EC08_Reads	EC08_Freq
TRBV6-7.TRBJ1-2	6	0.000138370001384
TRBV6-7.TRBJ2-6	1	2.30616668973e-05
TRBV6-7.TRBJ2-7	13	0.000299801669665
TRBV6-7.TRBJ2-4	1	2.30616668973e-05
TRBV6-7.TRBJ2-5	2	4.61233337946e-05
TRBV5-8.TRBJ2-4	7	0.000161431668281
TRBV6-7.TRBJ2-1	2	4.61233337946e-05
TRBV27-1.TRBJ1-6	63	0.00145288501453
TRBV27-1.TRBJ1-5	142	0.00327475669941
TRBV27-1.TRBJ1-4	60	0.00138370001384
TRBV27-1.TRBJ1-3	41	0.000945528342789
TRBV27-1.TRBJ1-2	206	0.00475070338084
TRBV27-1.TRBJ1-1	190	0.00438171671048
TRBV4-3.TRBJ2-1	102	0.00235229002352
TRBV4-3.TRBJ2-2	66	0.00152207001522
TRBV7-8.TRBJ2-3	84	0.00193718001937
TRBV7-8.TRBJ2-4	10	0.000230616668973
TRBV4-3.TRBJ2-5	39	0.000899405008994
TRBV4-3.TRBJ2-6	14	0.000322863336562
TRBV7-8.TRBJ2-7	166	0.00382823670495
TRBV9-1.TRBJ2-7	309	0.00712605507126
TRBV9-1.TRBJ2-6	35	0.000807158341405
TRBV9-1.TRBJ2-5	203	0.00468151838015
TRBV9-1.TRBJ2-4	24	0.000553480005535
TRBV9-1.TRBJ2-3	285	0.00657257506573
TRBV9-1.TRBJ2-2	185	0.004266408376
TRBV9-1.TRBJ2-1	275	0.00634195839675
TRBV11-3.TRBJ2-4	5	0.000115308334486
TRBV28-1.TRBJ1-4	45	0.00103777501038
TRBV28-1.TRBJ1-5	99	0.00228310502283
TRBV28-1.TRBJ1-6	68	0.00156819334902
TRBV28-1.TRBJ1-1	132	0.00304414003044
TRBV28-1.TRBJ1-2	184	0.0042433467091
TRBV28-1.TRBJ1-3	56	0.00129145334625
TRBV4-2.TRBJ2-1	91	0.00209861168765
TRBV4-2.TRBJ2-3	56	0.00129145334625
TRBV27-1.TRBJ2-4	23	0.000530418338638
TRBV27-1.TRBJ2-5	113	0.00260596835939
TRBV27-1.TRBJ2-6	21	0.000484295004843
TRBV4-2.TRBJ2-2	56	0.00129145334625
TRBV27-1.TRBJ2-1	179	0.00412803837461
TRBV27-1.TRBJ2-2	98	0.00226004335593
TRBV27-1.TRBJ2-3	152	0.00350537336839
TRBV4-2.TRBJ2-5	56	0.00129145334625
TRBV4-2.TRBJ2-4	9	0.000207555002076
TRBV5-7.TRBJ2-1	2	4.61233337946e-05
TRBV5-7.TRBJ2-5	1	2.30616668973e-05
TRBV7-9.TRBJ2-7	556	0.0128222867949
